‾	Überstrich
👩🏻‍🤝‍👨🏽	Frau, Händchen halten, Mann, Mann und Frau halten Hände, Mann und Frau halten Hände: helle Hautfarbe, mittlere Hautfarbe, Paar, Pärchen aus Frau und Mann, helle Hautfarbe, mittlere Hautfarbe
👩🏻‍🤝‍👨🏾	Frau, Händchen halten, Mann, Mann und Frau halten Hände, Mann und Frau halten Hände: helle Hautfarbe, mitteldunkle Hautfarbe, Paar, Pärchen aus Frau und Mann, helle Hautfarbe, mitteldunkle Hautfarbe
👩🏻‍🤝‍👨🏿	Frau, Händchen halten, Mann, Mann und Frau halten Hände, Mann und Frau halten Hände: helle Hautfarbe, dunkle Hautfarbe, Paar, Pärchen aus Frau und Mann, dunkle Hautfarbe, helle Hautfarbe
👩🏼‍🤝‍👨🏻	Frau, Händchen halten, Mann, Mann und Frau halten Hände, Mann und Frau halten Hände: mittelhelle Hautfarbe, helle Hautfarbe, Paar, Pärchen aus Frau und Mann, helle Hautfarbe, mittelhelle Hautfarbe
👫🏼	Frau, Händchen halten, Mann, Mann und Frau halten Hände, Mann und Frau halten Hände: mittelhelle Hautfarbe, Paar, Pärchen aus Frau und Mann, mittelhelle Hautfarbe
👩🏼‍🤝‍👨🏽	Frau, Händchen halten, Mann, Mann und Frau halten Hände, Mann und Frau halten Hände: mittelhelle Hautfarbe, mittlere Hautfarbe, Paar, Pärchen aus Frau und Mann, mittelhelle Hautfarbe, mittlere Hautfarbe
👩🏼‍🤝‍👨🏾	Frau, Händchen halten, Mann, Mann und Frau halten Hände, Mann und Frau halten Hände: mittelhelle Hautfarbe, mitteldunkle Hautfarbe, Paar, Pärchen aus Frau und Mann, mitteldunkle Hautfarbe, mittelhelle Hautfarbe
👩🏼‍🤝‍👨🏿	Frau, Händchen halten, Mann, Mann und Frau halten Hände, Mann und Frau halten Hände: mittelhelle Hautfarbe, dunkle Hautfarbe, Paar, Pärchen aus Frau und Mann, dunkle Hautfarbe, mittelhelle Hautfarbe
👩🏽‍🤝‍👨🏻	Frau, Händchen halten, Mann, Mann und Frau halten Hände, Mann und Frau halten Hände: mittlere Hautfarbe, helle Hautfarbe, Paar, Pärchen aus Frau und Mann, helle Hautfarbe, mittlere Hautfarbe
👩🏽‍🤝‍👨🏼	Frau, Händchen halten, Mann, Mann und Frau halten Hände, Mann und Frau halten Hände: mittlere Hautfarbe, mittelhelle Hautfarbe, Paar, Pärchen aus Frau und Mann, mittelhelle Hautfarbe, mittlere Hautfarbe
👫🏽	Frau, Händchen halten, Mann, Mann und Frau halten Hände, Mann und Frau halten Hände: mittlere Hautfarbe, Paar, Pärchen aus Frau und Mann, mittlere Hautfarbe
👩🏽‍🤝‍👨🏾	Frau, Händchen halten, Mann, Mann und Frau halten Hände, Mann und Frau halten Hände: mittlere Hautfarbe, mitteldunkle Hautfarbe, Paar, Pärchen aus Frau und Mann, mitteldunkle Hautfarbe, mittlere Hautfarbe
👩🏽‍🤝‍👨🏿	Frau, Händchen halten, Mann, Mann und Frau halten Hände, Mann und Frau halten Hände: mittlere Hautfarbe, dunkle Hautfarbe, Paar, Pärchen aus Frau und Mann, dunkle Hautfarbe, mittlere Hautfarbe
👩🏾‍🤝‍👨🏻	Frau, Händchen halten, Mann, Mann und Frau halten Hände, Mann und Frau halten Hände: mitteldunkle Hautfarbe, helle Hautfarbe, Paar, Pärchen aus Frau und Mann, helle Hautfarbe, mitteldunkle Hautfarbe
👩🏾‍🤝‍👨🏼	Frau, Händchen halten, Mann, Mann und Frau halten Hände, Mann und Frau halten Hände: mitteldunkle Hautfarbe, mittelhelle Hautfarbe, Paar, Pärchen aus Frau und Mann, mitteldunkle Hautfarbe, mittelhelle Hautfarbe
👩🏾‍🤝‍👨🏽	Frau, Händchen halten, Mann, Mann und Frau halten Hände, Mann und Frau halten Hände: mitteldunkle Hautfarbe, mittlere Hautfarbe, Paar, Pärchen aus Frau und Mann, mitteldunkle Hautfarbe, mittlere Hautfarbe
👫🏾	Frau, Händchen halten, Mann, Mann und Frau halten Hände, Mann und Frau halten Hände: mitteldunkle Hautfarbe, Paar, Pärchen aus Frau und Mann, mitteldunkle Hautfarbe
👩🏾‍🤝‍👨🏿	Frau, Händchen halten, Mann, Mann und Frau halten Hände, Mann und Frau halten Hände: mitteldunkle Hautfarbe, dunkle Hautfarbe, Paar, Pärchen aus Frau und Mann, dunkle Hautfarbe, mitteldunkle Hautfarbe
👩🏿‍🤝‍👨🏻	Frau, Händchen halten, Mann, Mann und Frau halten Hände, Mann und Frau halten Hände: dunkle Hautfarbe, helle Hautfarbe, Paar, Pärchen aus Frau und Mann, dunkle Hautfarbe, helle Hautfarbe
👩🏿‍🤝‍👨🏼	Frau, Händchen halten, Mann, Mann und Frau halten Hände, Mann und Frau halten Hände: dunkle Hautfarbe, mittelhelle Hautfarbe, Paar, Pärchen aus Frau und Mann, dunkle Hautfarbe, mittelhelle Hautfarbe
👩🏿‍🤝‍👨🏽	Frau, Händchen halten, Mann, Mann und Frau halten Hände, Mann und Frau halten Hände: dunkle Hautfarbe, mittlere Hautfarbe, Paar, Pärchen aus Frau und Mann, dunkle Hautfarbe, mittlere Hautfarbe
👩🏿‍🤝‍👨🏾	Frau, Händchen halten, Mann, Mann und Frau halten Hände, Mann und Frau halten Hände: dunkle Hautfarbe, mitteldunkle Hautfarbe, Paar, Pärchen aus Frau und Mann, dunkle Hautfarbe, mitteldunkle Hautfarbe
👫🏿	Frau, Händchen halten, Mann, Mann und Frau halten Hände, Mann und Frau halten Hände: dunkle Hautfarbe, Paar, Pärchen aus Frau und Mann, dunkle Hautfarbe
👬	Händchen halten, Händchen haltende Männer, Männer, Paar, Pärchen aus Mann und Mann, Zwillinge
👬🏻	Händchen halten, Händchen haltende Männer, Händchen haltende Männer: helle Hautfarbe, Männer, Paar, Pärchen aus Mann und Mann, Zwillinge, helle Hautfarbe
👨🏻‍🤝‍👨🏼	Händchen halten, Händchen haltende Männer, Händchen haltende Männer: helle Hautfarbe, mittelhelle Hautfarbe, Männer, Paar, Pärchen aus Mann und Mann, Zwillinge, helle Hautfarbe, mittelhelle Hautfarbe
👨🏻‍🤝‍👨🏽	Händchen halten, Händchen haltende Männer, Händchen haltende Männer: helle Hautfarbe, mittlere Hautfarbe, Männer, Paar, Pärchen aus Mann und Mann, Zwillinge, helle Hautfarbe, mittlere Hautfarbe
👨🏻‍🤝‍👨🏾	Händchen halten, Händchen haltende Männer, Händchen haltende Männer: helle Hautfarbe, mitteldunkle Hautfarbe, Männer, Paar, Pärchen aus Mann und Mann, Zwillinge, helle Hautfarbe, mitteldunkle Hautfarbe
👨🏻‍🤝‍👨🏿	Händchen halten, Händchen haltende Männer, Händchen haltende Männer: helle Hautfarbe, dunkle Hautfarbe, Männer, Paar, Pärchen aus Mann und Mann, Zwillinge, dunkle Hautfarbe, helle Hautfarbe
👨🏼‍🤝‍👨🏻	Händchen halten, Händchen haltende Männer, Händchen haltende Männer: mittelhelle Hautfarbe, helle Hautfarbe, Männer, Paar, Pärchen aus Mann und Mann, Zwillinge, helle Hautfarbe, mittelhelle Hautfarbe
👬🏼	Händchen halten, Händchen haltende Männer, Händchen haltende Männer: mittelhelle Hautfarbe, Männer, Paar, Pärchen aus Mann und Mann, Zwillinge, mittelhelle Hautfarbe
👨🏼‍🤝‍👨🏽	Händchen halten, Händchen haltende Männer, Händchen haltende Männer: mittelhelle Hautfarbe, mittlere Hautfarbe, Männer, Paar, Pärchen aus Mann und Mann, Zwillinge, mittelhelle Hautfarbe, mittlere Hautfarbe
👨🏼‍🤝‍👨🏾	Händchen halten, Händchen haltende Männer, Händchen haltende Männer: mittelhelle Hautfarbe, mitteldunkle Hautfarbe, Männer, Paar, Pärchen aus Mann und Mann, Zwillinge, mitteldunkle Hautfarbe, mittelhelle Hautfarbe
👨🏼‍🤝‍👨🏿	Händchen halten, Händchen haltende Männer, Händchen haltende Männer: mittelhelle Hautfarbe, dunkle Hautfarbe, Männer, Paar, Pärchen aus Mann und Mann, Zwillinge, dunkle Hautfarbe, mittelhelle Hautfarbe
👨🏽‍🤝‍👨🏻	Händchen halten, Händchen haltende Männer, Händchen haltende Männer: mittlere Hautfarbe, helle Hautfarbe, Männer, Paar, Pärchen aus Mann und Mann, Zwillinge, helle Hautfarbe, mittlere Hautfarbe
👨🏽‍🤝‍👨🏼	Händchen halten, Händchen haltende Männer, Händchen haltende Männer: mittlere Hautfarbe, mittelhelle Hautfarbe, Männer, Paar, Pärchen aus Mann und Mann, Zwillinge, mittelhelle Hautfarbe, mittlere Hautfarbe
👬🏽	Händchen halten, Händchen haltende Männer, Händchen haltende Männer: mittlere Hautfarbe, Männer, Paar, Pärchen aus Mann und Mann, Zwillinge, mittlere Hautfarbe
👨🏽‍🤝‍👨🏾	Händchen halten, Händchen haltende Männer, Händchen haltende Männer: mittlere Hautfarbe, mitteldunkle Hautfarbe, Männer, Paar, Pärchen aus Mann und Mann, Zwillinge, mitteldunkle Hautfarbe, mittlere Hautfarbe
👨🏽‍🤝‍👨🏿	Händchen halten, Händchen haltende Männer, Händchen haltende Männer: mittlere Hautfarbe, dunkle Hautfarbe, Männer, Paar, Pärchen aus Mann und Mann, Zwillinge, dunkle Hautfarbe, mittlere Hautfarbe
👨🏾‍🤝‍👨🏻	Händchen halten, Händchen haltende Männer, Händchen haltende Männer: mitteldunkle Hautfarbe, helle Hautfarbe, Männer, Paar, Pärchen aus Mann und Mann, Zwillinge, helle Hautfarbe, mitteldunkle Hautfarbe
👨🏾‍🤝‍👨🏼	Händchen halten, Händchen haltende Männer, Händchen haltende Männer: mitteldunkle Hautfarbe, mittelhelle Hautfarbe, Männer, Paar, Pärchen aus Mann und Mann, Zwillinge, mitteldunkle Hautfarbe, mittelhelle Hautfarbe
👨🏾‍🤝‍👨🏽	Händchen halten, Händchen haltende Männer, Händchen haltende Männer: mitteldunkle Hautfarbe, mittlere Hautfarbe, Männer, Paar, Pärchen aus Mann und Mann, Zwillinge, mitteldunkle Hautfarbe, mittlere Hautfarbe
👬🏾	Händchen halten, Händchen haltende Männer, Händchen haltende Männer: mitteldunkle Hautfarbe, Männer, Paar, Pärchen aus Mann und Mann, Zwillinge, mitteldunkle Hautfarbe
👨🏾‍🤝‍👨🏿	Händchen halten, Händchen haltende Männer, Händchen haltende Männer: mitteldunkle Hautfarbe, dunkle Hautfarbe, Männer, Paar, Pärchen aus Mann und Mann, Zwillinge, dunkle Hautfarbe, mitteldunkle Hautfarbe
👨🏿‍🤝‍👨🏻	Händchen halten, Händchen haltende Männer, Händchen haltende Männer: dunkle Hautfarbe, helle Hautfarbe, Männer, Paar, Pärchen aus Mann und Mann, Zwillinge, dunkle Hautfarbe, helle Hautfarbe
👨🏿‍🤝‍👨🏼	Händchen halten, Händchen haltende Männer, Händchen haltende Männer: dunkle Hautfarbe, mittelhelle Hautfarbe, Männer, Paar, Pärchen aus Mann und Mann, Zwillinge, dunkle Hautfarbe, mittelhelle Hautfarbe
👨🏿‍🤝‍👨🏽	Händchen halten, Händchen haltende Männer, Händchen haltende Männer: dunkle Hautfarbe, mittlere Hautfarbe, Männer, Paar, Pärchen aus Mann und Mann, Zwillinge, dunkle Hautfarbe, mittlere Hautfarbe
👨🏿‍🤝‍👨🏾	Händchen halten, Händchen haltende Männer, Händchen haltende Männer: dunkle Hautfarbe, mitteldunkle Hautfarbe, Männer, Paar, Pärchen aus Mann und Mann, Zwillinge, dunkle Hautfarbe, mitteldunkle Hautfarbe
👬🏿	Händchen halten, Händchen haltende Männer, Händchen haltende Männer: dunkle Hautfarbe, Männer, Paar, Pärchen aus Mann und Mann, Zwillinge, dunkle Hautfarbe
💏	Frau, Herz, Kuss, Küssendes Paar, Mann, küssen, sich küssendes Paar
💏🏻	Frau, Herz, Kuss, Küssendes Paar, Mann, helle Hautfarbe, küssen, sich küssendes Paar, sich küssendes Paar: helle Hautfarbe
💏🏼	Frau, Herz, Kuss, Küssendes Paar, Mann, küssen, mittelhelle Hautfarbe, sich küssendes Paar, sich küssendes Paar: mittelhelle Hautfarbe
💏🏽	Frau, Herz, Kuss, Küssendes Paar, Mann, küssen, mittlere Hautfarbe, sich küssendes Paar, sich küssendes Paar: mittlere Hautfarbe
💏🏾	Frau, Herz, Kuss, Küssendes Paar, Mann, küssen, mitteldunkle Hautfarbe, sich küssendes Paar, sich küssendes Paar: mitteldunkle Hautfarbe
💏🏿	Frau, Herz, Kuss, Küssendes Paar, Mann, dunkle Hautfarbe, küssen, sich küssendes Paar, sich küssendes Paar: dunkle Hautfarbe
👩‍❤‍💋‍👨	Frau, Herz, Kuss, Küssendes Paar, Mann, küssen, sich küssendes Paar, sich küssendes Paar: Frau, Mann
👨‍❤‍💋‍👨	Frau, Herz, Kuss, Küssendes Paar, Mann, küssen, sich küssendes Paar, sich küssendes Paar: Mann, Mann
👩‍❤‍💋‍👩	Frau, Herz, Kuss, Küssendes Paar, Mann, küssen, sich küssendes Paar, sich küssendes Paar: Frau, Frau
💑	Frau, Herz, Liebe, Liebespaar, Mann, Paar
💑🏻	Frau, Herz, Liebe, Liebespaar, Liebespaar: helle Hautfarbe, Mann, Paar, helle Hautfarbe
💑🏼	Frau, Herz, Liebe, Liebespaar, Liebespaar: mittelhelle Hautfarbe, Mann, Paar, mittelhelle Hautfarbe
💑🏽	Frau, Herz, Liebe, Liebespaar, Liebespaar: mittlere Hautfarbe, Mann, Paar, mittlere Hautfarbe
💑🏾	Frau, Herz, Liebe, Liebespaar, Liebespaar: mitteldunkle Hautfarbe, Mann, Paar, mitteldunkle Hautfarbe
💑🏿	Frau, Herz, Liebe, Liebespaar, Liebespaar: dunkle Hautfarbe, Mann, Paar, dunkle Hautfarbe
👩‍❤‍👨	Frau, Herz, Liebe, Liebespaar, Liebespaar: Frau, Mann, Mann, Paar
👨‍❤‍👨	Frau, Herz, Liebe, Liebespaar, Liebespaar: Mann, Mann, Mann, Paar
👩‍❤‍👩	Frau, Herz, Liebe, Liebespaar, Liebespaar: Frau, Frau, Mann, Paar
👨‍👩‍👦	Familie, Familie: Mann, Frau und Junge, Frau, Junge, Kind, Mann, Mutter, Vater
👨‍👩‍👧	Familie, Familie: Mann, Frau und Mädchen, Frau, Junge, Kind, Mann, Mutter, Mädchen, Vater
👨‍👩‍👧‍👦	Familie, Familie: Mann, Frau, Mädchen und Junge, Frau, Junge, Kind, Mann, Mutter, Mädchen, Vater
👨‍👩‍👦‍👦	Familie, Familie: Mann, Frau, Junge und Junge, Frau, Junge, Kind, Mann, Mutter, Vater
👨‍👩‍👧‍👧	Familie, Familie: Mann, Frau, Mädchen und Mädchen, Frau, Junge, Kind, Mann, Mutter, Mädchen, Vater
👨‍👨‍👦	Familie, Familie: Mann, Mann und Junge, Junge, Kind, Mann, Mutter, Vater
👨‍👨‍👧	Familie, Familie: Mann, Mann und Mädchen, Junge, Kind, Mann, Mutter, Mädchen, Vater
👨‍👨‍👧‍👦	Familie, Familie: Mann, Mann, Mädchen und Junge, Junge, Kind, Mann, Mutter, Mädchen, Vater
👨‍👨‍👦‍👦	Familie, Familie: Mann, Mann, Junge und Junge, Junge, Kind, Mann, Mutter, Vater
👨‍👨‍👧‍👧	Familie, Familie: Mann, Mann, Mädchen und Mädchen, Junge, Kind, Mann, Mutter, Mädchen, Vater
👩‍👩‍👦	Familie, Familie: Frau, Frau und Junge, Frau, Junge, Kind, Mutter, Vater
👩‍👩‍👧	Familie, Familie: Frau, Frau und Mädchen, Frau, Junge, Kind, Mutter, Mädchen, Vater
👩‍👩‍👧‍👦	Familie, Familie: Frau, Frau, Mädchen und Junge, Frau, Junge, Kind, Mutter, Mädchen, Vater
👩‍👩‍👦‍👦	Familie, Familie: Frau, Frau, Junge und Junge, Frau, Junge, Kind, Mutter, Vater
👩‍👩‍👧‍👧	Familie, Familie: Frau, Frau, Mädchen und Mädchen, Frau, Junge, Kind, Mutter, Mädchen, Vater
👨‍👦	Familie, Familie: Mann, Junge, Junge, Kind, Mann, Mutter, Vater
👨‍👦‍👦	Familie, Familie: Mann, Junge und Junge, Junge, Kind, Mann, Mutter, Vater
👨‍👧	Familie, Familie: Mann, Mädchen, Junge, Kind, Mann, Mutter, Mädchen, Vater
👨‍👧‍👦	Familie, Familie: Mann, Mädchen und Junge, Junge, Kind, Mann, Mutter, Mädchen, Vater
👨‍👧‍👧	Familie, Familie: Mann, Mädchen und Mädchen, Junge, Kind, Mann, Mutter, Mädchen, Vater
👩‍👦	Familie, Familie: Frau, Junge, Frau, Junge, Kind, Mutter, Vater
👩‍👦‍👦	Familie, Familie: Frau, Junge und Junge, Frau, Junge, Kind, Mutter, Vater
👩‍👧	Familie, Familie: Frau, Mädchen, Frau, Junge, Kind, Mutter, Mädchen, Vater
👩‍👧‍👦	Familie, Familie: Frau, Mädchen und Junge, Frau, Junge, Kind, Mutter, Mädchen, Vater
👩‍👧‍👧	Familie, Familie: Frau, Mädchen und Mädchen, Frau, Junge, Kind, Mutter, Mädchen, Vater
🗣️	Gesicht, Kopf, Silhouette, Sprechende Person, sprechen, sprechend, sprechender Kopf
👤	Büste, Person, Silhouette einer Büste
👥	Büsten, Personen, Silhouette mehrerer Büsten
🫂	Abschied, Danke, Drücker, Freundschaft, Hallo, Liebe, Tschüss, Umarmung, drücken, sich umarmende Personen
👪️	Familie, Junge, Kind, Mutter, Vater
🧑‍🧑‍🧒	1 Kind, Familie: 2 Erwachsene, Familie: 2 Erwachsene, 1 Kind
🧑‍🧑‍🧒‍🧒	2 Kinder, Familie: 2 Erwachsene, Familie: 2 Erwachsene, 2 Kinder
🧑‍🧒	1 Kind, Familie: 1 Erwachsene(r), Familie: 1 Erwachsene(r), 1 Kind
🧑‍🧒‍🧒	2 Kinder, Familie: 1 Erwachsene(r), Familie: 1 Erwachsene(r), 2 Kinder
👣	Abdruck, Fuß, Fußabdruck, Fußabdrücke, auf dem Weg
🫆	Fingerabdruck, Forensik, Identität, Sicherheit
🦰	Rotschopf, rote Haare, rotes Haar, rothaarig
🦱	Afro, Lockenkopf, lockig, lockiges Haar
🦳	grau, graues Haar, grauhaarig, weißes Haar, weißhaarig
🦲	Chemo, Glatze, haarlos, kein Haar, rasiert
🐵	Affe, Affengesicht, Banane, Dschungel, Gesicht, Tier, Zoo
🐒	Affe, Tier
🦍	Affe, Gesicht, Gorilla, Tier
🦧	Affe, Orang-Utan, Tier
🐶	Gesicht, Hund, Hundegesicht, Tier, Wau, treu, wuff
🐕️	Haustier, Hund, Tier, wau, wuff
🦮	Barrierefreiheit, Behinderung, Blindenhund, Hund, Tier, blind, sehbehindert
🐕‍🦺	Assistenz, Assistenzhund, Barrierefreiheit, Behinderung, Hund, Tier
🐩	Hund, Pudel, Tier
🐺	Gesicht, Tier, Wolf, Wolfsgesicht
🦊	Fuchs, Fuchsgesicht, Gesicht, Tier
🦝	Tier, Waschbär, klug, neugierig, schlau
🐱	Gesicht, Katze, Katzengesicht, Miau, Miez, Miezekatze, Tier
🐈️	Haustier, Katze, Tier, miau
🐈‍⬛	Kater, Katze, Pech, Tier, Unglück, miau, schwarz, schwarze Katze, schwarzer Kater
🦁	Gesicht, Löwe, Löwengesicht, Sternzeichen, Tier, Tierkreis
🐯	Gesicht, Raubkatze, Tier, Tiger, Tigergesicht
🐅	Tier, Tiger
🐆	Leopard, Punkte, Raubkatze, Raubtier, Tier, Zoo, gepunktet
🐴	Gesicht, Pferd, Pferdegesicht, Pferdekopf, Tier
🫎	Elch, Geweih, Säugetier, Tier
🫏	Dickschädel, Dummkopf, Esel, Maultier, Säugetier, Tier, austreten, stur, störrisch
🐎	Pferd, Rennen, Rennpferd, Tier
🦄	Einhorn, Einhorngesicht, Gesicht
🦓	Streifen, Zebra, streifen, tier, zebra
🦌	Gesicht, Hirsch, Tier
🦬	Bison, Büffel, Herde, Ochse, Tier, Wisent
🐮	Gesicht, Kuh, Kuhgesicht, Tier
🐂	Kuh, Ochse, Sternzeichen, Stier, Tier, Tierkreis
🐃	Büffel, Tier, Wasser, Wasserbüffel
🐄	Bauernhof, Kuh, Tier, muh
🐷	Gesicht, Schwein, Schweinegesicht, Tier
🐖	Bauernhof, Sau, Schwein, Tier
🐗	Eber, Schwein, Tier, Wildschwein
🐽	Nase, Schwein, Schweinerüssel, Tier
🐏	Schaf, Sternzeichen, Tierkreis, Widder
🐑	Bock, Schaf, Tier, Widder, Wolle, mäh
🐐	Steinbock, Sternzeichen, Tier, Tierkreis, Ziege
🐪	Dromedar, Kamel, Tier, Wüste, einhöckrig
🐫	Kamel, Tier, Wüste, zweihöckrig
🦙	Alpaca, Alpaka, Anden, Kamel, Lama, Tier, Vicuña, Wolle
🦒	Flecken, Giraffe, flecken, giraffe, tier
🐘	Elefant, Tier
🦣	Aussterben, Mammut, Natur, Stoßzahn, Tier, groß, wollig
🦏	Nashorn, Rhinozeros, Tier
🦛	Flusspferd, Hippo, Nilpferd, Tier
🐭	Gesicht, Maus, Mausgesicht, Mäusegesicht, Nagetier, Tier
🐁	Maus, Nage, Tier
🐀	Nagetier, Ratte, Tier
🐹	Gesicht, Hamster, Hamstergesicht, Tier
🐰	Gesicht, Hase, Hasengesicht, Kaninchen, Karnickel, Langohr, Mümmelmann, Nager, Nagetier, Tier
🐇	Hase, Kaninchen, Karnickel, Mümmelmann, Nagetier, Tier
🐿️	Streifenhörnchen, Tier
🦫	Biber, Biberschwanz, Biberzahn, Damm, Natur, Otter, Tier
🦔	Igel, igel, stachelig, stacheln, tier
🦇	Fledermaus, Tier, Vampir
🐻	Bär, Bärengesicht, Gesicht, Tier
🐻‍❄	Arktis, Eisbär, Nordpol, weiß
🐨	Koala, Koalabär, Koalagesicht, Tier
