‾	nadčrtano
🍅	paradižnik, rastlina, zelenjava
🫒	hrana, oliva, oljka, oljčno olje, rastlina
🥥	kokos, palma, pina colada
🥑	avokado, hrana, sadje
🍆	jajčevec, rastlina, zelenjava
🥔	hrana, krompir, zelenjava
🥕	hrana, korenje, zelenjava
🌽	klas, koruza, koruzni storž, rastlina
🌶️	feferon, paprika, pekoče
🫑	babura, capsicum, hrana, paprika, zelena, zelenjava
🥒	hrana, kumara, kumarica, zelenjava
🥬	burgerji, hrana, kitajsko zelje, listnato zelena, listni ohrovt, solata, zelje
🥦	brokoli, hrana, zelenjava
🧄	aromatično, dišavnica, hrana, začimba, česen
🧅	aroma, aromatično, hrana, solzenje, čebula
🥜	arašid, arašidi, hrana, oreški, zelenjava
🫘	fižol, majhen, stročnica, živilo
🌰	kostanj, rastlina
🫚	ingver, ingverjevo, korenina, korenina ingverja, naravno, pivo, začimba, zelišče
🫛	edamame, grah, seme, strok, strok graha, stročnice, zelenjava
🍄‍🟫	gliva, glive, goba, gobica, hrana, nadev, nadev za pico, narava, poganjek, rjava goba, tartuf, tros, vegetarijansko, zelenjava, šampinjon, šitaka
🫜	korenasta zelenjava, korenina, pesa, repa, vrt, zelenjava
🍞	hrana, kruh, restavracija, štruca
🥐	francoski, hrana, pecivo, rogljič
🥖	bageta, francoska, hrana, kruh
🫓	arepa, hrana, indijski kruh, kruh, lavaš, naan, pita, ploščati kruh
🥨	hrana, presta, zvita
🥯	bagel, hrana, namaz, pekarna, zajtrk
🥞	hrana, palačinke, večerja, zajtrk
🧇	hrana, oblat, pecivo, vafelj, zajtrk
🧀	hrana, kos sira, sir
🍖	kost, meso, meso s kostjo
🍗	bedro, kost, perutnina, piščanec, piščančje bedro
🥩	kos mesa, meso, rdeče meso, svinjski kotlet, zrezek
🥓	hrana, meso, slanina
🍔	burger, hamburger, hitra hrana, lakota
🍟	krompirček, ocvrt krompirček, pomfrit
🍕	hrana, kos pice, pica, rezina, sir
🌭	hot dog, hrana, hrenovka, klobasa
🥪	hrana, kruh, sendvič
🌮	mehiški prigrizek, taco, tako
🌯	burito, mehiški prigrizek, tortilja
🫔	hrana, mehiška, tamale, tortilja, zavitek
🥙	falafel, gyros, hrana, kebab, nadev
🧆	falafel, hrana, kroglica, čičerika
🥚	hrana, jajca, jajce
🍳	cvrtje, jajce, kuhanje, na oko, ponev, restavracija, zajtrk
🥘	hrana, kozica, kozica s hrano, paella, ponev
🍲	hrana, juha, lonec, obara, skodelica, skodelica hrane
🫕	fondi, hrana, lonček, pomakanje, posoda, sir, smučanje, stopljena, čokolada, švicarski
🥣	kaša, kosmiči, ovsena kaša, skodelica z žlico, zajtrk
🥗	hrana, solata, zelena, zelena solata
🍿	film, kokice, pokovka
🧈	hrana, maslo, mlečni izdelek, mlečno
🧂	okus, sol, solnica, začimba
🥫	hrana, konzerva, konzervirana hrana
🍱	bento, japonsko, malica, posoda, posoda za malico bento
🍘	hrana, kreker, riž, rižev kreker
🍙	japonsko, kroglica, riž, riževa kroglica
🍚	hrana, kuhan riž, kuhano, riž
🍛	kari, riž, riž s karijem
🍜	ramen, rezanci, skleda, skleda rezancev, vrelo
🍝	hrana, mesne kroglice, restavracija, testenine, špageti
🍠	hrana, krompir, pečeni sladki krompir, pečeno, sladko
🍢	hrana, kebab, morska hrana, oden, paličica, špila
🍣	hrana, suši
🍤	kozica, ocvrt rakec, ocvrto, rakec, tempura
🍥	kolač, pecivo, riba, ribji kolač s spiralo, spirala
🥮	festival, hrana, jesen, lunina torta, yuebing
🍡	dango, japonsko, paličica, posladek, sladko, špila
🥟	cmok, gyoza, zavitek, žlikrof
🥠	piškotek sreče, prerokba
🥡	dostava hrane, embalaža za hrano, jedilne paličice, kartonska embalaža za hrano
🦀	rak, rakovica, zodiak, žival
🦞	jastog, klešče, kremna juha, morska hrana, žival
🦐	hrana, kozica, morski rakec, rak, škamp
🦑	hrana, ligenj, mehkužec, žival
🦪	biser, ostriga, potapljanje, školjka
🍦	krema, led, mehko, posladek, rahel sladoled, sladko, sladoled
🍧	led, nastrgan led, nastrgano, posladek, sladko
🍨	krema, led, posladek, sladica, sladko, sladoled
🍩	hrana, krof, posladek, sladko
🍪	koščki čokolade, piškot, posladek, sladko
🎂	hrana, pecivo, posladek, rojstni dan, rojstnodnevna torta, sladko, slavje, torta, vse najboljše
🍰	krhek kolač, pecivo, posladek, rezina, sladko, torta
🧁	hrana, kolaček, pekarna, posladek, sladkor
🥧	jabolčna pita, pecivo, pita
🍫	posladek, sladko, tablica, tablica čokolade, čokolada
🍬	bonbon, noč čarovnic, posladek, sladkarije, sladko
🍭	lizika, posladek, sladkarija, sladko, slaščica
🍮	posladek, puding, sladica, sladko, vanilijev puding
🍯	kozarec za med, lonček, med, sladko, vrč medu
🍼	dojenček, mleko, piti, steklenica, steklenička
🥛	kozarec, kozarec mleka, mleko, pijača
☕️	kava, napitek, piti, vrelo, vroč napitek, vroče, čaj
🫖	hrana, pijača, vrč, čaj, čajnik
🍵	napitek, piti, skodelica, skodelica čaja, čaj, čajna skodelica brez ročaja
🍶	bar, napitek, pijača, sake, skodelica, steklenica
🍾	bar, odleteti, odpiranje penine, pijača, steklenica, zamašek
🍷	bar, napitek, pijača, steklenica, vino, vinski kozarec
🍸️	bar, koktajl, kozarec, kozarec za koktajl, pijača
🍹	bar, koktalj, pijača, tropska pijača, tropsko
🍺	bar, pijača, pivo, vrček, vrček za pivo
🍻	bar, nazdravljanje z vrčkoma za pivo, pijača, pivo, trkanje, vrček
🥂	kozarca, nazdravljanje, pijača, praznovanje, trkanje
🥃	kozarec, kozarec žgane pijače, merica, viski, žgane pijače
🫗	kozarec, nesreča, pijača, polivanje, prazen, zlivanje tekočine
🥤	kozarec s slamico, soda, sok, voda
🧋	biser, boba, bubble tea, hrana, mleko, pena, pijača, tajvan, čaj, čaj s kroglicami
🧃	pijača, sok, tetrapak s pijačo, tetrapak s sokom
🧉	mate čaj, napitek, pijača
🧊	hladno, ledena kocka, ledeno, ohladitev
🥢	jedilne paličice, paličice
🍽️	krožnik, kuhanje, nož, obrok, večerja, vilice, vilice, nož in krožnik
🍴	hrana, kosilo, kuhanje, nož, restavracija, vilice, vilice in nož
🥄	jedilni pribor, pribor, žlica
🔪	hocho, kuhanje, kuhar, kuhinjski nož, nož, orodje, orožje
🫙	kozarec za vlaganje, omaka, posoda, prazen kozarec, prazna, praznina, shramba, začimba
🏺	amfora, kuhanje, orodje, orožje, pijača, vodnar, vrč, zodiak
🌍	Afrika, Evropa, afrika, evropa, globus, globus z Evropo in Afriko, globus z evropo in afriko, svet, zemlja
🌎️	Ameriki, ameriki, globus, globus s Severno in Južno Ameriko, globus s severno in južno ameriko, svet, zemlja
🌏	Avstralija, Azija, avstralija, azija, globus, globus z Azijo in Avstralijo, globus z azijo in avstralijo, svet, zemlja
🌐	globus, globus s poldnevniki, poldnevniki, splet, svet, zemlja
🗺️	svet, zemljevid, zemljevid sveta
🗾	Japonska, japonska, zemljevid, zemljevid Japonske, zemljevid japonske
🧭	kompas, magnet, navigacija, orientacija, smer
🏔️	gora, hladno, sneg, zasnežena gora
⛰️	gora, plezanje, vrh
🌋	gora, izbruh, vreme, vulkan
🗻	Fuji, fuji, gora, gora Fuji, narava, vrh
🏕️	kampiranje, narava, šotor
🏖️	plaža, plaža s senčnikom, senčnik
🏜️	puščava, suša, vročina
🏝️	otok, puščava, samotni otok
🏞️	nacionalni park, park
🏟️	stadion
🏛️	klasična zgradba, klasično, zgradba
🏗️	gradbišče, gradnja, zgradba, žerjav
🧱	glina, malta, opeka, opeke, zid
🪨	kamen, kamenje, pesek, pečina, skala, težek, trd
🪵	bruna, debla, deblo, drevo, gozdar, klada, les
🛖	bivanje, dom, hiša, jurta, koča, okrogla hiša, zavetišče
🏘️	hiša, hiše, zgradba
🏚️	hiša, zapuščena hiša, zapuščeno, zgradba
🏠️	dom, hiša, preprost dom, ranč, zgradba
🏡	dom, hiša, hiša z vrtom, vrt, zgradba
🏢	mesto, pisarna, poslovna stavba, služba, zgradba
🏣	japonska pošta, japonsko, pošta, zgradba
🏤	evropska, evropsko, pošta, zgradba
🏥	bolnišnica, zdravilo, zdravnik, zgradba
🏦	banka, zgradba
🏨	hotel, zgradba
🏩	hotel, ljubezen, ljubezenski hotel, zgradba
🏪	hotel, komfort, trgovina, trgovina z mešanim blagom, zgradba
🏫	zgradba, šola
🏬	blago, trgovina, veleblagovnica, zgradba
🏭️	industrija, tovarna, zgradba
🏯	grad, japonski grad, japonsko, zgradba
🏰	evropsko, grad, zgradba
💒	kapela, poroka, poročna kapela, romanca
🗼	Tokio, stolp, tokijski stolp, tokio
🗽	kip, kip svobode, new york, nyc, svoboda
⛪️	cerkev, križ, krščansko, vera, zgradba
🕌	islam, mošeja, muslimansko, vera
🛕	hindu, hindujski tempelj, tempelj
🕍	jud, judovsko, sinagoga, tempelj, vera
⛩️	svetišče, vera, šinto, šintoistično svetišče
🕋	islam, kaaba, muslimansko, vera
⛲️	fontana, vodnjak
⛺️	kampiranje, taborjenje, šotor
🌁	megla, megleno, vreme
🌃	noč, vreme, zvezda, zvezdnata noč
🏙️	mestna pokrajina, mesto, zgradba
🌄	gora, jutro, sonce, sončni vzhod, sončni vzhod v gorah, vreme
🌅	jutro, narava, sonce, sončni vzhod, vreme
🌆	mestna pokrajina v mraku, mesto, mrak, pokrajina, sonce, sončni zahod, večer, vreme, zgradba
🌇	mrak, sonce, sončni zahod, vreme, zgradba
🌉	most, most ponoči, noč, vreme
♨️	izvir, termalni vrelec, vrelec, vrelo, vroče
🎠	konj, konj na vrtiljaku, vrtiljak, zabava
🛝	igra, igrišče, tobogan, zabaviščni park
🎡	kolo, lunapark, panoramsko kolo
🎢	lunapark, vlak smrti, vlakec smrti, zabaviščni park
💈	brivec, brivski izvesek, izvesek, pričeska, striženje
🎪	cirkus, cirkuški šotor, šotor
🚂	lokomotiva, para, stroj, vlak, vozilo, železnica
🚃	avtomobil, električno, tramvaj, trolejbus, vlak, vozilo, železnica, železniški vagon
🚄	hitri vlak, hitrost, shinkansen, vlak, vozilo, železnica
🚅	hitri vlak s koničastim nosom, hitrost, koničast nos, shinkansen, vlak, vozilo, železnica
🚆	prihod, vlak, vozilo, železnica
🚇️	podzemna železnica, podzemni vlak, vozilo
🚈	ozkotirna železnica, vlak, vozilo, železnica
🚉	postaja, vlak, vozilo, železnica
🚊	tramvaj, trolejbus, vozilo
🚝	enotirna železnica, vozilo
🚞	avto, gora, gorska železnica, vozilo, železnica
🚋	tramvaj, trolejbus, vagon, vagon tramvaja, vozilo
🚌	avtobus, vozilo, šola, šolski avtobus
🚍️	avtobus, prihajajoče, prihajajoči avtobus, vozila, vozilo
🚎	avtobus, tramvaj, trolejbus, vozilo
🚐	avtobus, minibus, vozilo, vožnja
🚑️	prva pomoč, reševalno vozilo, rešilec, vozilo
🚒	avto, gasilsko, gasilsko vozilo, požar, vozilo
🚓	avto, patruljno, policija, policijsko vozilo, vozilo
🚔️	avto, policija, prihajajoče, prihajajoče policijsko vozilo, vozilo
🚕	taksi, taksist, vozilo, vožnja
🚖	avtomobil, poklicati taksi, prihajajoče, prihajajoči taksi, taksi, vozilo
🚗	avto, avtomobil, vozilo, vožnja
🚘️	avto, avtomobil, prihajajoče, prihajajoči avtomobil, vozilo, vožnja
🚙	avtomobil, cestni terenec, prostočasno, vozilo, vožnja
🛻	avto, delovno vozilo, pick-up, pickup, poltovornjak, tovornjak, transport, vozilo, vožnja
🚚	dostavno, dostavno vozilo, poltovornjak, tovornjak, vozilo
🚛	kamion, polpriklopnik, tovornjak, tovornjak s prikolico, vozilo
🚜	traktor, vozilo
🏎️	avto, dirkalnik, dirkanje, hitrost
🏍️	dirkanje, motor
🛵	motor, skuter, vozilo
🦽	invalid, ročni invalidski voziček
🦼	invalid, motoriziran invalidski voziček
🛺	rikša z motorjem, tuk tuk, vozilo
🚲️	kolesarjenje, kolo, vozilo, šport
🛴	poganjanje, skiro
🛹	deska, kolesa, rolka, rolkanje
🛼	kotalka, kotalkanje, kotalke, roler, šport
🚏	avtobus, avtobusna postaja, avtobusno postajališče, postajališče
🛣️	avtocesta, cesta
🛤️	vlak, železnica, železniška proga
🛢️	nafta, naftni sod, sod
⛽️	bencin, gorivo, servis, črpalka, črpalka za gorivo
🛞	avto, avtomobilsko kolo, krog, pnevmatika, vozilo, vrtenje
🚨	avto, luč, policija, policijska luč, rotacijska luč, vozilo, vrteče
🚥	križišče, luč, promet, semafor, vodoravni semafor
🚦	križišče, luč, navpični semafor, promet, semafor
🛑	osemkotnik, stop, znak, znak stop
🚧	gradnja, ovira, prepreka, zaprto zaradi gradnje
⚓️	ladja, orodje, sidro
🛟	plavajoč, plavanje, reševanje, reševanje iz vode, rešilni jopič, rešilni obroč, rešilni pripomoček, varnost
⛵️	jadranje, jadrnica, jahta, letovišče, morje, vozilo, čoln
🛶	kanu, čoln
🚤	gliser, luksuz, poletje, vozilo, čoln
🛳️	ladja, potnik, potniška ladja, vozilo
⛴️	ladja, potnik, trajekt, vozilo
🛥️	ladja, motorni čoln, vozilo, čoln
🚢	ladja, potnik, potovanje, titanik, vozilo
✈️	letalo, letenje, potovanje, vozilo
🛩️	letalo, manjše letalo, vozilo
🛫	letalo, odhod, odhod letala, odhodi, prijava, vozilo
🛬	letalo, prihod, prihod letala, prihodi, pristanek, vozilo
🪂	jadralni zmaj, jadralno padalo, padalo, parasailing, skok s padalom
💺	sedež, stol
🚁	helikopter, potovanje, vozilo
🚟	viseča železnica, viseče, vozilo, železnica
🚠	gondola, gora, jeklena vrv, nihalka, vozilo
🚡	gondola, jeklena vrv, tramvaj, vagon, vozilo, zračno, žičnica
🛰️	satelit, vesolje, vozilo
🚀	potovanje, raketa, vesolje, vozilo
🛸	NLP, leteči krožnik, nezemljani, neznani leteči predmet
🛎️	hotel, hotelski zvonec, portir, zvonec
🧳	kovček, pakiranje, potovanje, prtljaga
⌛️	pesek, peščena ura, čas, časovnik
⏳️	ki teče, pesek, peščena ura, peščena ura, ki teče, čas, časovnik
⌚️	ročna ura, ura, čas
⏰️	alarm, budilka, ura, čas
⏱️	ura, čas, štoparica
⏲️	odštevalnik časa, ura, časovnik
🕰️	ura, ura za na okvir kamina, čas
🕛️	00, 12, 12.00, dvanajst, opoldan, poldne, ura
🕧	12, 12.30, 30, dvanajst, ena, pol, pol enih, ura
🕐️	00, 1, 1.00, ena, ura, ura je ena
🕜	1, 1.30, 30, dve, ena, pol, pol dveh, ura
🕑️	00, 2, 2.00, dve, ura, ura je dve
🕝	2, 2.30, 30, dve, pol, pol treh, tri, ura
🕒️	00, 3, 3.00, tri, ura, ura je tri
🕞	3, 3.30, 30, pol, pol štirih, tri, ura, štiri
🕓️	00, 4, 4.00, ura, ura je štiri, štiri
🕟	30, 4, 4.30, pet, pol, pol petih, ura, čas, štiri
🕔️	00, 5, 5.00, pet, ura, ura je pet
🕠	30, 5, 5.30, pet, pol, pol šestih, ura, šest
🕕️	00, 6, 6.00, ura, ura je šest, šest
🕡	30, 6, 6.30, pol, pol sedmih, sedem, ura, šest
🕖️	00, 7, 7.00, sedem, ura, ura je sedem
🕢	30, 7, 7.30, osem, pol, pol osmih, sedem, ura
🕗️	00, 8, 8.00, osem, ura, ura je osem
🕣	30, 8, 8.30, devet, osem, pol, pol devetih, ura
🕘️	00, 9, 9.00, devet, ura, ura je devet
🕤	30, 9, 9.30, deset, devet, pol, pol desetih, ura
🕙️	00, 10, 10.00, deset, ura, ura je deset
🕥	10, 10.30, 30, deset, enajst, pol, pol enajstih, ura
🕚️	00, 11, 11.00, enajst, ura, ura je enajst
🕦	11, 11.30, 30, dvanajst, enajst, pol, pol dvanajstih, ura
🌑	luna, mlada luna, tema, vesolje, vreme
🌒	krajec, luna, prvi, prvi krajec, vesolje, vreme
🌓	luna, polovično osvetljena luna v prvem krajcu, vesolje, vreme, četrt
🌔	luna, polovično, prvi, vesolje, več kot polovično osvetljen prvi krajec, vreme
🌕️	luna, polna luna, polno, vesolje, vreme
🌖	luna, polovično, vesolje, več kot polovično osvetljen zadnji krajec, vreme, zadnji
🌗	luna, polovično osvetljena luna v zadnjem krajcu, vesolje, vreme, četrt
🌘	krajec, luna, vesolje, vreme, zadnji, zadnji krajec
🌙	krajec, luna, lunin srp, vesolje, vreme
🌚	luna, mlada luna z obrazom, obraz, vesolje, vreme
🌛	luna, obraz, polovično osvetljena luna v prvem krajcu z obrazom, vesolje, vreme, četrt
