‾	horná čiara
🌒	dorastajúci, dorastajúci polmesiac, mesiac, narastajúci, nočná obloha, polmesiac, počasie, vesmír
🌓	dorastajúci, mesiac, mesiac v prvej štvrtine, noc, nočná obloha, počasie, prvá štvrť mesiaca, príroda, vesmír, štvrtina, štvrť
🌔	dorastajúci mesiac, mesiac, narastajúci, počasie, príroda, vesmír, vypuklý
🌕️	mesiac, nočná obloha, obloha, počasie, spln, vesmír
🌖	cúvajúci mesiac, mesiac, noc, nočná obloha, počasie, ubúdajúci, ubúdajúci mesiac, vesmír, vypuklý
🌗	cúva, mesiac, mesiac v poslednej štvrtine, noc, nočná, polmesiac, posledná štvrť mesiaca, počasie, príroda, vesmír, štvrtina, štvrť
🌘	cúvajúci, mesiac, noc, nočná obloha, polmesiac, počasie, príroda, ubúdajúci, ubúdajúci polmesiac, vesmír
🌙	dorastá, mesiac, polmesiac, počasie, príroda, ramadán, vesmír
🌚	mesiac, mesiac v nove, nov s tvárou, nočná obloha, obloha, počasie, tvár, vesmír
🌛	dorastá, mesiac, mesiac v prvej štvrti s tvárou, mesiac v prvej štvrtine s tvárou, počasie, príroda, tvár, vesmír, štvrtina, štvrť
🌜️	cúvajúci, mesiac, mesiac v poslednej štvrti s tvárou, mesiac v poslednej štvrtine s tvárou, noc, nočná obloha, počasie, tvár, ubúdajúci, vesmír, štvrtina, štvrť
🌡️	horúčka, počasie, teplomer, teplota
☀️	hviezda, jas, jasno, lúče, počasie, príroda, slnečno, slniečko, slnko, vesmír
🌝	jas, mesiac, noc, nočná obloha, počasie, príroda, spln, spln s tvárou, tvár, vesmír
🌞	deň, jas, počasie, príroda, slnečný, slnko, slnko s tvárou, teplo, tvár, vesmír
🪐	planéta, planéta s prstencom, prstenec, saturn
⭐️	astronómia, biela stredná hviezda, hviezda, hviezdy, stredná hviezda
🌟	hviezda, jas, noc, nočná, príroda, trblietajúca sa hviezda, trblietajúce sa, trblietanie, trblietať, záblesk, žiariaca hviezda, žiariť
🌠	hviezda, kométa, padajúca, padajúca hviezda, vesmír
🌌	mliečna dráha, noc, nočná obloha, obloha, počasie, vesmír
☁️	oblak, počasie, príroda, zamračené
⛅️	oblak, oblačno, polooblačno, počasie, slnko, slnko za oblakom, zamračené
⛈️	búrka, dážd, hrom, oblak, oblak s bleskom a dažďom, počasie, príroda
🌤️	oblak, polojasno, polooblačno, počasie, slnečno, slnko, slnko za malým oblakom
🌥️	oblak, oblačno, počasie, príroda, slnko, slnko za veľkým oblakom, zamračené
🌦️	dážď, oblak, počasie, prehánky, príroda, slnko, slnko za dažďovým oblakom
🌧️	dažďový oblak, dážď, oblak, oblačno, počasie, prší
🌨️	chladno, mráz, oblak, počasie, príroda, sneh, snehový oblak, sneží, studený, zima
🌩️	blesk, búrka, oblak, oblak s bleskom, počasie
🌪️	oblak, počasie, príroda, tornádo, vietor, vzdušný vír
🌫️	hmla, oblak, počasie, príroda
🌬️	fujavica, fúkanie, oblak, počasie, príroda, tvár, vietor, zima
🌀	cyklón, kolotoč, počasie, tajfún, tornádo, točiaca sa hlava, špirála
🌈	LGBT, bisexuál, dážď, dúha, farebná dúha, gay, lesba, lgbtqia, počasie, pride, príroda, transsexuál
🌂	dáždnik, dážď, fialový, oblečenie, počasie, zatvorený dáždnik
☂️	dáždnik, dážď, fialová, oblečenie, otvorený dáždnik, počasie
☔️	dáždnik, dáždnik s kvapkami, dážď, kvapka, oblečenie, počasie, príroda, prší
⛱️	dážď, leto, pláž, počasie, slnečník, slnečník na zemi, slnko
⚡️	blesk, búrka, elektrické, elektrina, hrom, napätie, nebezpečenstvo, príroda, prúd, vysoké napätie, zásah prúdom
❄️	počasie, príroda, sneh, snehová vločka, studené, zima
☃️	počasie, príroda, sneh, snehuliak, sneží, studené, zima
⛄️	počasie, sneh, snehuliak, snehuliak bez snehu, studené, zima
☄️	kométa, meteor, vesmír
🔥	horenie, horúci, oheň, plameň, požiar, prostriedok, teplo
💧	komixové, kvapka, pot, počasie, príroda, slza, smútok, studené, tekutina, voda
🌊	Kanagawa, cunami, morská vlna, oceán, počasie, surf, surfovať, vlna, voda
🎃	dyňa, halloween, halloweenska dyňa, halloweenska tekvica, halloweenská tekvica, lampáš, oslava, svetlonoš, svietnik, tekvica, vyrezávaná
🎄	darčeky, oslava, ozdoby, strom, stromček, vianoce, vianočný stromček
🎆	bum, ohňostroj, oslava, výbuch, zábava
🎇	iskra, obrázok, ohňostroj, oslava, prskavka, silvester
🧨	bomba, buchnúť, dynamit, explodovať, explózia, iskra, oheň, ohňostroj, petarda, prasknutie, prasknúť, rozbuška, svetlica, svetlo, vybuchnúť, výbuch, výbušnina, zapáliť
✨️	*, hviezda, iskra, iskry, kúzlo, mágia, trblietať sa, žiariť
🎈	balón, balónik, narodeniny, oslava, slávnosť, červený
🎉	hurá, konfety, narodeniny, oslava, párty, salónka, super
🎊	guľa, konfetová guľa, konfety, lopta, narodeniny, oslava, párty
🎋	japonský, oslava, strom, stromček, stromček tanabata, tanabata, zástava
🎍	bambus, borovicová dekorácia, ihličie, ikebana, japonské, oslava, rastlina
🎎	bábka, festival, japonské bábiky, japonský, oslava
🎏	deň detí, japonský, kapor, koinobori, oslava, ryby, vlajka, vlajka v tvare kapra, zástava
🎐	oslava, veterná zvonkohra, vietor, zvonec, zvoniec, zvonkohra
🎑	mesačný obrad, mesiac, obrad, obrázok, oslava, slávnosti mesiaca
🧧	ang pow, bohatstvo, chung-pao, dar, darček, hóngbāo, lai see, novoročná červená obálka, peniaze, pre šťastie, červená obálka, červený balíček, čínsky nový rok, šťastie, šťastné peniaze
🎀	mašľa, oslava, ružová, stuha
🎁	balík, dar, darček, oslava, prekvapenie, vianoce, zabalený, zabalený darček
🎗️	oslava, pamiatka, pripomienka, stužka
🎟️	lístok, vstupenka, vstupenky
🎫	lístok, vstupenka, ústrižok, útržok
🎖️	armáda, medaila, medajla, odznak, oslava, vojenská, vojenská medaila, vyznamenanie
🏆️	cena, pohár, titul, trofej, víťaz, víťazný pohár, víťazstvo, výhra, šampión
🏅	cena, hviezda, medaila, ocenenie, trikolóra, víťaz, víťazstvo, výhra, zlato, šport, športová medaila
🥇	medaila, medaila za 1. miesto, miesto, prvé, titul, trikolóra, víťaz, víťazstvo, výhra, zlato, zlatá medaila, šampión, šport
🥈	druhé, medaila, medaila za 2. miesto, miesto, strieborná medaila, striebro, trikolóra, šport
🥉	bronz, bronzová medaila, medaila, medaila za 3. miesto, miesto, tretie, trikolóra, šport
⚽️	futbal, gól, lopta, messi, ronaldo, zápas, šport
⚾️	basebal, baseball, bejzbal, lopta, loptička, šport
🥎	lopta, loptička, nadhod, nadhodenie, podanie, rukavica, softbal, softbalová lopta, šport
🏀	basketbal, kôš, lopta, obruč, šport
🏐	hra, lopta, volejbal, šport
🏈	americký, americký futbal, futbal, lopta, super bowl, šiška, šport
🏉	americký futbal, futbal, lopta, ragby, rugby, šport
🎾	lopta, raketa, tenis, šport
🥏	aerodynamický, chytanie, chytať, disk, frisbee, hra, hrať sa, hádzanie, hádzať, let, lietajúci disk, lietajúci tanier, rekreácia, tanier, ultimate frisbee, šport
🎳	bowling, guľa, hra, kolky, kuželky, zábava, šport
🏏	hra, kriket, lopta, palica, pálka, šport
🏑	hokej, hokejka, hra, lopta, pole, pozemný hokej, šport
🏒	hokej, hokejka, hokejka a puk, hra, puk, ľad, ľadový hokej, šport
🥍	bránka, gól, lakros, lakroska, lopta, loptička, palica
🏓	hra, lopta, ping pong, raketa, stolný, stolný tenis, tenis, šport
🏸	badminton, bedminton, hra, košík, loptička, raketa, zápas, šport
🥊	box, boxovacia rukavica, ring, rukavica, červená, šport
🥋	bojové umenia, džudo, karate, kimono, taekwondo, úbor, úbor na bojové umenie, šport
🥅	bránka, gól, hokej, sieť, šport
⛳️	golf, jamka, zástava v jamke, červená vlajka, šport
⛸️	korčuľa, korčuľovanie, krasokorčuľovanie, kĺzanie, ľad, šport
🎣	chytanie rýb, ryba, rybolov, udica, zábava, šport
🤿	okuliare, potápanie, potápačská maska, potápačské okuliare, šnorchel, šnorchlovanie
🎽	atletika, beh, bežecké tričko, tričko, šerpa, šport
🎿	cestovanie, free ride, lyže, lyžiarky, skialp, sneh, šport
🛷	boby, sane, sneh, sánkovať sa, sánky, tobogán, zima, šport
🥌	curling, curlingový kameň, hra, kameň, zimný, ľad, šport
🎯	cieľ, hra, oko, presný stred, presný zásah, stred, terč, zásah, úspech, šport, šípka
🪀	cievka, hračka, jo-jo, jojo, kolísanie
🪁	let, lietanie, papierový šarkan, púšťanie, stúpanie, vzlietnutie
🔫	hračkárska pištoľ, nástroj, pištoľ, revolver, vodná pištoľ, zbraň
🎱	8, biliard, biliardová guľa č. 8, biliárd, guľa č. 8, hra, osem, čierna, šport
🔮	fantasy, guľa, krištáľ, krištáľová guľa, kryštálová, kryšťalová, nástroj, rozprávka, sklená, veštenie
🪄	kúzelná palička, kúzlo, palička, čarodejník, čarodejníčka
🎮️	hra, ovládač, počítač, videohra
🕹️	hra, joystick, počítač, páka, videohra, zábava
🎰	automat, gambling, hazard, hra, kasíno, výherná, výherný automat, výhra
🎲	hra, hracia kocka, kocka, kocky, zábava
🧩	diel, dielik, dieliky, kúsok, kľúč, prepojený, puzzle, skladačka, zapadať do seba
🧸	hračka, hrať sa, macko, maznáčik, medvedík, medveď, mäkkučký, plyš, plyšiak, plyšová, plyšový, roztomilý, vypchatý
🪅	cinco de mayo, mexické, oslava, pinata, piñata, piňata, párty, sladkosti, večierok
🪩	blyšťanie, disko, párty, tanec, zrkadlová guľa
🪆	bábika, matrioška, matriošky, ruská
♠️	farba, hra, karta, pika, čierna, žolík
♥️	cit, farba, hra, karta, láska, srdce, srdcia, červená, žolík
♦️	farba, hra, karta, kára, káro, červená, žolík
♣️	farba, hra, karta, kríž, poker, tref, trojlístky, trojlístok, čierna, žaluď, žolík
♟️	figúrka, pešiak, šach
🃏	divoká karta, hra, hracie, karta, zábava, žolík
🀄️	hra, madžong, madžongový červený drak, mahjong, mahjongový červerný drak, červený
🎴	hra, hracie, japonská, japonské hracie karty, japonské karty, karta, kvetová
🎭️	Shakespeare, divadelné, divadlo, maska, muzikál, opera, povolanie, scéna, umenie
🖼️	galéria, maľba, múzeum, obraz, rám, umenie, zarámovaný obraz
🎨	farebná, galéria, maliar, maliarska paleta, maľba, múzeum, paleta, umenie
🧵	bavlnka, cievka, cievka nite, ihla, krajčírstvo, motúz, nitka, niť, povrázok, vlákno, šitie, šitíčko, šiť, šňúrka
🪡	ihla, krajčír, niť, stehy, vlákno, vyšívanie, šitie
🧶	bavlnka, háčkovanie, háčkovať, klbko, pletenie, pliesť, priadza, vlna, vlákno, zmotať, štrikovanie, štrikovať
🪢	lano, povraz, uzol, zamotané, zaviazať, šnúra
👓️	oblečenie, oko, okuliare, sklá
🕶️	oko, okuliare, slnečné okuliare, tmavé
🥽	akvalung, ochrana očí, ochranné okuliare, plavecké okuliare, plávanie, potápanie, potápačské okuliare, zváranie, zváračské okuliare, šport
🥼	biely plášť, doktor, doktorka, dr., experiment, laboratórny plášť, lekár, lekárka, oblečenie, odev, plášť, pokus, vedec, vedkyňa
🦺	bezpečnostná vesta, bezpečnosť, núdza, reflexná, vesta, výstražná
👔	kravata, nakupovanie, oblečenie, obliekanie, povolanie, práca, zamestnanie
👕	golier, košeľa, nakupovanie, nákup, oblečenie, tričko
👖	džínsy, gate, nakupovanie, nohavice, oblečenie, rifle
🧣	chlad, krk, uviazaný, uzol, zelený, zima, šatka, šál
🧤	modrá rukavica, ruka, rukavica, rukavice
🧥	bunda, chlad, kabát, páperová bunda, vetrovka, zima, červená
🧦	oblečenie, pančucha, ponožky, pár ponožiek
👗	bál, dámske šaty, oblečenie, ples, šaty
👘	japonsko, kimono, oblečenie, pohodlie
🥻	oblečenie, odev, sárí, šaty
🩱	dámske plavky, jednodielne plavky, plavky
🩲	bielizeň, jednodielne, plavky, slipy, spodky
🩳	jednodielne, kraťasy, krátke nohavice, plavky, spodky, trenírky, šortky
👙	bazén, bikini, dámske, leto, more, oblečenie, plavky, plávanie, plávať, pláž
👚	blúza, blúzka, dámske oblečenie, dámske šaty, golier, oblečenie, polo tričko, ružová, žena, ženské šaty
🪭	chladenie, flirtovať, hanblivosť, horúco, kmitavý pohyb, skladací vejár, tanec, vejár
👛	kabelka, koruna, minca, móda, oblečenie, peniaze, peňaženka
👜	doplnky, dáma, kabelka, nakupovanie, nákupy, oblečenie, taška
👝	kabelka, malá kabelka, oblečenie, peňaženka, taška
🛍️	darčeková taška, hotel, nakupovanie, nákupné tašky, nákupy, taška
🎒	aktovka, batoh, plecniak, taška, učenie, vzdelanie, škola, školský batoh, školský ruksak
🩴	flip flopy, pláž, sandále, šľapky, žabky
👞	hnedá, kožená, muž, noha, oblečenie, obuv, pánska topánka, topánka
👟	beh, bežecká topánka, botaska, oblečenie, teniska, tennis, topánka, šport, športové
🥾	cestovanie, kempovanie, kempovať, pešia túra, pohorka, stanovanie, stanovať, topánka, táborenie, táboriť, túra, šport
🥿	balerína, balerínka, balerínky, baleríny, bez podpätkov, cvička, nazúvacie, nízka obuv, nízky, papučka, plochá obuv, pohodlie, pohodlné, rovná podrážka, ľahká topánka
👠	lodička, móda, nakupovanie, oblečenie, podpätok, topánka, topánka na podpätku, žena
👡	dámska šľapka, dámsky sandál, nakupovanie, oblečenie, sandál, topánka, žena
🩰	balerína, balet, baletné špice, tanec
👢	dámska čižma, kozačka, nakupovanie, oblečenie, obuv, topánka, čižma, žena
🪮	afro, hrebeň, hrebeň na kučeravé vlasy, vlasy, česať
👑	klenot, koruna, korunovácia, kráľ, kráľovná, oblečenie, rozprávka, šľachta
👒	derby, doplnok, dostihy, dámsky klobúk, klobúk, móda, oblečenie, oslava, záhradná party, žena
🎩	cylinder, formálny, klobúk, kúzelník, oblečenie, vysoký, čierny klobúk
🎓️	klobúk, oblečenie, oslava, promočná čiapka, promócia, promócie, univerzita, vysoká, vzdelanie, čiapka, škola
🧢	bejzbalová čiapka, oblečenie, okrúhly šilt, čiapka, šiltovka
🪖	armáda, helma, prilba, vojak, vojenská helma, vojna, vojsko
⛑️	helma, helma s bielym krížom, kríž, pomoc, prilba, tvár, záchranár, záchranárska helma, čapica
📿	koráliky, korálky, modlitba, modlitebné koráliky, modlitebné korálky, náboženstvo, náhrdelník, oblečenie, pátričky, ruženec
💄	kozmetika, líčenie, make-up, makeup, rande, rúž
💍	briliant, diamant, drahokam, manželstvo, požiadať o ruku, prsteň, romanca, svadba, vydatá, zásnuby, ženatý, žiarivý
💎	bohatstvo, briliant, diamant, drahokam, klenot, peniaze, prsteň, romanca, svadba, zásnuby, šperk
🔇	hlasitosť, reproduktor, stlmený, tichý, vypnutý, vypnutý reproduktor
🔈️	hlasitosť, nahlas, nízka hlasitosť, reproduktor, zvuk
🔉	hlasitosť, reproduktor, stredná, stredná hlasitosť, vlna, zapnutý reproduktor, zvuk
🔊	hlasitosť, nahlas, nahlas zapnutý reproduktor, reproduktor, vysoká, vysoká hlasitosť, zvuk
📢	amplión, dedina, hudba, nahlas, rozhlas, verejný rozhlas, zvuk
📣	megafón, povzbudzovanie, zvuk
📯	hudba, lesný roh, pošta, poštová, poštová trúba, trúba
🔔	kostol, pauza, prestávka, zvon, zvonček
🔕	nepovolené, nie, prečiarknutý zvon, prečiarknutý zvoniec, stlmené, stíšené, ticho, zakázané, zakázané zvonenie, zvonec
🎼	hudba, husľový kľúč, notová osnova, osnova
🎵	hudba, nota, zvuk, štvrťové noty
🎶	hudba, nota, noty, zvuk
🎙️	hudba, mikrofón, podcast, zvuk, štúdio, štúdiový mikrofón
🎚️	hlasitosť, hudba, intenzita, posúvač, posúvač úrovne, pošúvač, úroveň
🎛️	gombíky, hudba, ovládacie prvky, ovládanie, ovládače, zvuk
🎤	hudba, karaoke, mikrofón, pieseň, spevák, spievanie, zvuk
🎧️	slúchadlo, slúchadlá, zvuk
📻️	hudba, rádio, video, zvuk, zábava
🎷	hudba, hudobný nástroj, nástroj, saxafón, saxofón, zvuk
🪗	akordeón, harmonika, hudobný nástroj, ťahacia
🎸	elektrická gitara, gitara, hudba, nástroj, zvuk, zábava
🎹	hudba, klaviatúra, klavír, klávesy, nástroj, piáno, zvuk
🎺	hudba, nástroj, trumpeta, trúbka, zvuk
🎻	hudba, husle, nástroj, sláčik, stradivárky, viola, zvuk
🪕	banjo, bendžo, hudba, hudobný nástroj, nástroj, strunový
🥁	bubenícke, bubon, hudba, paličky, zvuk
🪘	bubenícke, bubon, hudobný nástroj, kongo, rytmus
🪇	hrkať, hudba, nástroj, perkusie, párty, rumbagule, tancovať, triasť
🪈	drevený dychový hudobný nástroj, drevený dychový nástroj, flauta, hudba, nástroj, orchester, pikola, píšťalka, záznamník
🪉	harfa, hudba, hudobný, láska, nástroj
📱	komunikácia, mobil, mobilný, telefón
📲	hovor, mobil, mobil so šípkou, mobilný, mobilný telefón so šípkou, prijímať, telefón, šípka
☎️	pevná linka, telefón, volať, červená
📞	komunikácia, slúchadlo, slúchadlo telefónu, telefón
📟️	komunikácia, pager, pejdžer
📠	fax, komunikácia, telefax
🔋	baterka, batéria, nabíjanie, zelená
🪫	batéria, elektronika, málo energie, slabá batéria, vyčerpanie
🔌	domácnosť, elektrická, elektrina, prípojka, zástrčka
💻️	macbook, notebook, osobný, pc, počítač, prenosný počítač
🖥️	PC, desktop, monitor, počítač, stolný, stolný počítač
🖨️	počítač, tlačiareň, tlačiť, vytlačiť
⌨️	klávesnica, počítač
🖱️	myš, počítač, počítačová myš, tlačidlo
🖲️	počítač, trackball, trekbol
💽	cd, disk, hudba, minidisk, optický, počítač, počítačový disk, zvuk
💾	disk, disketa, počítač
💿️	blu-ray, cd, cédéčko, disk, dvd, optický, optický disk, počítač
📀	blu-ray, cd, cédéčko, disk, dvd, optický, počítač
🧮	abakus, deti, detské, guľôčkové počítadlo, guľôčky, kalkulačka, kalkulácia, matematika, myslenie hrou, počty, počítadlo, počítanie, výpočet, škola
🎥	bollywood, film, filmová kamera, hollywood, kamera, kino, zábava
