‾	oorheendruk, oorstreep, vinkulum
💑🏽	ek en jy, hartjie, herinneringsdag, liefde, medium velkleur, paartjie, paartjie met hartjie, paartjie met hartjie: medium velkleur, romanse, soen
💑🏾	ek en jy, hartjie, herinneringsdag, liefde, medium-donker velkleur, paartjie, paartjie met hartjie, paartjie met hartjie: medium-donker velkleur, romanse, soen
💑🏿	donker velkleur, ek en jy, hartjie, herinneringsdag, liefde, paartjie, paartjie met hartjie, paartjie met hartjie: donker velkleur, romanse, soen
👩‍❤‍👨	ek en jy, hartjie, herinneringsdag, liefde, man, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, man, romanse, soen, vrou
👨‍❤‍👨	ek en jy, hartjie, herinneringsdag, liefde, man, paartjie, paartjie met hartjie, paartjie met hartjie: man, man, romanse, soen
👩‍❤‍👩	ek en jy, hartjie, herinneringsdag, liefde, paartjie, paartjie met hartjie, paartjie met hartjie: vrou, vrou, romanse, soen, vrou
👨‍👩‍👦	gesin, gesin: man, vrou, seun, kind, ma, man, moeder, pa, seun, vader, vrou
👨‍👩‍👧	gesin, gesin: man, vrou, meisie, kind, ma, man, meisie, moeder, pa, vader, vrou
👨‍👩‍👧‍👦	gesin, gesin: man, vrou, meisie, seun, kind, ma, man, meisie, moeder, pa, seun, vader, vrou
👨‍👩‍👦‍👦	gesin, gesin: man, vrou, seun, seun, kind, ma, man, moeder, pa, seun, vader, vrou
👨‍👩‍👧‍👧	gesin, gesin: man, vrou, meisie, meisie, kind, ma, man, meisie, moeder, pa, vader, vrou
👨‍👨‍👦	gesin, gesin: man, man, seun, kind, ma, man, moeder, pa, seun, vader
👨‍👨‍👧	gesin, gesin: man, man, meisie, kind, ma, man, meisie, moeder, pa, vader
👨‍👨‍👧‍👦	gesin, gesin: man, man, meisie, seun, kind, ma, man, meisie, moeder, pa, seun, vader
👨‍👨‍👦‍👦	gesin, gesin: man, man, seun, seun, kind, ma, man, moeder, pa, seun, vader
👨‍👨‍👧‍👧	gesin, gesin: man, man, meisie, meisie, kind, ma, man, meisie, moeder, pa, vader
👩‍👩‍👦	gesin, gesin: vrou, vrou, seun, kind, ma, moeder, pa, seun, vader, vrou
👩‍👩‍👧	gesin, gesin: vrou, vrou, meisie, kind, ma, meisie, moeder, pa, vader, vrou
👩‍👩‍👧‍👦	gesin, gesin: vrou, vrou, meisie, seun, kind, ma, meisie, moeder, pa, seun, vader, vrou
👩‍👩‍👦‍👦	gesin, gesin: vrou, vrou, seun, seun, kind, ma, moeder, pa, seun, vader, vrou
👩‍👩‍👧‍👧	gesin, gesin: vrou, vrou, meisie, meisie, kind, ma, meisie, moeder, pa, vader, vrou
👨‍👦	gesin, gesin: man, seun, kind, ma, man, moeder, pa, seun, vader
👨‍👦‍👦	gesin, gesin: man, seun, seun, kind, ma, man, moeder, pa, seun, vader
👨‍👧	gesin, gesin: man, meisie, kind, ma, man, meisie, moeder, pa, vader
👨‍👧‍👦	gesin, gesin: man, meisie, seun, kind, ma, man, meisie, moeder, pa, seun, vader
👨‍👧‍👧	gesin, gesin: man, meisie, meisie, kind, ma, man, meisie, moeder, pa, vader
👩‍👦	gesin, gesin: vrou, seun, kind, ma, moeder, pa, seun, vader, vrou
👩‍👦‍👦	gesin, gesin: vrou, seun, seun, kind, ma, moeder, pa, seun, vader, vrou
👩‍👧	gesin, gesin: vrou, meisie, kind, ma, meisie, moeder, pa, vader, vrou
👩‍👧‍👦	gesin, gesin: vrou, meisie, seun, kind, ma, meisie, moeder, pa, seun, vader, vrou
👩‍👧‍👧	gesin, gesin: vrou, meisie, meisie, kind, ma, meisie, moeder, pa, vader, vrou
🗣️	gesig, kop, kop wat praat, praat, pratend, silhoeët, skaduwee
👤	borsbeeld, borssilhoeët, profiel, raaiselagtig, silhoeët, silhoeët van borsbeeld, skaduwee
👥	almal, borsbeeld, borsbeeldsilhoeëtte, borssilhoeëtte, mense, profiele, silhoeëtte, vriend, vriende
🫂	dankie, druk, drukkie, hallo, mense wat mekaar druk, omhels, omhelsing, totsiens, troos, vriendskap
👪️	gesin, kind, ma, moeder, pa, vader
🧑‍🧑‍🧒	gesin: grootmens, gesin: grootmens, volwasse, kind, kind, volwasse
🧑‍🧑‍🧒‍🧒	gesin: grootmens, gesin: grootmens, volwasse, kind, kind, kind, volwasse
🧑‍🧒	gesin: grootmens, gesin: grootmens, kind, kind
🧑‍🧒‍🧒	gesin: grootmens, gesin: grootmens, kind, kind, kind
👣	handelsmerk, kaalvoet, klerasie, klere, loop, spoor, voetafdrukke, voetspoor, voetspore
🫆	forensiese bewys, identiteit, veiligheid, vingerafdruk
🦰	hare, rooi, rooi hare, rooikop
🦱	afro, hare, krulhare, krullerig, krulletjies
🦳	grys, hare, oud, wit, wit hare
🦲	afgeskeer, bles, chemoterapie, geen, haarloos, hare
🐵	aap, aapgesig, dier, gesig, nuuskierig, nuuskierige agie, piesang
🐒	aap, apie, boomklimmer, dier, piesang
🦍	aap, dier, gesig, gorilla, groot aap, oerwoud
🦧	aap, bobbejaan, dier, grootaap, oerangoetang, oerwoud, orangoetang
🐶	bewonder, dier, gesig, hond, hondgesig, hondjie, hondjies, troeteldier
🐕️	dier, diere, hond, honde, troeteldier, waghond
🦮	blind, gestremde, gids, gidshond, toeganklikheid
🐕‍🦺	blinde, diens, dienshond, hond, hulp, toeganklikheid, werkende hond
🐩	dier, hond, poedel, troeteldier, wollerig
🐺	dier, gesig, natuur, wilde dier, wolf, wolfgesig
🦊	dier, gesig, jakkals, roofdier, vos
🦝	dier, nuuskierig, slinks, soogdier, wasbeer
🐱	dier, gesig, kat, katgesig, katjie, kietsie, troeteldier
🐈️	dier, diere, kat, katjie, katte, troeteldier
🐈‍⬛	Halloween, dier, heks, kat, katagtig, miau, ongelukkig, swart, swart kat, troeteldier
🦁	Leo, brul, diereriem, gesig, horoskoop, leeu, leeugesig, maanhare, safari, sterk
🐯	dier, gesig, groot kat, roofdier, tier, tiergesig
🐅	dier, diere, dieretuin, groot kat, oerwoud, roofdier, tier
🐆	dier, diere, dieretuin, groot kat, luiperd, roofdier, wildtuin
🐴	dier, dressage, dressuur, gesig, perd, perdesport, perdgesig, perdry, plaas
🫎	bok, dier, eland, elandsleer, elk, gewei, horings, soogdier
🫏	dier, donkie, esel, hardkoppig, muil, soogdier
🐎	die July, die Met, dier, perd, perdewedrenne, plaas, resiesperd, ruiter, weddenskappe, wedren
🦄	eenhoring, eenhoringgesig, fantasie, gelukbringer, gesig
🦓	dier, gestreepte dier, sebra, streep, wildsbok
🦌	bok, dier, gesig, hert, takbok, wildsbok
🦬	Amerikaanse buffel, bedreigde spesie, bison, buffel, dier, grasvreter, oeros, soogdier, trop, warmbloedig
🐮	bees, bulk, dier, gesig, koei, koeigesig, melk, plaas
🐂	Taurus, bul, dier, diere, diereriem, os, plaas, stier
🐃	buffel, dier, diere, dieretuin, water, waterbuffel
🐄	bees, bulk, dier, koei, melk, plaas, plaasdier
🐷	dier, gesig, plaas, spek, vark, varkgesig, varkvleis
🐖	dier, diere, plaas, sog, spek, vark, varkvleis, vet
🐗	Game of Thrones, beer, dier, vark, varkbeer, wildevark
🐽	dier, gesig, neus, plaas, ruik, snoet, vark, varkneus, varksnoet
🐏	Aries, Ram, dier, diere, diereriem, dieretuin, horings, horoskoop, ram, skaap
🐑	dier, lam, ooi, plaas, skaap, skaapooi, vroulik, wol, wollerig
🐐	Capricorn, Capricornus, Steenbok, boerbok, bok, dier, diere, diereriem, melk, plaas
🐪	boggel, bult, dier, dromedaris, een bult, eenbultkameel, kameel, skip van die woestyn, woestyn
🐫	boggel, kameel, kameel met twee boggels, tweebult, tweebultige kameel, woestyn
🦙	alpakka, dier, guanaco, lama, vikoenja, wol
🦒	bok, kameelperd, kolle, lang nek, langbeendier, wildtuin
🐘	dier, ivoor, ivoortande, olifant, slurp, yslik groot
🦣	groot, ivoor, mammoet, oerdier, reusedier, slagtande, sneeudier, tande, uitgestorwe, wollerig
🦏	bedreigde spesie, dier, onwettige jagters, renoster, renosterhoring, wildstropers
🦛	dier, gevaarlik, gevaarlike dier, reusedier, seekoei, waterdier
🐭	dier, gesig, knaagdier, muis, muisgesig, troetelmuis
🐁	dier, huisdier, knaagdier, muis, plaagdier, velddier, witmuis
🐀	aasdier, dier, knaagdier, plaag, rot
🐹	dier, gesig, hamster, hamstergesig, troeteldier
🐰	dier, gesig, haas, haasgesig, hasie, konyn, troeteldier
🐇	dier, haas, hasie, konyn, troeteldier
🐿️	akkers, blitsig, eekhorinkie, grondeekhoring, neute, rats
🦫	bewer, dam, dier, knaag, knaagdier, opdam, soogdier, tande, visvreter, waterlewend
🦔	dier, krimpvarkie, rolvarkie, skaam diertjie, stekelrig, ystervark
🦇	dier, nagdier, vampier, vlermuis, vlieënde soogdier, vrugtevreter
🐻	beer, beergesig, bruinbeer, dier, gesig, grom, grysbeer, heuning
🐻‍❄	arkties, beer, wit, ysbeer
🐨	Australië, Doer Onder, beer, beertjie, diertjie, koala, koalabeertjie
🐼	bamboes, bedreigde spesie, dier, dieretuin, gesig, panda, pandagesig
🦥	lui, luiaard, luidier, stadig, traag, traagheid
🦦	otter, soogdier, speel, speels, visvang, waterdier
🦨	muishond, skobbejak, stink, stinkdier, stinkerd, stinkmuishond
🦘	Australië, buideldier, dier, kangaroe, kangaroetjie, spring
🦡	das, dier, heuning, ratel, rateltaai, verpes
🐾	afdruk, hondespoor, poot, pootafdrukke, pote, spoor, voete
🦃	Danksegging, Kersfees, groot voël, gulsig eet, kalkoen, plaasdier, voël
🐔	dier, haan, hen, hoender, plaas, pluimvee, voël
🐓	dier, diere, haan, kraai, plaasdier, pluimvee, voël, voëls
🐣	baba, dier, eier, kuiken, kuiken wat uitbroei, pluimvee, uitbroei, voël
🐤	baba, babakuiken, dier, kleintjie, kuiken, pluimvee, voël
🐥	baba, dier, kuiken, kuiken wat vorentoe kyk, pas uitgebroei, pluimvee, voël
🐦️	dier, sosiale diere, vlerke, voël, voëlkunde, waterdier
🐧	Antarktika, broei aan land, pikkewyn, visjagter, voël, watervoël
🕊️	duif, olyftakkie, vlieg, voël, vrede
🦅	adelaar, arend, dier, jagvoël, voël
🦆	dier, eend, swemvoël, voël, watervoël
🦢	dier, lelike eendjie, swaan, swaankuiken, voël
🦉	dier, oud, roofvoël, uil, voël, wys
🦤	Mauritius, dier, dodo, dood en begrawe, groot, jagdier, loopvoël, morsdood, uitgestorwe, voël
🪶	dekveer, hoender, lig, veer, vere, vlerk, vlerke, vliegveer, vlug, voël
🦩	flambojant, flamink, pienk, tropies, watervoël
🦚	dier, kleurvol, mannetjiepou, mooi voël, pou, pouhen, pronkerig, spoggerig, trots, voël
🦜	dier, papegaai, praat, seerower, voël
🪽	engelagtig, hemels, lugvaart, mitologie, opstyg, vlerk, vlieg, voël
🐦‍⬛	kraai, krys, nes, raaf, roek, snawel, swart, swart voël, voël
🪿	gans, pluimvee, snater, stuitig, voël
🐦‍🔥	fantasie, feniks, glorie, hergeboorte, herontdek, onsterflik, opstyging, reïnkarnasie, staan op, transformasie, vaar op, vernuwing, verskyn, vuurvoël, wedergeboorte
🐸	bakkies, dier, gesig, padda, paddagesig, prinses
🐊	dier, dieretuin, krokodil, krokodilplaas, reptiel, roofdier, vleisvreter, waterdier
🐢	dier, moerasskilpad, skilpad, waterskilpaaie, waterskilpad
🦎	akkedis, dier, geitjie, koudbloedig, rats, reptiel
🐍	Ophiochus, Ophiuchus, Slangdraer, adder, dier, diereriem, draer, horoskoop, slang
🐲	dier, draak, draakgesig, fantasie, gesig, sprokie
🐉	Chinees, dierasie, draak, ridders, sprokie, vuurspuwend
🦕	bragiosourus, brontosourus, dinosourus, diplodicus, diplodocus, monster, souropode
🦖	T-Rex, Tirannosourus Rex, dinosourus, jagter, monster, tirannosourus, vleisvreter
🐳	dier, gesig, oseaan, spuit, spuitende walvis, strand, walvis, walvis wat spuit
🐋	Jona, dier, oseaan, strand, walvis
🐬	dier, dolfyn, oseaan, stertvin, strand, vin
🦭	akwarium, dier, oseaan, rob, see, seedier, seeleeu, soogdier, visvreter, waterdier
🐟️	Pisces, aandete, dier, diereriem, vis, visse, visvang
🐠	dier, tropies, tropiese vis, vis, visse
🐡	blaasoppie, dier, giftige vis, oneetbare vis, vis
🦈	dier, haai, moordvis, oseaan, vis
🐙	dier, kreatuur, oseaan, seekat, weekdier
🐚	dier, kinkhoring, seeskulp, skulp, skulpdier, spiraal, spiraalskulp, strand
🪸	klimaatsverandering, koraal, oseaan, rif, see, seelewe
🪼	angel, brand, eina, jellie, jellievis, marien, marine, ongewerweld, oseaan, plankton, seelewe, tentakels
🐌	dier, eetbare slak, escargot, natuur, slak, tuin, weekdier
🦋	fladder, insek, mooi, papie, skoenlapper, wurm
🐛	dier, gogga, insek, ruspe, tuin
🐜	dier, harde werker, insek, mier, plaag, tuin
🐝	by, dier, heuning, heuningby, hommelby, insek, lente, natuur
🪲	boorkewer, dier, dierasie, gogga, insek, kewer, landdier, miskruier, pes, plaag
🐞	besie, dier, insek, kewer, liewenheersbesie, natuur, skilpadbesie, tuin
🦗	Regvlerkiges, gogga, grasvreter, insek, kriek, plaag, sprinkaan
🪳	aasdier, dier, gogga, grillerig, insek, kakkerlak, kokkerot, kruipdier, pes, skarrel
🕷️	agtpotige, aragnied, gogga, insek, jagdier, spinnekop, spinnerak
🕸️	lokval, spinnekop, spinnerak, strik, web
🦂	Scorpius, diereriem, horoskoop, skerpioen, sterrebeeld
🦟	byt, insek, koors, malaria, muskiet, siekte, steek, virus
🪰	aasdier, dier, huisvlieg, insek, lastig, maaier, pes, plaag, vlieg, vuil
🪱	annelied, bemesting, blinde dier, dier, eierlêend, eierpakkie, erdwurm, gronddier, parasiet, wurm
🦠	amoeba, bakterieë, mikrobe, mikrobiologie, virus, wetenskap
💐	afspraak, blom, herinneringsdag, liefde, plant, romanse, ruiker, verjaardag
🌸	bloeisel, blom, boom, kersie, kersiebloeisel, lente, lentetyd, plant
💮	blom, blomkelk, kroonblare, wit, wit blom
🪷	Bhoeddisme, Boeddhisme, Hindoeïsme, Indië, Viëtnam, blom, kalmte, lotus, rein, skoonheid, vrede
🏵️	eerbewys, kokarde, plant, roset, versiering
🌹	Valentyn, blom, elegant, liefdesblom, liefdesroos, plant, rooi, roos, skoonheid
🥀	blom, droog, gaan dood, verlep, verlepte blom, warm
🌺	blom, hibiskus, pienk blom, plant, struik
🌻	blom, buitelewe, plaas, plant, son, sonneblom, tuin
🌼	bloeisel, blom, botterblom, magrietjie, perdeblom, plant
🌷	bloeisel, blom, groei, plant, tulp
🪻	blom, hiasint, indigo, koringblom, laventel, leeubekkie, lente, lupine, pers, seringblom, violet
🌱	boompie, jonk, loot, plant, plantjie, saailing
🪴	dekor, groei, huis, huisplant, kwekery, natgooi, plant, pot, potplant, vertroetel, vetplant
🌲	Kersboom, boom, denneboom, immergroen, immergroen boom, plant, woud
🌳	bladwisselend, bladwisselende boom, blare, boom, groen, habitat, plant, woud
🌴	boom, palm, palmboom, plant, strand, tropies
🌵	droogte, kaktus, natuur, plant, woestyn
🌾	gerf, graan, korrels, plant, rys, rysgerf
🌿	blaar, krui, kruie, plant, takkie
☘️	Ierland, Ierse plant, klawer, klawerblaar, plant
🍀	4, Ierland, Iers, blaar, klawer, plant, vier, vierblaarklawer
🍁	Kanada, blaar, esdoring, esdoringblaar, esdoringboom, plant, val
🍂	blaar, boom, herfs, plant, val, vallend, vallende blaar
🍃	blaar, blaar fladder in wind, blaar wat in die wind fladder, fladder, plant, waai, wind
🪹	leë nes, nes, nesmaak, tak, tuiste, voëls
🪺	eier, eiers, nes, nes met eiers, nesmaak, tak, voël
🍄	giftig, kos, paddastoel, plant, sampioen, spore, swam
🪾	blaarlose boom, dor, droogte, onvrugbaar, winter
🍇	Dionusos, druif, druiwe, plant, vrug, vrugte, wyn, wynplaas
🍈	plant, soet vrug, somervrug, spanspek, vrug, vrugteslaai
🍉	plant, soet, somer, vrug, waatlemoen
🍊	Vitamien C, boom, lemoen, nartjie, oranje, plant, sitrus, vrug, winter, wintervrug
🍋	boom, plant, sitrus, suur, suurlemoen, vrug
🍋‍🟩	drankie, lemmetjie, prikkelend, sap, sitrus, skemerkelkie, suur, tequila, tropies, verfrissend, vrug
🍌	kalium, piesang, piesangboom, plant, vrug
🍍	plant, pynappel, subtropies, tropies, vrug
🥭	gladdejan, kos, mango, skommeldrankie, tropies, tropiese vrug, vrug, vrugte
🍎	appel, boom, dieet, gesondheid, kos, plant, rooi, rooi appel, ryp, vrug
🍏	appel, boom, groen, groen appel, plant, vrug
🍐	peer, peerboom, plant, somervrug, vrug
🍑	boom, perske, plant, sappig, soet, somervrug, vrug
🍒	boom, kersie, kersies, plant, soet, steenvrug, vrug, vrugte
🍓	aarbei, bessie, plant, somervrug, vitamien C, vrug
🫐	bessie, bessiebos, blou, bloubessie, bloubessies, breinkos, energiekos, kos, voedsel, vrugte, vrugteslaai
🥝	kiwi, kiwivrug, kos, vitamien C, vrug, vrugteslaai
🍅	groente, kos, plant, tamatie, voedsel, vrug
🫒	Griekse slaai, kos, olie, olyf, olyfboom, olyfolie, olyftakkie, olywe, slaai, versnapering
🥥	kokosneut, palm, palmboom, piña colada, skemerkelkie, vrug
🥑	avokado, avokadoboom, kos, proteïene, vrug
🍆	brinjal, eiervrug, groente, kos, plant
🥔	aartappel, gebraaide aartappels, groente, kapokaartappels, kos, skyfies, stysel
🥕	bredie, gekookte wortels, groente, kos, wortel, wortelslaai
🌽	gewasse, mielie, mielie-oes, mieliekop, mielies, oeste, pitte, plaas, plant, stronk
🌶️	brand, branderig, brandrissie, groente, kerrie, noedels, plant, rissie, warm
🫑	Italiaans, groente, kos, macaroni, pizza, rissie, rissies, slaai, soetrissie, spaghetti, voedsel
🥒	agurkie, groente, komkommer, kos, piekels
🥬	blaarslaai, burgers, groen blare, kool, koolsop, krulkool, slaai, weikool
🥦	broccoli, gesonde kos, groente, koolspruit, wilde kool, wildekool
🧄	Italiaanse kos, geurmiddel, knoffel, knoffelasem, smaakmiddel
🧅	bredie, gesond eet, geurmiddel, groente, ui
