‾	garis atas
👬	adik-beradik lelaki, berpegangan tangan, dua lelaki berpegangan tangan, kawan, kekasih, kembar, lelaki, pasangan, pegang, rakan, tangan
👬🏻	adik-beradik lelaki, berpegangan tangan, dua lelaki berpegangan tangan: ton kulit cerah, kawan, kekasih, kembar, lelaki, pasangan, pegang, rakan, tangan, ton kulit cerah
👨🏻‍🤝‍👨🏼	adik-beradik lelaki, berpegangan tangan, dua lelaki berpegangan tangan: ton kulit cerah dan ton kulit sederhana cerah, kawan, kekasih, kembar, lelaki, pasangan, pegang, rakan, tangan, ton kulit cerah, ton kulit sederhana cerah
👨🏻‍🤝‍👨🏽	adik-beradik lelaki, berpegangan tangan, dua lelaki berpegangan tangan: ton kulit cerah dan ton kulit sederhana, kawan, kekasih, kembar, lelaki, pasangan, pegang, rakan, tangan, ton kulit cerah, ton kulit sederhana
👨🏻‍🤝‍👨🏾	adik-beradik lelaki, berpegangan tangan, dua lelaki berpegangan tangan: ton kulit cerah dan ton kulit sederhana gelap, kawan, kekasih, kembar, lelaki, pasangan, pegang, rakan, tangan, ton kulit cerah, ton kulit sederhana gelap
👨🏻‍🤝‍👨🏿	adik-beradik lelaki, berpegangan tangan, dua lelaki berpegangan tangan: ton kulit cerah dan ton kulit gelap, kawan, kekasih, kembar, lelaki, pasangan, pegang, rakan, tangan, ton kulit cerah, ton kulit gelap
👨🏼‍🤝‍👨🏻	adik-beradik lelaki, berpegangan tangan, dua lelaki berpegangan tangan: ton kulit sederhana cerah dan ton kulit cerah, kawan, kekasih, kembar, lelaki, pasangan, pegang, rakan, tangan, ton kulit cerah, ton kulit sederhana cerah
👬🏼	adik-beradik lelaki, berpegangan tangan, dua lelaki berpegangan tangan: ton kulit sederhana cerah, kawan, kekasih, kembar, lelaki, pasangan, pegang, rakan, tangan, ton kulit sederhana cerah
👨🏼‍🤝‍👨🏽	adik-beradik lelaki, berpegangan tangan, dua lelaki berpegangan tangan: ton kulit sederhana cerah dan ton kulit sederhana, kawan, kekasih, kembar, lelaki, pasangan, pegang, rakan, tangan, ton kulit sederhana, ton kulit sederhana cerah
👨🏼‍🤝‍👨🏾	adik-beradik lelaki, berpegangan tangan, dua lelaki berpegangan tangan: ton kulit sederhana cerah dan ton kulit sederhana gelap, kawan, kekasih, kembar, lelaki, pasangan, pegang, rakan, tangan, ton kulit sederhana cerah, ton kulit sederhana gelap
👨🏼‍🤝‍👨🏿	adik-beradik lelaki, berpegangan tangan, dua lelaki berpegangan tangan: ton kulit sederhana cerah dan ton kulit gelap, kawan, kekasih, kembar, lelaki, pasangan, pegang, rakan, tangan, ton kulit gelap, ton kulit sederhana cerah
👨🏽‍🤝‍👨🏻	adik-beradik lelaki, berpegangan tangan, dua lelaki berpegangan tangan: ton kulit sederhana dan ton kulit cerah, kawan, kekasih, kembar, lelaki, pasangan, pegang, rakan, tangan, ton kulit cerah, ton kulit sederhana
👨🏽‍🤝‍👨🏼	adik-beradik lelaki, berpegangan tangan, dua lelaki berpegangan tangan: ton kulit sederhana dan ton kulit sederhana cerah, kawan, kekasih, kembar, lelaki, pasangan, pegang, rakan, tangan, ton kulit sederhana, ton kulit sederhana cerah
👬🏽	adik-beradik lelaki, berpegangan tangan, dua lelaki berpegangan tangan: ton kulit sederhana, kawan, kekasih, kembar, lelaki, pasangan, pegang, rakan, tangan, ton kulit sederhana
👨🏽‍🤝‍👨🏾	adik-beradik lelaki, berpegangan tangan, dua lelaki berpegangan tangan: ton kulit sederhana dan ton kulit sederhana gelap, kawan, kekasih, kembar, lelaki, pasangan, pegang, rakan, tangan, ton kulit sederhana, ton kulit sederhana gelap
👨🏽‍🤝‍👨🏿	adik-beradik lelaki, berpegangan tangan, dua lelaki berpegangan tangan: ton kulit sederhana dan ton kulit gelap, kawan, kekasih, kembar, lelaki, pasangan, pegang, rakan, tangan, ton kulit gelap, ton kulit sederhana
👨🏾‍🤝‍👨🏻	adik-beradik lelaki, berpegangan tangan, dua lelaki berpegangan tangan: ton kulit sederhana gelap dan ton kulit cerah, kawan, kekasih, kembar, lelaki, pasangan, pegang, rakan, tangan, ton kulit cerah, ton kulit sederhana gelap
👨🏾‍🤝‍👨🏼	adik-beradik lelaki, berpegangan tangan, dua lelaki berpegangan tangan: ton kulit sederhana gelap dan ton kulit sederhana cerah, kawan, kekasih, kembar, lelaki, pasangan, pegang, rakan, tangan, ton kulit sederhana cerah, ton kulit sederhana gelap
👨🏾‍🤝‍👨🏽	adik-beradik lelaki, berpegangan tangan, dua lelaki berpegangan tangan: ton kulit sederhana gelap dan ton kulit sederhana, kawan, kekasih, kembar, lelaki, pasangan, pegang, rakan, tangan, ton kulit sederhana, ton kulit sederhana gelap
👬🏾	adik-beradik lelaki, berpegangan tangan, dua lelaki berpegangan tangan: ton kulit sederhana gelap, kawan, kekasih, kembar, lelaki, pasangan, pegang, rakan, tangan, ton kulit sederhana gelap
👨🏾‍🤝‍👨🏿	adik-beradik lelaki, berpegangan tangan, dua lelaki berpegangan tangan: ton kulit sederhana gelap dan ton kulit gelap, kawan, kekasih, kembar, lelaki, pasangan, pegang, rakan, tangan, ton kulit gelap, ton kulit sederhana gelap
👨🏿‍🤝‍👨🏻	adik-beradik lelaki, berpegangan tangan, dua lelaki berpegangan tangan: ton kulit gelap dan ton kulit cerah, kawan, kekasih, kembar, lelaki, pasangan, pegang, rakan, tangan, ton kulit cerah, ton kulit gelap
👨🏿‍🤝‍👨🏼	adik-beradik lelaki, berpegangan tangan, dua lelaki berpegangan tangan: ton kulit gelap dan ton kulit sederhana cerah, kawan, kekasih, kembar, lelaki, pasangan, pegang, rakan, tangan, ton kulit gelap, ton kulit sederhana cerah
👨🏿‍🤝‍👨🏽	adik-beradik lelaki, berpegangan tangan, dua lelaki berpegangan tangan: ton kulit gelap dan ton kulit sederhana, kawan, kekasih, kembar, lelaki, pasangan, pegang, rakan, tangan, ton kulit gelap, ton kulit sederhana
👨🏿‍🤝‍👨🏾	adik-beradik lelaki, berpegangan tangan, dua lelaki berpegangan tangan: ton kulit gelap dan ton kulit sederhana gelap, kawan, kekasih, kembar, lelaki, pasangan, pegang, rakan, tangan, ton kulit gelap, ton kulit sederhana gelap
👬🏿	adik-beradik lelaki, berpegangan tangan, dua lelaki berpegangan tangan: ton kulit gelap, kawan, kekasih, kembar, lelaki, pasangan, pegang, rakan, tangan, ton kulit gelap
💏	Valentine, cinta, cium, kekasih, pasangan, percintaan, sayang, ulang tahun
💏🏻	Valentine, cinta, cium, cium: ton kulit cerah, kekasih, pasangan, percintaan, sayang, ton kulit cerah, ulang tahun
💏🏼	Valentine, cinta, cium, cium: ton kulit sederhana cerah, kekasih, pasangan, percintaan, sayang, ton kulit sederhana cerah, ulang tahun
💏🏽	Valentine, cinta, cium, cium: ton kulit sederhana, kekasih, pasangan, percintaan, sayang, ton kulit sederhana, ulang tahun
💏🏾	Valentine, cinta, cium, cium: ton kulit sederhana gelap, kekasih, pasangan, percintaan, sayang, ton kulit sederhana gelap, ulang tahun
💏🏿	Valentine, cinta, cium, cium: ton kulit gelap, kekasih, pasangan, percintaan, sayang, ton kulit gelap, ulang tahun
👩‍❤‍💋‍👨	Valentine, cinta, cium, cium: perempuan dan lelaki, kekasih, lelaki, pasangan, percintaan, perempuan, sayang, ulang tahun
👨‍❤‍💋‍👨	Valentine, cinta, cium, cium: lelaki dan lelaki, kekasih, lelaki, pasangan, percintaan, sayang, ulang tahun
👩‍❤‍💋‍👩	Valentine, cinta, cium, cium: perempuan dan perempuan, kekasih, pasangan, percintaan, perempuan, sayang, ulang tahun
💑	Valentine, bersama, cinta, cium, hati, kekasih, pasangan, pasangan dengan simbol hati, percintaan, ulang tahun
💑🏻	Valentine, bersama, cinta, cium, hati, kekasih, pasangan, pasangan dengan simbol hati, pasangan dengan simbol hati: ton kulit cerah, percintaan, ton kulit cerah, ulang tahun
💑🏼	Valentine, bersama, cinta, cium, hati, kekasih, pasangan, pasangan dengan simbol hati, pasangan dengan simbol hati: ton kulit sederhana cerah, percintaan, ton kulit sederhana cerah, ulang tahun
💑🏽	Valentine, bersama, cinta, cium, hati, kekasih, pasangan, pasangan dengan simbol hati, pasangan dengan simbol hati: ton kulit sederhana, percintaan, ton kulit sederhana, ulang tahun
💑🏾	Valentine, bersama, cinta, cium, hati, kekasih, pasangan, pasangan dengan simbol hati, pasangan dengan simbol hati: ton kulit sederhana gelap, percintaan, ton kulit sederhana gelap, ulang tahun
💑🏿	Valentine, bersama, cinta, cium, hati, kekasih, pasangan, pasangan dengan simbol hati, pasangan dengan simbol hati: ton kulit gelap, percintaan, ton kulit gelap, ulang tahun
👩‍❤‍👨	Valentine, bersama, cinta, cium, hati, kekasih, lelaki, pasangan, pasangan dengan simbol hati, pasangan dengan simbol hati: perempuan dan lelaki, percintaan, perempuan, ulang tahun
👨‍❤‍👨	Valentine, bersama, cinta, cium, hati, kekasih, lelaki, pasangan, pasangan dengan simbol hati, pasangan dengan simbol hati: lelaki dan lelaki, percintaan, ulang tahun
👩‍❤‍👩	Valentine, bersama, cinta, cium, hati, kekasih, pasangan, pasangan dengan simbol hati, pasangan dengan simbol hati: perempuan dan perempuan, percintaan, perempuan, ulang tahun
👨‍👩‍👦	bapa, ibu, kanak-kanak, keluarga, keluarga: lelaki, perempuan dan kanak-kanak lelaki, lelaki, perempuan
👨‍👩‍👧	bapa, budak perempuan, ibu, kanak-kanak, keluarga, keluarga: lelaki, perempuan dan budak perempuan, lelaki, perempuan
👨‍👩‍👧‍👦	bapa, budak perempuan, ibu, kanak-kanak, keluarga, keluarga: lelaki, perempuan, budak perempuan dan kanak-kanak lelaki, lelaki, perempuan
👨‍👩‍👦‍👦	bapa, ibu, kanak-kanak, keluarga, keluarga: lelaki, perempuan, kanak-kanak lelaki dan kanak-kanak lelaki, lelaki, perempuan
👨‍👩‍👧‍👧	bapa, budak perempuan, ibu, kanak-kanak, keluarga, keluarga: lelaki, perempuan, budak perempuan dan budak perempuan, lelaki, perempuan
👨‍👨‍👦	bapa, ibu, kanak-kanak, keluarga, keluarga: lelaki, lelaki dan kanak-kanak lelaki, lelaki
👨‍👨‍👧	bapa, budak perempuan, ibu, kanak-kanak, keluarga, keluarga: lelaki, lelaki dan budak perempuan, lelaki
👨‍👨‍👧‍👦	bapa, budak perempuan, ibu, kanak-kanak, keluarga, keluarga: lelaki, lelaki, budak perempuan dan kanak-kanak lelaki, lelaki
👨‍👨‍👦‍👦	bapa, ibu, kanak-kanak, keluarga, keluarga: lelaki, lelaki, kanak-kanak lelaki dan kanak-kanak lelaki, lelaki
👨‍👨‍👧‍👧	bapa, budak perempuan, ibu, kanak-kanak, keluarga, keluarga: lelaki, lelaki, budak perempuan dan budak perempuan, lelaki
👩‍👩‍👦	bapa, ibu, kanak-kanak, kanak-kanak lelaki, keluarga, keluarga: perempuan, perempuan dan kanak-kanak lelaki, perempuan
👩‍👩‍👧	bapa, budak perempuan, ibu, kanak-kanak, keluarga, keluarga: perempuan, perempuan dan budak perempuan, perempuan
👩‍👩‍👧‍👦	bapa, budak perempuan, ibu, kanak-kanak, kanak-kanak lelaki, keluarga, keluarga: perempuan, perempuan, budak perempuan dan kanak-kanak lelaki, perempuan
👩‍👩‍👦‍👦	bapa, ibu, kanak-kanak, kanak-kanak lelaki, keluarga, keluarga: perempuan, perempuan, kanak-kanak lelaki dan kanak-kanak lelaki, perempuan
👩‍👩‍👧‍👧	bapa, budak perempuan, ibu, kanak-kanak, keluarga, keluarga: perempuan, perempuan, budak perempuan dan budak perempuan, perempuan
👨‍👦	bapa, ibu, kanak-kanak, keluarga, keluarga: lelaki dan kanak-kanak lelaki, lelaki
👨‍👦‍👦	bapa, ibu, kanak-kanak, keluarga, keluarga: lelaki, kanak-kanak lelaki dan kanak-kanak lelaki, lelaki
👨‍👧	bapa, budak perempuan, ibu, kanak-kanak, keluarga, keluarga: lelaki dan budak perempuan, lelaki
👨‍👧‍👦	bapa, budak perempuan, ibu, kanak-kanak, keluarga, keluarga: lelaki, budak perempuan dan kanak-kanak lelaki, lelaki
👨‍👧‍👧	bapa, budak perempuan, ibu, kanak-kanak, keluarga, keluarga: lelaki, budak perempuan dan budak perempuan, lelaki
👩‍👦	bapa, ibu, kanak-kanak, kanak-kanak lelaki, keluarga, keluarga: perempuan dan kanak-kanak lelaki, perempuan
👩‍👦‍👦	bapa, ibu, kanak-kanak, kanak-kanak lelaki, keluarga, keluarga: perempuan, kanak-kanak lelaki dan kanak-kanak lelaki, perempuan
👩‍👧	bapa, budak perempuan, ibu, kanak-kanak, keluarga, keluarga: perempuan dan budak perempuan, perempuan
👩‍👧‍👦	bapa, budak perempuan, ibu, kanak-kanak, kanak-kanak lelaki, keluarga, keluarga: perempuan, budak perempuan dan kanak-kanak lelaki, perempuan
👩‍👧‍👧	bapa, budak perempuan, ibu, kanak-kanak, keluarga, keluarga: perempuan, budak perempuan dan budak perempuan, perempuan
🗣️	bayang, bercakap, cakap, kepala, kepala bercakap, muka
👤	bayang, bayang dada, dada
👥	bayang, bayang beberapa dada, dada
🫂	belaian, helo, keselesaan, orang berpelukan, peluk, persahabatan, sahabat, sayang, selamat tinggal, silatulrahim, terima kasih
👪️	bapa, ibu, kanak-kanak, keluarga
🧑‍🧑‍🧒	dewasa, kanak-kanak, keluarga, keluarga: dewasa, dewasa, kanak-kanak
🧑‍🧑‍🧒‍🧒	dewasa, kanak-kanak, keluarga, keluarga: dewasa, dewasa, kanak-kanak, kanak-kanak
🧑‍🧒	dewasa, kanak-kanak, keluarga, keluarga: dewasa, kanak-kanak
🧑‍🧒‍🧒	dewasa, kanak-kanak, keluarga, keluarga: dewasa, kanak-kanak, kanak-kanak
👣	badan, cetak, jalan, jejak, jejak kaki, pakaian
🫆	cap jari, cetak, detektif, forensik, identiti, jejak, jenayah, keselamatan, misteri, petunjuk
🦰	berambut merah, perang, rambut merah
🦱	afro, bergelung, kerinting, rambut kerinting
🦳	beruban, putih, rambut, rambut putih, tua
🦲	bercukur, botak, kemoterapi, tiada rambut, tidak berambut
🐵	haiwan, monyet, muka, muka monyet, pisang
🐒	haiwan, monyet, pisang
🦍	gorila, haiwan
🦧	beruk, haiwan, monyet, orang utan
🐶	anak anjing, anjing, comel, haiwan, haiwan peliharaan, muka anjing
🐕️	anjing, haiwan, haiwan peliharaan
🦮	anjing, anjing pandu, buta, haiwan, kebolehcapaian, panduan
🐕‍🦺	anjing, anjing khidmat, bantuan, haiwan, kebolehcapaian, perkhidmatan
🐩	anjing, anjing poodle, gebu, haiwan, poodle
🐺	haiwan, muka, serigala
🦊	haiwan, muka, rubah
🦝	haiwan, ingin tahu, licik, rakun
🐱	anak kucing, haiwan, haiwan peliharaan, kucing, muka, muka kucing
🐈️	anak kucing, haiwan, haiwan peliharaan, kucing
🐈‍⬛	haiwan, hitam, kucing, kucing hitam, miau, nasib malang
🦁	Leo, alfa, haiwan, mengaum, muka, safari, singa, surai, zodiak
🐯	besar, haiwan, harimau, kucing, muka, muka harimau, pemangsa
🐅	besar, haiwan, harimau, kucing, pemangsa, zoo
🐆	besar, haiwan, harimau bintang, kucing, pemangsa, zoo
🐴	haiwan, kuda, ladang, muka, muka kuda, pakaian
🫎	elk, haiwan, mamalia, moose, tanduk rusa
🫏	baghal, degil, haiwan, keldai, mamalia
🐎	haiwan, kuda, ladang, lumba, tunggang kuda
🦄	muka, unikorn
🦓	belang, haiwan, jalur, kuda belang, zebra
🦌	haiwan, rusa
🦬	bijak, bison, haiwan, kerbau, kumpulan
🐮	haiwan, ladang, lembu, moo, muka, muka lembu, susu
🐂	haiwan, ladang, lembu, lembu jantan, taurus, zodiak
🐃	air, haiwan, kerbau, zoo
🐄	haiwan, ladang, lembu, moo, susu
🐷	haiwan, khinzir, ladang, muka, muka khinzir
🐖	haiwan, khinzir, khinzir betina, ladang
🐗	babi hutan, haiwan, khinzir
🐽	bau, hidung, hidung khinzir, khinzir, ladang, muka, muncung
🐏	aries, binatang, biri-biri, biri-biri jantan, haiwan, zodiak
🐑	binatang, biri-biri, biri-biri betina, biri-biri betina dewasa, bulu, haiwan, ladang
🐐	binatang, capricorn, haiwan, kambing, zodiak
🐪	binatang, bonggol, haiwan, unta, unta arab
🐫	bactria, binatang, bonggol, haiwan, unta, unta bonggol dua
🦙	alpaka, bulu, gentian, guanako, haiwan, llama, vikuna, wul
🦒	bintik, zirafah
🐘	gajah, haiwan
🦣	berbulu lebat, besar, gading, haiwan, haiwan yang sudah pupus, kepupusan, mamot
🦏	badak sumbu, haiwan
🦛	badak, badak air, berendam, haiwan, hippo
🐭	haiwan, mencit, muka, muka tikus, tetikus, tikus
🐁	Mencit, haiwan, mencit, tetikus, tikus
🐀	haiwan, tikus
🐹	haiwan, haiwan peliharaan, hamster, muka
🐰	arnab, haiwan, haiwan peliharaan, muka, muka arnab
🐇	arnab, haiwan, haiwan peliharaan
🐿️	tupai tanah
🦫	beaver, empangan, gigi, haiwan, memerang, sejenis haiwan Rodensia
🦔	berduri, duri, haiwan, landak, landak kecil
🦇	haiwan, kelawar
🐻	beruang, beruang perang, haiwan, madu, muka
🐻‍❄	artik, beruang, beruang kutub, putih
🐨	australia, beruang, haiwan, koala, marsupial, muka
🐼	bambu, buluh, china, haiwan, muka, panda
🦥	haiwan, malas, perlahan, sloth
🦦	haiwan, memerang, menangkap ikan, suka main-main
🦨	busuk, haiwan, skunk
🦘	Australia, anak kanggaru, haiwan, kanggaru, lompat, marsupial, melompat
🦡	badger, badger madu, bajing, bejar, bejar madu, haiwan, pengacau
🐾	jejak, kaki, tapak kaki haiwan
🦃	ayam belanda, burung, kelokok, kesyukuran
🐔	ayam, burung, haiwan, ornitologi
🐓	ayam, ayam jantan, burung, haiwan, jantan, ornitologi
🐣	anak, anak ayam menetas, ayam, burung, haiwan, menetas, telur
🐤	anak, anak ayam, ayam, burung, haiwan, ornitologi
🐥	anak, anak ayam menghadap depan, ayam, baru lahir, burung, haiwan, menghadap depan, ornitologi
🐦️	binatang, burung, haiwan
🐧	antartica, binatang, haiwan, penguin
🕊️	burung, burung merpati, keamanan, terbang
🦅	burung, haiwan, helang
🦆	burung, haiwan, itik
🦢	anak angsa, anak itik hodoh, angsa, burung, haiwan, itik hodoh, putih, swan
🦉	bijak, burung, burung hantu, haiwan
🦤	Mauritius, besar, burung, dodo, kepupusan
