‾	trait suscrit
🌺	fleur, hibiscus, plante
🌻	champs, fleur, plante, soleil, tournesol
🌼	bourgeon, bouton d’or, dent-de-lion, fleur, pissenlit, plante, printemps
🌷	bourgeon, fleur, plante, printemps, tulipe
🪻	fleur, fleurir, indigo, jacinthe, lavande, lilas, lupin, mauve, muflier, plante, printemps, violet
🌱	germe, jeune plant, jeune pousse, plante, plantule, pousser, printemps, semis
🪴	décoration, ennuyeux, faire pousser, intérieur, nature, plante, plante en pot, pousser, prendre soin
🌲	arbre, conifère, feuilles persistantes, forêt, pin, plante, sapin, sapin de Noël
🌳	arbre, arbre à feuilles caduques, feuilles caduques, feuillu, forêt, nature, plante
🌴	arbre, cocotier, palmier, plage, plante, tropical, tropiques
🌵	cactus, désert, nature, piquant, plante, sécheresse, épines
🌾	grain, plant de riz, plante, riz
🌿	arbre, feuille, feuilles, plante
☘️	Irlande, plante, trèfle
🍀	4, Irlande, chance, feuilles, plante, porte-bonheur, quatre, trèfle, trèfle à quatre feuilles
🍁	automne, feuille, feuille d’érable, feuille morte, tomber, érable
🍂	automne, feuille, feuille morte, feuilles mortes, tomber
🍃	bourrasque, feuille, feuille virevoltante, souffle, tourbillon de feuilles, vent, virevolter
🪹	branches, faire son nid, maison, nid, nid vide
🪺	branches, faire son nid, nid, nid avec œufs, oiseau
🍄	Mario, champignon, champignon vénéneux, plante
🪾	arbre sans feuille, aride, hiver, sécheresse
🍇	fruit, nourriture, raisin
🍈	fruit, melon
🍉	fruit, pastèque
🍊	agrume, clémentine, fruit, mandarine, nourriture, orange, vitamine C
🍋	acide, agrume, citron, fruit, nourriture, zeste
🍋‍🟩	acide, agrume, citron, citron vert, fruit, lime, mojito, tropical, vert, zeste
🍌	banane, fruit, nourriture, potassium
🍍	ananas, fruit, nourriture, tropical
🥭	fruit, mangue, nourriture, tropical, tropique
🍎	fruit, nourriture, pomme, pomme rouge
🍏	fruit, nourriture, pomme, pomme verte
🍐	fruit, nourriture, poire
🍑	fruit, nourriture, pêche
🍒	cerise, cerises, fruit, nourriture
🍓	fraise, fruit, nourriture
🫐	airelles, baies, bleu, bleuets, fruit, myrtilles, nourriture, violet
🥝	fruit, kiwi, nourriture
🍅	fruit, légume, nourriture, plante, tomate
🫒	aliment, apéritif, apéro, nourriture, olive, olivier, rameau
🥥	coco, fruit, noix de coco, nourriture, palmier, piña colada
🥑	avocat, fruit, nourriture
🍆	aubergine, légume, nourriture
🥔	légume, nourriture, patate, pomme de terre, purée
🥕	carotte, légume, nourriture
🌽	ferme, maïs, nourriture, épi, épi de maïs
🌶️	nourriture, piment, piment rouge, piquant
🫑	légume, piment, poivron, poivron rouge, poivron vert
🥒	concombre, cornichon, légume, nourriture
🥬	bok choy, chou, chou chinois, chou frisé, chou pommé, kale, laitue, légume à feuilles vertes, salade
🥦	broccoli, brocoli, chou, chou sauvage, légume
🧄	ail, aromate, assaisonnement, condiment, légume, vampire
🧅	assaisonnement, condiment, légume, ognon, oignon
🥜	arachide, cacahuète, cacahuètes, noisette, nourriture
🫘	haricot rouge, haricots, légume, légumineuse, nourriture, petit, rognon
🌰	châtaigne, marron, nourriture, plante
🫚	bière, gingembre, naturel, racine, racine de gingembre, santé, épice
🫛	cosse, cosse de petits pois, edamame, fève, haricot, légume, légumineuse, pois, soja
🍄‍🟫	automne, brun, champignon, champignon marron, cèpe, fongus, marron, nature, nourriture
🫜	betterave, jardin, légume, légume-racine, navet, racine
🍞	miche, nourriture, pain, pain de mie
🥐	croissant, nourriture, pain, petit-déjeuner, viennoiserie
🥖	baguette, nourriture, pain
🫓	arepa, galette, gordita, lavash, naan, nourriture, pain plat, pita
🥨	bretzel, nourriture, torsade
🥯	bagel, boulangerie, petit-déjeuner, sandwich, schmear
🥞	crêpe, goûter, nourriture, pancake, pancakes, petit-déjeuner
🧇	brunch, gaufre, gourmandise, goûter, moule, petit déjeuner, petit-déjeuner, pâtisserie
🧀	fromage, nourriture, part de fromage
🍖	nourriture, os, viande, viande sur un os
🍗	cuisse, cuisse de poulet, dinde, nourriture, os, poulet, volaille
🥩	côtelette, côtelette de porc, côtelette d’agneau, morceau de viande, nourriture, steak, viande, viande rouge
🥓	bacon, lard, nourriture, porc, viande
🍔	burger, cheeseburger, fast food, hamburger, nourriture
🍟	fast food, frites, potatoes, potatœs
🍕	fromage, nourriture, part, pepperoni, pizza, tranche
🌭	hot dog, nourriture, saucisse, saucisse de Francfort
🥪	nourriture, pain, pain de mie, pique-nique, sandwich
🌮	mexicain, nourriture, taco
🌯	burrito, kebab, mexicain, wrap
🫔	mexicain, nourriture, pamonha, papillote, tamal
🥙	falafel, kebab, nourriture, pain pita
🧆	boulette, boulettes, falafel, falafels, pois chiches, seitan, soja, viande
🥚	nourriture, œuf
🍳	cuisine, friture, nourriture, petit-déjeuner, poêle, poêle à frire, se faire cuire un œuf, œuf, œuf au plat
🥘	Espagne, casserole, paella, plat, plat mitonné, poêle, riz
🍲	marmite, nourriture, ragoût
🫕	Suisse, bourguignonne, chocolat, fondue, fromage, plat, poêlon, savoyarde, ski, suisse
🥣	bol avec cuillère, bol avec une cuillère, congee, céréales, déjeuner, petit déjeuner, soupe
🥗	nourriture, salade, salade verte, verte
🍿	cinéma, nourriture, pop-corn
🧈	beurre, gras, produit laitier
🧂	condiment, salière, salé, saveur, sel
🥫	aliments en conserve, boîte de conserve, conserve, nourriture
🍱	bento, boîte, boîte déjeuner, déjeuner, nourriture
🍘	cracker, galette de riz, nourriture, riz
🍙	boulette de riz, japonais, nourriture, onigiri, plat, riz
🍚	bol de riz, nourriture, riz
🍛	curry, nourriture, riz, riz au curry
🍜	bol, bol fumant, nouilles, nourriture, ramen, vapeur
🍝	italien, nourriture, pâtes, restaurant, sauce bolognaise, spaghetti
🍠	nourriture, patate, patate douce, patate douce au four
🍢	brochette, brochette de poisson, fruits de mer, nourriture, restaurant
🍣	japonais, nourriture, poisson, riz, sushi
🍤	beignet de crevette, crevette
🍥	croquette de poisson, gâteau, narutomaki, nourriture, poisson, restaurant, surimi
🥮	automne, festival, gâteau de lune, moon cake, yuèbǐng
🍡	bonbons, brochette de bonbons, dango, dessert, japonais, nourriture
🥟	boulette de pâte, dumpling, empanada, gyoza, gyōza, jiaozi, pierogi, potsticker, ravioli
🥠	biscuit chinois, nourriture, prophétie
🥡	baguettes, boîte à emporter, carton, chinois, nourriture à emporter
🦀	Cancer, animal, astrologie, crabe, horoscope, mer, pinces, plage, zodiaque
🦞	animal, bisque, fruit de mer, fruits de mer, homard, pinces
🦐	aliment, crevette, crustacé, fruits de mer, nourriture
🦑	aliment, animal, calamar, encornet, mollusque, nourriture
🦪	coquillage, coquille, huître, mollusque, perle
🍦	cornet de glace, dessert, glace, glace italienne, nourriture, sucré
🍧	coupe de glace, crème glacée, dessert, glace, granité, nourriture, restaurant, sucré
🍨	coupe de glace, crème, crème glacée, dessert, glace, nourriture, restaurant, sucré
🍩	dessert, donut, doughnut, goûter, nourriture, sucrerie, sucré
🍪	biscuit, cookie, dessert, goûter, gâteau, nourriture, pépites de chocolat, sucré
🎂	anniversaire, bougies, dessert, fête, goûter, gâteau, gâteau d’anniversaire, joyeux anniversaire, nourriture, pâtisserie
🍰	dessert, goûter, gâteau, gâteau sablé, nourriture, pâtisserie, sucré
🧁	cupcake, dessert, muffin, pâtisserie, sucre, sucrerie
🥧	décoration, garniture, gâteau, nourriture, pâte à tarte, pâtisserie, tarte, tarte aux fruits, tourte
🍫	barre, barre chocolatée, chocolat, dessert, goûter, nourriture, sucré
🍬	bonbon, dessert, goûter, nourriture, sucrerie, sucré
🍭	dessert, goûter, nourriture, sucette, sucrerie, sucré
🍮	crème renversée, dessert, flan, nourriture, pudding, sucré
🍯	miel, nourriture, ours, pot, pot de miel, sucré
🍼	biberon, boisson, bébé, lait, naissance, nouveau-né, tétine
🥛	boisson, lait, verre, verre de lait
☕️	boisson, boisson chaude, café, caféine, matin, thé
🫖	boisson, boisson chaude, infusion, thé, théière
🍵	boisson, tasse, tasse de thé sans anse, thé
🍶	boisson, bouteille, bouteille et verre, restaurant, saké, verre
🍾	alcool, boisson, bouchon, bouteille, bouteille de champagne, champagne, félicitations, fête, pop
🍷	alcool, bar, boisson, club, restaurant, verre, verre de vin, verre à vin, vin
🍸️	alcool, bar, boisson, club, cocktail, martini, verre, verre à cocktail, verre à pied
🍹	alcool, bar, boîte, cocktail, cocktail tropical, fête, tequila sunrise, verre
🍺	alcool, bar, bière, boisson, chope, chope de bière, oktoberfest, picoler, pinte, santé
🍻	alcool, bière, boisson, chopes de bière, santé, tchin, trinquer
🥂	alcool, champagne, célébrer, fêter, santé, tchin, trinquer, verre, verres
🥃	alcool, liqueur, tumbler, verre, verre tumbler, whisky
🫗	accident, boisson, eau, oups, renverser, verre, verser, verser un liquide, vider
🥤	boisson, eau, gobelet avec paille, jus de fruit, jus de fruits, soda, verre avec une paille
🧋	boba, boisson, bubble tea, bulle, lait, paille, perle, thé aux bulles, thé aux perles, thé froid, zenzou
🧃	boisson, briquette de jus, carton, jus, jus de fruits, paille
🧉	boisson, maté
🧊	cube, froid, glace, glaçon, iceberg
🥢	baguettes, hashi
🍽️	assiette, assiette et couverts, couteau, cuisine, fourchette, fourchette et couteau avec assiette, restaurant, table
🍴	couteau et fourchette, couverts, faim, fourchette et couteau, manger, nourriture, repas, restaurant
🥄	couvert, cuillère, manger
🔪	arme, chef, couteau, couteau de cuisine, cuisine, outil
🫙	bocal, condiments, conserver, pot, rien, récipient, sauce, vide
🏺	Grèce, Verseau, amphore, astrologie, cuisine, grec, horoscope, vase, zodiaque
🌍	Afrique, Europe, Terre, afrique, espace, europe, globe, globe présentant l’Europe et l’Afrique, globe tourné sur l’Afrique et l’Europe, monde, planète
🌎️	Amérique, Terre, amérique, espace, globe, globe présentant l’Amérique, globe tourné sur les Amériques, monde, planète
🌏	Asie, Australie, Terre, asie, australie, espace, globe, globe présentant l’Asie et l’Australie, globe tourné sur l’Asie et l’Australie, monde, planète
🌐	Internet, globe avec méridiens, globe terrestre, monde, méridiens, net, toile
🗺️	carte, carte du monde, monde, planisphère, voyage
🗾	carte, carte du Japon, japon, voyage
🧭	boussole, compas, direction, magnétique, navigation, orientation
🏔️	froid, montagne, montagne enneigée, neige, sommet, voyage
⛰️	montagne, nature, sommet, voyage
🌋	lave, nature, volcan, éruption
🗻	mont Fuji, montagne, nature, sommet, voyage
🏕️	camping, nature, tente avec un sapin, voyage
🏖️	parasol, plage, plage avec parasol, voyage
🏜️	désert, voyage
🏝️	cocotier, palmier, voyage, île, île déserte
🏞️	nature, parc national, voyage
🏟️	stade
🏛️	colonnes, monument, monument classique, voyage
🏗️	chantier, construction, construction d’un bâtiment, grue
🧱	argile, brique, briques, mortier, mur, mur de briques, the wall, voie 9 3/4
🪨	caillou, dur, lourd, pierre, roc, roche, rocher, solide
🪵	arbre, bois, bûche, bûcheron, rondins, tronc
🛖	abri, case, hutte, maison, maisonnette, yourte
🏘️	bâtiment, bâtiments, maison, maisons, pavillons
🏚️	maison, maison abandonnée
🏠️	bâtiment, foyer, maison, maison simple, pavillon, résidentiel
🏡	foyer, jardin, maison, maison avec jardin, pavillon, résidentiel
🏢	bureaux, immeuble, immeuble de bureaux, ville
🏣	Japon, bureau de poste japonais, bâtiment, poste, poste japonaise, voyage
🏤	bureau de poste, bâtiment, européen, poste
🏥	bâtiment, docteur, hôpital, médecin, urgences
🏦	banque, bâtiment
🏨	bâtiment, hôtel, voyage
🏩	amour, bâtiment, cœur, hôtel, love hotel, voyage
🏪	24h/24, bâtiment, magasin, supermarché, supérette, épicerie
🏫	bâtiment, école
🏬	bâtiment, centre commercial, grand magasin, magasin
🏭️	bâtiment, usine
🏯	bâtiment, château, château japonais, japonais, voyage
🏰	bâtiment, château, européen, voyage
💒	amour, chapelle, cœur, mariage, église
🗼	Japon, Tokyo, tour, tour de Tokyo, voyage
🗽	New York, liberté, statue, statue de la Liberté, statue de la liberté, voyage
⛪️	bâtiment, chapelle, chrétien, croix, religion, voyage, église
🕌	islam, mosquée, musulman, musulmane, religion, voyage
🛕	bouddhisme, hindou, pagode, religion, stūpa, temple, temple bouddhiste, temple hindou
🕍	judaïsme, juif, juive, religion, synagogue, temple, voyage
⛩️	religion, sanctuaire shinto, shinto, voyage
🕋	Kaaba, islam, kaaba, musulman, musulmane, religion, voyage
⛲️	eau, fontaine
⛺️	camping, nature, tente, voyage
🌁	brouillard, brume, voyage
🌃	nuit, nuit étoilée, ville, voyage, étoiles
🏙️	bâtiment, ville, voyage
🌄	lever de soleil, matin, nature, soleil, soleil levant derrière les montagnes, voyage
🌅	lever de soleil, matin, nature, soleil, soleil levant, voyage
🌆	coucher de soleil, crépuscule, immeubles, soir, soleil, tombée de la nuit, ville, ville au crépuscule, voyage
🌇	coucher de soleil, coucher de soleil en ville, crépuscule, soir, soleil, tombée de la nuit, ville, voyage
🌉	nuit, pont, pont de nuit
♨️	chaud, source, sources chaudes, vapeur
