‾	nadcrta
🫏	magarac, mago, sisavac, tovar, tvrdoglav, životinja
🐎	konj, trkaći konj, utrka, životinja
🦄	jednorog, lice
🦓	pruge, zebra, životinja
🦌	jelen, životinja
🦬	bizon, europski bizon, govedo, stado, životinja
🐮	krava, lice, lice krave, mlijeko, životinja
🐂	bik, govedo, horoskop, vol, zodijak, životinja
🐃	bivol, voda, vodeni bivol, životinja, životinje
🐄	krava, mlijeko, životinja
🐷	lice, lice svinje, svinja, životinja
🐖	krmača, prase, svinja, životinja
🐗	divlja, svinja, vepar, životinja
🐽	lice, njuška, njuška svinje, prase, svinja, životinja
🐏	horoskop, ovan, ovca, rogovi, zodijak, životinja
🐑	farma, janje, ovca, vuna, životinja
🐐	horoskop, jarac, koza, zodijak, životinja
🐪	deva, dromedar, grba, jednogrba deva, životinja
🐫	deva, dvogrba deva, grba, pustinja, životinja
🦙	alpaka, gvanako, ljama, vuna, životinja
🦒	točke, žirafa, životinja
🐘	slon, životinja
🦣	izumrla životinja, izumrli, kljove, mamut, veliki, vuneni, životinja
🦏	nosorog, životinja
🦛	hippo, hippopotamus, nilski konj, vodeni konj, vodenkonj
🐭	lice, lice miša, miš, životinja
🐁	miš, životinja
🐀	štakor, životinja
🐹	hrčak, lice, ljubimac, životinja
🐰	kunić, lice, lice zeca, ljubimac, zec, životinja
🐇	kunić, ljubimac, zec, životinja
🐿️	vjeverica, životinja
🦫	brana, dabar, zubi, životinja
🦔	bodlje, jež
🦇	vampir, šišmiš, životinja
🐻	grizli, lice, medvjed, životinja
🐻‍❄	arktik, bijelo, medvjed, polarni medvjed
🐨	Australija, koala, medvjed, životinja
🐼	bambus, lice, panda, životinja
🦥	lijen, ljenjivac, spor
🦦	ribolov, vidra, zaigranost
🦨	smrad, tvor
🦘	Australija, klokan, skakanje, tobolac, životinja
🦡	jazavac, medojedni jazavac, štetočina, životinja
🐾	otisak, stopala, tragovi šapa, šape
🦃	puran, purica, životinja
🐔	koka, kokoš, životinja
🐓	kokot, pijetao, ptice, životinja
🐣	beba, izlijeganje, pile, pile izleglo iz jajeta, životinja
🐤	beba, pile, ptica, životinja
🐥	beba, pile, pile sprijeda, životinja
🐦️	ornitologija, ptica, životinja
🐧	antarktika, pingvin, ptica, životinja
🕊️	golubica, letenje, mir, ptica, životinja
🦅	orao, ptica, životinja
🦆	patka, ptica, životinja
🦢	labud, ptica, ružno pače, životinja
🦉	mudrost, ptica, sova, životinja
🦤	Mauricijus, dodo, izumrlo, ptica, veliko, životinja
🪶	lagano, letjeti, perje, pero, ptica
🦩	flamingo, plamenac, tropski
🦚	paun, paunica, ponos, ptica, razmetljivost, ukras, životinja
🦜	govor, gusar, papiga, ptica
🪽	anđeoski, avijacija, krilo, let, letenje, mitologija, nebesko, nebo, ptica, uvis, visine
🐦‍⬛	crna ptica, crno, gavran, kljun, ptica, vrana, životinja
🪿	gukanje, guska, jato, perad, ptica, smiješno, životinja
🐦‍🔥	besmrtno, fantazija, feniks, oživjeti, podići se, ponovno rođenje, preživjeti, reinkarnacija, slava, vatrena ptica
🐸	lice, žaba, životinja
🐊	krokodil, zoo, životinja
🐢	kornjača, životinja
🦎	gušter, reptil, životinja
🐍	horoskop, ophiuchus, zmija, zmijonosac, zodijak, životinja
🐲	bajka, lice, lice zmaja, zmaj, životinja
🐉	bajka, zmaj, životinja
🦕	brahiosaur, brontosaur, dinosaur, diplodok, sauropod
🦖	dinosaur, t-rex, tiranosaur, životinja
🐳	kit, kit koji izbacuje mlaz vode, lice, mlaz, životinja
🐋	kit, ocean, životinja
🐬	Flipper, delfin, dupin, ocean, plaža, životinja
🦭	morski lav, ocean, tuljan, životinja
🐟️	horoskop, riba, ribe, zodijak, životinja
🐠	riba, tropi, tropska ribica, životinja
🐡	riba, riba napuhača, životinja
🦈	morski pas, riba, životinja
🐙	hobotnica, ocean, životinja
🐚	more, plaža, spirala, spiralna školjka, školja, školjka, životinja
🪸	crveni koralj, greben, klimatske promjene, koralj, more, ocean
🪼	beskralješnjak, jao, meduza, more, morska, ocean, opekotina, plankton, žarnjak, životinja
🐌	puž, vrt, životinja
🦋	insekt, leptir, ljepota
🐛	gusjenica, insekt, životinja
🐜	insekt, kukac, mrav, životinja
🐝	insekt, kukac, proljeće, pčela, životinja
🪲	buba, insekt, kukac, životinja
🐞	buba, bubamara, insekt
🦗	cvrčak, insekt, kukac, skakavac
🪳	insekt, kukac, nametnik, žohar
🕷️	insekt, pauk
🕸️	mreža, pauk, paukova mreža
🦂	horoskop, zodijak, škorpion
🦟	bolest, groznica, insekt, komarac, malarija, ugriz, virus, zaraza
🪰	bolest, crv, insekt, kukac, muha, nametnik, trulež
🪱	crv, glista, kolutićavac, parazit, životinja
🦠	ameba, bakterija, mikrob, virus, znanost
💐	biljka, buket, cvijet, godišnjica, romantika
🌸	biljka, cvijet, cvjetanje, proljeće, trešnja, trešnjin cvijet
💮	bijeli cvijet, biljka, cvijet
🪷	Indija, Vijetnam, blagostanje, budizam, cvijet, hinduizam, ljepota, lotus, mir, čistoća
🏵️	biljka, rozeta
🌹	biljka, cvijet, ruža, valentinovo
🥀	cvijet, uveo, uveo cvijet
🌺	biljka, cvijet, hibiskus
🌻	biljka, cvijet, sunce, suncokret
🌼	biljka, cvijet, cvjetanje
🌷	biljka, cvijet, cvjetanje, tulipan
🪻	biljka, cvat, cvijet, jorgovan, lavanda, lila, ljubičasto, proljeće, vučika, zijevalica, zumbul
🌱	biljka, mlada biljka, mlado, sadnica
🪴	biljka, biljka u tegli, kuća, rasti, ukras, uzgoj
🌲	biljka, božićno drvce, drvo, zimzeleno drvo
🌳	biljka, drvo, listopadno, listopadno drvo, stablo
🌴	biljka, drvo, palma, plaža
🌵	biljka, kaktus, pustinja
🌾	biljka, klas, klas riže, riža, žitarice
🌿	biljka, list
☘️	biljka, djetelina
🍀	4, biljka, djetelina, djetelina s četiri lista, list, četverolisna djetelina
🍁	biljka, javor, javorov list, list, padanje
🍂	biljka, jesen, list, otpali list, padanje
🍃	list, list koji treperi na vjetru, puhanje, treperenje, vjetar
🪹	dom, gnijezdo, gniježđenje, prazno gnijezdo
🪺	gnijezdo s jajima, gnijezdo s plavim jajima, gniježđenje, jaja, jaje, ptica
🍄	biljka, gljiva
🪾	ogoljeno, stablo bez lišća, suša, zima
🍇	biljka, grožđe, voće
🍈	biljka, dinja, voće
🍉	biljka, lubenica, voće
🍊	biljka, mandarina, naranča, vitamin c, voće
🍋	biljka, limun, voće
🍋‍🟩	citrus, kiselo, limeta, margarita, mojito, salsa, sok, tekila, tropsko, voće
🍌	banana, hrana, voće
🍍	ananas, biljka, hrana, voće
🥭	mango, tropsko, voće
🍎	biljka, crvena, crvena jabuka, jabuka, voće
🍏	biljka, jabuka, voće, zelena, zelena jabuka
🍐	biljka, hrana, kruška, voće
🍑	biljka, breskva, hrana, voće
🍒	biljka, crveno, hrana, trešnja, trešnje, voće
🍓	biljka, hrana, jagoda, voće
🫐	bobica, borovnica, borovnice, plavo, voće, šumsko voće
🥝	hrana, kivi, voće
🍅	biljka, hrana, povrće, rajčica, voće
🫒	hrana, maslina
🥥	hrana, kokos, palma, pina colada, voće
🥑	avokado, hrana, voće
🍆	biljka, patlidžan, povrće
🥔	hrana, krumpir, povrće
🥕	biljka, hrana, mrkva, povrće
🌽	biljka, hrana, klip, klip kukuruza, kukuruz
🌶️	biljka, hrana, ljuta papričica, ljuto, paprika, papričica
🫑	babura, hrana, paprika, papričica, povrće
🥒	biljka, hrana, kiseli krastavac, krastavac, povrće
🥬	blitva, kelj, kupus, lisnato povrće, salata, zelena salata, zeleno lisnato
🥦	biljka, brokula, povrće
🧄	povrće, češnjak
🧅	luk, povrće
🥜	grickalice, hrana, kikiriki, povrće
🫘	grah, hrana, mahunarka, malo
🌰	biljka, kesten
🫚	biljka, korijen, pivo, prirodno, začin, zdravlje, đumbir
🫛	edamame, grah, grah, grašak, edamame, mahuna, mahunarke, povrće, soja, grašak, mahuna, mahuna graška, mahunarke, povrće
🍄‍🟫	gljive, hrana, pizza, povrće, priroda, smeđa gljiva, tartuf, vegetarijanski
🫜	cikla, korijen, korjenasto povrće, povrće, repa, vrt
🍞	kruh, restoran, tost, ugljikohidrati, štruca
🥐	francuska, hrana, kroasan, kruh
🥖	baget, francuska, francuski kruh, hrana, kruh
🫓	bublica, hrana, kruh, lepinja, naan, pecivo, pita
🥨	ispleteno, isprepleteno, perec, uvijeno
🥯	doručak, krafna, kruh, pecivo, pekarski proizvod, uštipak
🥞	crêpe, hrana, palačinke
🧇	doručak, neodlučan, tost, vafel
🧀	komad sira, sir
🍖	hrana, kost, meso, meso na kosti
🍗	batak, hrana, kost, noga, perad, piletina, puretina
🥩	crveno meso, janjetina, meso, odrezak, svinjetina
🥓	hrana, meso, slanina
🍔	brza hrana, burger, hamburger, hrana
🍟	brza hrana, hrana, krumpirić, pomfrit, prženo
🍕	hrana, kriška, pizza, salama, sir
🌭	hot dog, hotdog, hrana, hrenovka, kobasica
🥪	kruh, sendvič
🌮	hrana, meksička, taco
🌯	burrito, hrana, meksička
🫔	hrana, meksička hrana, meksičko, tamal, umotano
🥙	falafel, giros, hrana, kebab, lepinja
🧆	falafel, okruglice, slanutak, ćufte
🥚	doručak, hrana, jaja, jaje
🍳	doručak, jaje, kuhanje, pečenje, restoran, tava
🥘	hrana, lonac, paella, plitko, posuda, posuda s hranom
🍲	gulaš, hrana, juha, lonac, lonac s hranom, zdjela, zdjela s hranom
🫕	fondi, fondue, hrana, otopljeno, posuda, rastopljeni sir, sir, skijanje, čokolada, švicarsko
🥣	doručak, hrana, zdjelica sa žlicom, žitarice
🥗	hrana, salata, zelena salata, zeleno
🍿	hrana, kino, kokice
🧈	maslac, mliječni, proizvod
🧂	okus, slano, sol, soljenka, uzrujan, začin
🥫	hrana, konzerva, limenka
🍱	bento, bento kutija, hrana, kutija
🍘	hrana, keks, keks od riže, riža
🍙	hrana, japan, kuglica, kuglica od riže, riža
🍚	hrana, kuhana, kuhana riža, riža
🍛	curry, curry riža, hrana, riža
🍜	hrana, kipuća zdjelica, para, ramen, tjestenina, zdjelica
🍝	hrana, mesne okruglice, restoran, tjestenina, špageti
🍠	batat, biljka, krumpir, pečeni batat, pečeno, slatki krumpir
🍢	hrana, morski plodovi, oden, ražnjić, štapić
🍣	hrana, sushi
🍤	hrana, kozica, prženi račić, prženo, račić, tempura
🍥	hrana, kolač, riba, riblji kolač s motivom spirale, spirala, tijesto
🥮	festival, jesen, mjesečev kolač, slastica
🍡	dango, desert, hrana, japan, ražnjić, slatko, štapić
🥟	empanada, gyōza, jiaozi, okruglica, pierogi, školjkica
🥠	kolačić sreće, kolačić za sreću, proročanstvo
🥡	dostava hrane, kutija, kutija za dostavu, kutija za kinesku hranu, štapići za jelo
🦀	horoskop, rak, zodijak
🦞	crveni jastog, jastog, kliješta, morski plodovi, oklop
🦐	hrana, rak, škamp, školjka
🦑	hrana, lignja, mekušac, životinja
🦪	biser, izroniti, kamenica, školjka
🍦	desert, hrana, led, meki sladoled, meko, sladoled, slatko, vrhnje
🍧	desert, hrana, komadići, led, restoran, sladoled s komadićima leda, slatko
🍨	desert, hrana, led, restoran, sladoled, slatko, vrhnje
🍩	desert, hrana, krafna, slatko
🍪	desert, hrana, keks, slatko
🎂	desert, hrana, rođendan, rođendanska torta, slatkiš, slatko, slavlje, tijesto, torta, tulum, zabava
🍰	desert, kolač, komad kolača, kriška, slatko, tijesto, torta
🧁	desert, kolač, muffin, pekarski proizvod, slastica, šećer
🥧	kriška pite, pita, pita od jabuke, punjenje, tijesto
🍫	desert, hrana, slatko, tabla, tabla čokolade, čokolada
🍬	bombon, desert, hrana, karijes, slatko
🍭	bombon, desert, hrana, lizalica, slatko
🍮	desert, hrana, krema od jaja, puding, slastice, slatko
🍯	hrana, med, medvjed, slatko, tegla, tegla meda
🍼	beba, bočica, bočica za bebe, hrana, mlijeko, piti, rođenje
🥛	mlijeko, piće, čaša, čaša mlijeka
☕️	jutro, kava, kofein, napitak, vruće, vrući napitak, čaj, šalica
🫖	napitak, piće, posuda, topli napitak, čaj, čajnik
🍵	napitak, piti, piće, čaj, šalica, šalica za čaj bez ručke
🍶	bar, boca, napitak, piće, sake, šalica
🍾	bar, boca, boca iz koje izlijeće čep, piće, čep
🍷	alkohol, bar, klub, piće, restoran, vino, čaša, čaša za vino
🍸️	bar, klub, koktel, martini, piće, čaša, čaša za koktel
🍹	alkohol, bar, klub, koktel, piće, tropi, tropsko piće, zabava
🍺	bar, krigla, krigla za pivo, pivo, piće
🍻	alkohol, bar, krigla, kucanje, pivo, piće, zdravica, zdravica kriglama piva
🥂	kucanje, piće, proslava, zdravica, čaša
🥃	piće, viski, čaša, žestoko, žestoko piće
🫗	izlijevanje tekućine, nezgoda, piće, prazno, proliti, ups, voda, čaša
🥤	piće, sok, voda, čaša sa slamkom
🧋	boba, kuglica, mjehurić, mjehurići, mjehuričasti čaj, mlijeko, napitak, piće, čaj
🧃	sok, sok u tetrapaku, tetrapak
🧉	mate, piće, čaj
🧊	blok leda, hladno, kocka leda, led, santa leda
🥢	kineski štapići, štapići, štapići za jelo
🍽️	kuhanje, nož, tanjur, vilica, vilica i nož s tanjurom
🍴	doručak, glad, hrana, nož, pribor za jelo, restoran, ručak, večera, vilica, vilica i nož
🥄	hranjenje, pribor za jelo, žlica
🔪	alat, kuhanje, kuhinjski nož, nož, oružje
🫙	ništa, pohrana, posuda, prazno, staklenka, umak, začin
🏺	amfora, horoskop, kuhanje, piće, vodenjak, vrč, zodijak
🌍	Afrika, Europa, Zemlja, globus, globus s prikazom Europe i Afrike, svijet
🌎️	Amerika, Zemlja, globus, globus s prikazom Amerika, južna, sjeverna, svijet
🌏	Australija, Azija, Zemlja, globus, globus s prikazom Azije i Australije, svijet
🌐	globus, globus s meridijanima, meridijani, svijet, zemlja
🗺️	karta, karta svijeta, svijet
🗾	japan, karta, karta Japana
🧭	kompas, magnetski, navigacija, orijentacija
🏔️	hladno, planina, planina sa snježnim vrhovima, snijeg
⛰️	planina
🌋	erupcija, planina, vrijeme, vulkan
🗻	fuji, japan, planina, planina Fuji, priroda
🏕️	kampiranje
🏖️	plaža, plaža sa suncobranom, suncobran
🏜️	pustinja
🏝️	otok, otok s palmom, pusti otok, pusto
🏞️	nacionalni park, park
🏟️	stadion
🏛️	antika, antička građevina, građevina, zgrada
🏗️	dizalica, gradilište, gradnja, kran, zgrada
🧱	cigla, cigle, glina, zid, žbuka
🪨	gromada, kamen, stijena, teško, čvrsto
🪵	cjepanica, cjepanice, drva, drvo
🛖	dom, koliba, kuća, kuća od slame, slamnata kuća
🏘️	kuća, kuće, zgrada
🏚️	kuća, zapuštena kuća, zapušteno, zgrada
🏠️	dom, građevina, jednostavno, kuća, predgrađe, vikendica, zgrada
🏡	dom, dvorište, kuća, kuća s vrtom, kućica u cvijeću, predgrađe, vrt
🏢	poslovna zgrada, poslovni prostor, ured, uredski prostor, zgrada
🏣	japan, japanski poštanski ured, pošta, zgrada
🏤	Europa, pošta, poštanski ured, zgrada
🏥	bolnica, doktor, liječnik, medicina, zgrada
🏦	banka, zgrada
🏨	hotel, zgrada
🏩	hotel, ljubav, ljubavni hotel, zgrada
🏪	dućan, otvoreno 24 sata, trgovina, trgovina mješovitom robom, zgrada
🏫	zgrada, škola
🏬	robna kuća, trgovina, zgrada
🏭️	tvornica, zgrada
🏯	dvorac, japan, japanski dvorac, zgrada
🏰	Europa, dvorac, europski, zgrada
💒	crkva, kapelica, romantika, vjenčanje
🗼	tokijski toranj, tokio, toranj
🗽	kip, kip slobode, new york, sloboda
⛪️	crkva, križ, kršćanstvo, religija, zgrada
🕌	džamija, islam, muslimani, religija
🛕	hinduski, hinduski hram, hram
🕍	hram, judaizam, religija, sinagoga, židovi, židovstvo
⛩️	hram, religija, svetište, šintoistički hram, šintoizam
🕋	islam, kaba, muslimani, religija, umrah
⛲️	fontana, vodoskok
⛺️	kampiranje, šator
🌁	magla, maglovito, vrijeme
🌃	noć, vrijeme, zvijezde, zvjezdana noć
🏙️	grad, panorama grada, zgrada
🌄	izlazak sunca iznad planina, jutro, planina, sunce, vrijeme, zora
🌅	izlazak sunca, jutro, priroda, sunce, vrijeme
🌆	grad, krajolik, panorama grada u sumrak, sumrak, večer, zalazak, zgrada
🌇	sumrak, sunce, vrijeme, zalazak sunca, zgrada
🌉	most, most noću, noć, zvijezde
♨️	izvor, para, termalni izvori, vruće
🎠	konj, konjić na vrtuljku, vrtuljak, zabavni park
🛝	dječji tobogan, igra, igralište, spuštanje niz tobogan, zabavni park
🎡	kotač, panorama, panoramski kotač, zabavni park
🎢	smrt, vlak, vlak smrti, vrtuljak, zabavni park
💈	brijač, frizer, stup, stup koji označava brijačnicu
🎪	cirkus, cirkuski šator, šator
🚂	lokomotiva, motor, para, putovanje, vlak, vozilo, željeznica
🚃	pruga, tramvaj, trolejbus, vagon, vlak, željeznica
🚄	brzi vlak, brzina, japanski vlak shinkansen, prijevoz, vlak, željeznica
🚅	brzi vlak s lokomotivom u obliku metka, brzi vlak shinkansen, brzina, japan, japanski brzi vlak shinkansen, metak, putovanje, vlak, željeznica
