‾	επάνω γραμμή
🪁	αιωρούμαι, πετάω, χαρταετός
🔫	εργαλείο, νεροπίστολο, περίστροφο, πιστόλι, ρεβόλβερ, όπλο
🎱	8, μπάλα, μπάλα 8 μπιλιάρδου, μπάλα με το 8, μπιλιάρδο, οκτώ, παιχνίδι
🔮	εργαλείο, κρυστάλλινη, κρυστάλλινη σφαίρα, μέλλον, μαγεία, μαγικός, παραμύθι, σφαίρα, τύχη, φαντασία
🪄	Χάρι Πότερ, μάγισσα, μάγος, μαγικά, μαγικό ραβδί
🎮️	playstation, xbox, βιντεοπαιχνίδι, διασκέδαση, παιχνίδι, χειριστήριο, ψυχαγωγία
🕹️	joystick, βιντεοπαιχνίδι, παιχνίδι
🎰	καζίνο, κουλοχέρης, παιχνίδι, σχισμή, τζόγος, τυχερό παιχνίδι, χαρτοπαίζω
🎲	διασκέδαση, ζάρι, ζάρι παιχνιδιού, παιχνίδι
🧩	ένδειξη, αλληλοσύνδεση, κομμάτι, κομμάτι παζλ, παζλ, σύνδεση, σύνδεσμος
🧸	απαλός, αρκουδάκι, αρκούδος, κουκλάκι, λούτρινο, παιχνίδι
🪅	Μεξικό, γιορτή, πάρτι, πινιάτα, ρόπαλο
🪩	καθρέφτης, μπάλα, μπάλα με καθρέφτες, ντίσκο, πάρτι, φως, χορός, χρυσόσκονη
🪆	Ρωσία, κούκλα, κούκλες μπάμπουσκα, μπάμπουσκα, μπαμπούσκα, παιχνίδι
♠️	μπαστούνι, παιχνίδι, χαρτιά, χρώμα
♥️	καρδιά, καρδιές, κούπα, παιχνίδι, χαρτιά, χρώμα
♦️	διαμάντι, καρό, παιχνίδι, χαρτιά, χρώμα
♣️	παιχνίδι, σπαθί, σπαθιά, χαρτιά, χρώμα
♟️	αναλώσιμος, εξαπατώ, πιόνι σκακιού, σκάκι
🃏	κάρτα, παίζω, παιχνίδι, τζόκερ, χαρτιά
🀄️	δράκος mahjong, κόκκινος, κόκκινος δράκος, παιχνίδι, πλακίδιο mahjong κόκκινος δράκος
🎴	ιαπωνικό, κάρτα, λουλούδι, παίζω, παιχνίδι, τραπουλόχαρτα χαναφούντα
🎭️	Σαίξπηρ, διασκέδαση, ηθοποιία, ηθοποιός, θέατρο, μάσκα, παραστατικές τέχνες, τέχνη, ψυχαγωγία
🖼️	εικόνα, εικόνα σε κορνίζα, κάδρο, μουσείο, πίνακας, τέχνη
🎨	δημιουργικός, καλλιτέχνης, καλλιτεχνικός, μουσείο, πίνακας, παλέτα, παλέτα ζωγράφου, τέχνη, χρωματιστός, ψυχαγωγία
🧵	βελόνα, καρούλι, κλωστή, ράψιμο, σπάγγος
🪡	βελόνα, βελόνα ραψίματος, κέντημα, κλωστή, μεταποίηση, ράβω, ράμματα, ράψιμο
🧶	βελονάκι, κουβάρι, μπάλα, νήμα, πλέκω, πλεκτό
🪢	δένω, κόμπος, σκοινί, σπάγκος, στρίβω, τυλίγω
👓️	ένδυμα, αξεσουάρ, γυαλιά, είδη, μάτι, οπτικά
🕶️	γυαλιά, γυαλιά ηλίου, μάτι, οπτικά, σκοτάδι, σκούρα
🥽	βουτώ, κατάδυση, κολύμπι, προστασία ματιών, προστατευτικά γυαλιά, συγκόλληση
🥼	Δρ, Δόκτωρ, γιατρός, επιστήμονας, λευκή ρόμπα, πείραμα, ρούχα, ρόμπα, ρόμπα εργαστηρίου
🦺	έκτακτη ανάγκη, ασφάλεια, γιλέκο, γιλέκο ασφαλείας
👔	γραβάτα, πουκάμισο, ρουχισμός, ρούχο, σοβαρός, υπάλληλος
👕	Σαββατοκύριακο, γιακάς, μπλε, μπλουζάκι, μπλούζα, ντυμένος, πουκάμισο, πρόχειρο, ρουχισμός, ρούχα, ρούχο
👖	Σαββατοκύριακο, ένδυση, μπλε, ντένιμ, παντελόνι, πρόχειρο, ρούχα, ρούχο, τζιν, τζιν παντελόνι, ψώνια
🧣	κασκόλ, κρύο, λαιμός, ντύνομαι χοντρά
🧤	γάντια, χέρι
🧥	κρύο, μπουφάν, μπρ, ντύνομαι ζεστά, παλτό
🧦	κάλτσες, καλσόν
👗	ρουχισμός, ρούχα, ρούχο, φανταχτερό, φόρεμα, ψώνια
👘	άνετο, κιμονό, ρούχο
🥻	ρουχισμός, σάρι, φόρεμα
🩱	μαγιό, ολόσωμο μαγιό
🩲	εσώρουχο, μαγιό, μονοκόμματο, σλιπ, σλιπάκι
🩳	βερμούδα, εσώρουχο, μαγιό, σορτς, σορτσάκι
👙	κολύμβηση, μαγιό, μπικίνι, παραλία, πισίνα, ρούχο
👚	γυναίκα, γυναικεία ρούχα, κυρία, μπλούζα, ντυμένη, πουκάμισο, ρούχα, ρούχο, ψώνια
🪭	αναδιπλούμενη βεντάλια, βεντάλια, δροσίζομαι, δροσιά, ζέστη, ντροπαλή, φλερτ, φτερούγισμα, χορός
👛	ένδυμα, κέρμα, πορτοφόλι, τσάντα, φανταχτερό, ψώνια
👜	ένδυμα, κυρία, πορτοφόλι, ρούχα, τσάντα, τσάντα χειρός, τσαντάκι, ψώνια
👝	ένδυμα, κασετίνα, πορτοφόλι, ρούχο, σακούλα, τσάντα, τσάντα χειρός, τσαντάκι
🛍️	ξενοδοχείο, τσάντα, τσάντες για ψώνια, ψώνια
🎒	μόρφωση, σάκα, σακίδιο, σχολείο, σχολική σάκα, σχολική τσάντα, τσάντα
🩴	δίχαλο, παντόφλα, παντόφλες, σαγιονάρα, σαγιονάρες, σανδάλια, σανδάλια παραλίας
👞	άνδρας, ανδρικό παπούτσι, καφέ, κλοτσάω, παπούτσι, πόδι, πόδια, ρουχισμός, ρούχα, ψώνια
👟	αθλητικά, αθλητικό παπούτσι, αθλητικός, γρήγορα, κλωτσιά, παπούτσι, παπούτσι τρεξίματος, παπούτσια, ρουχισμός, τένις, τρέξιμο, ψώνια
🥾	έξω, κάμπιγκ, κατασκήνωση, καφέ μπότα, καφέ παπούτσι, μπότα, μπότα ορειβασίας, ορειβασία, πεζοπορία, σε εξωτερικό χώρο, ταξίδι με σακίδιο πλάτης
🥿	άνετο παπούτσι, ίσιο παπούτσι, επίπεδο παπούτσι, μπαλαρίνα, παντοφλέ, χαμηλοτάκουνο
👠	γυναίκα, γόβα, γόβα στιλέτο, παπούτσι, ρουχισμός, τακούνι, τακούνια, φόρεμα, ψηλοτάκουνο, ψηλοτάκουνο παπούτσι, ψώνια
👡	γυναίκα, γυναικείο σανδάλι, παπούτσι, ρουχισμός, σανδάλι
🩰	μπαλέτο, μπαλαρίνες, παπούτσια μπαλέτου, χορός
👢	γυναίκα, γυναικεία μπότα, μπότα, παπούτσι, ρουχισμός, φόρεμα, ψώνια
🪮	άφρο, μαλλιά, πηρούνα μαλλιών, χτένα
👑	βασίλισσα, βασιλεία, βασιλιάς, βασιλική οικογένεια, βασιλικός, κερδίζω, μεσαιωνικός, ρουχισμός, στέμμα
👒	γυναίκα, γυναικείο καπέλο, καπέλα, καπέλο, πάρτι στον κήπο, ρουχισμός
🎩	επίσημος, ημίψηλο καπέλο, καπέλο, μαγεία, μαγικός, ρουχισμός, φανταχτερός, ψηλό
🎓️	αποφοίτηση, γιορτή, εκπαίδευση, καπέλο, καπέλο αποφοίτησης, λόγιος, μορφωμένος, ρουχισμός, υπότροφος, φοιτητής
🧢	καπέλο τζόκεϊ, καπέλο του μπέιζμπολ, καπελάκι
🪖	κράνος, πολεμιστής, πόλεμος, στρατιωτικό, στρατιωτικό κράνος, στρατιώτης, στρατός, φαντάρος, χακί
⛑️	βοήθεια, καπέλο, κράνος, κράνος διασώστη, κράνος με λευκό σταυρό, πρόσωπο, σταυρός
📿	θρησκεία, κολιέ, κομπολόι, προσευχή, ρουχισμός, χάντρες
💄	καλλυντικά, κραγιόν, μέικ απ, μακιγιάζ, ραντεβού
💍	έρωτας, αρραβωνιασμένος, αρραβώνας, γάμος, δαχτυλίδι, διαμάντι, ειδύλλιο, λαμπερό, μονόπετρο, παντρεμένος, ρομάντζο
💎	έρωτας, αρραβώνας, γάμος, διαμάντι, ειδύλλιο, κόσμημα, λεφτά, πετράδι, πολύτιμος λίθος, χρήματα
🔇	ήχος, αθόρυβο, ησυχία, ηχείο, ηχείο σε σίγαση, σίγαση, σιωπή
🔈️	ένταση ήχου, ήχος, απαλός, ηχείο σε χαμηλή ένταση, χαμηλή ένταση, χαμηλός
🔉	ένταση ήχου, ήχος, ηχείο, ηχείο σε μέτρια ένταση
🔊	ένταση ήχου, ήχος, δυνατή, ηχείο, ηχείο σε υψηλή ένταση, μουσική, υψηλή ένταση ήχου
📢	ήχος, δημόσια εξαγγελία, δυνατά, δυνατός ήχος, επικοινωνία, μεγάφωνο, ντουντούκα, τηλεβόας, υψηλή ένταση ήχου
📣	ήχος, ζητωκραυγές, μεγάφωνο
📯	κόρνα, ταχυδρομείο, ταχυδρομική κόρνα, ταχυδρομικός
🔔	ήχος, διάλειμμα, εκκλησία, καμπάνα, κουδούνι
🔕	απαγορευμένο, απαγορεύεται, δεν επιτρέπεται, ησυχία, καμπάνα, κουδούνι, κουδούνι με κόκκινη γραμμή, σίγαση
🎼	μουσική, νότα, παρτιτούρα, πεντάγραμμο
🎵	ήχος, μουσική, νότα, νότα μουσικής
🎶	μουσική, νότα, νότες, νότες μουσικής
🎙️	μικρόφωνο, μικρόφωνο στούντιο, μουσική, στούντιο
🎚️	επίπεδο, μουσική, ρυθμιστικό, ρυθμιστικό έντασης
🎛️	έλεγχος, κουμπιά, κουμπιά ελέγχου, μουσική
🎤	ήχος, καραόκε, μικρόφωνο, μουσική, τραγουδάω
🎧️	ήχος, ακουστικά
📻️	βίντεο, ράδιο, ραδιόφωνο, φορητό ραδιόφωνο, ψυχαγωγία
🎷	μουσική, σαξόφωνο, όργανο
🪗	ακορντεόν, κοντσερτίνα, μουσική, μουσικό όργανο, όργανο
🎸	κιθάρα, μουσική, όργανο
🎹	κλαβιέ, μουσική, μουσικό πληκτρολόγιο, πιάνο, πλήκτρα, όργανο
🎺	μουσική, τρομπέτα, όργανο
🎻	έγχορδο, βιολί, μουσική, μουσικό όργανο, όργανο
🪕	έγχορδο, μουσική, μπάντζο
🥁	μουσική, μπαγκέτες, τύμπανο
🪘	κόνγκα, μουσική, μουσικό όργανο, ρυθμός, τύμπανο, όργανο
🪇	κουνάω, κροτάλισμα, κρουστά, μαράκες, μουσική, όργανο
🪈	αυλός, καταγραφή, μουσική, πίφερο, πνευστό, φλάουτο
🪉	άρπα, έρωτας, αγάπη, μουσική, ορχήστρα, όργανο
📱	επικοινωνία, κινητό, κινητό τηλέφωνο, τηλέφωνο
📲	βέλος, επικοινωνία, καλώ, κινητό, κινητό τηλέφωνο με βέλος, κλήση, λήψη, λαμβάνω κλήση, τηλέφωνο, τηλεφωνώ
☎️	τηλέφωνο
📞	ακουστικό τηλεφώνου, δέκτης, διαδικτυακή κλήση, επικοινωνία, καλώ, τηλέφωνο
📟️	βομβητής, επικοινωνία
📠	επικοινωνία, συσκευή φαξ, φαξ
🔋	μπαταρία
🪫	ηλεκτρονικά, μπαταρία, χαμηλή ενέργεια, χαμηλή μπαταρία
🔌	βύσμα, βύσμα ρεύματος, ηλεκτρικό, ηλεκτρισμός, ρεύμα
💻️	pc, γραφείο, προσωπικός, υπολογιστής, φορητός υπολογιστής
🖥️	επιτραπέζιος, επιτραπέζιος υπολογιστής, οθόνη, υπολογιστής
🖨️	εκτυπωτής, υπολογιστής
⌨️	πληκτρολόγιο, υπολογιστής
🖱️	ποντίκι, ποντίκι υπολογιστή, υπολογιστής
🖲️	ιχνόσφαιρα, υπολογιστής
💽	minidisk, δίσκος, δίσκος υπολογιστή, οπτικός, υπολογιστής
💾	δίσκος, δισκέτα, υπολογιστής
💿️	blu-ray, cd, dvd, δίσκος, οπτικός, οπτικός δίσκος, υπολογιστής
📀	blu-ray, cd, dvd, δίσκος, οπτικός, υπολογιστής
🧮	άβακας, αριθμητάρι, υπολογισμός
🎥	βιντεοκάμερα, κινηματογράφος, κινηματογραφική κάμερα, μπόλιγουντ, ταινία, χόλιγουντ
