‾	garis atas
🍹	alkohol, bar, cocktail, klub, mai tai, minum, minuman, minuman keras, minuman tropis, pesta, tropis
🍺	alkohol, bar, bir, minuman, minuman keras, mug, mug bir, musim panas, octoberfest, oktoberfest
🍻	alkohol, bar, berbenturan, bir, minuman, mug, mug bir berdenting, tos
🥂	alkohol, cling, gelas, hore, mendentingkan gelas, minuman, perayaan, pesta, selamat, tos
🥃	alkohol, gelas, gelas tumbler, minum-minum, minuman, whisky, wiski
🫗	air, gelas, kosong, menuang cairan, minum, tumpah
🥤	air, cangkir dengan sedotan, jus, minuman, soda
🧋	boba, bubble, makanan, minuman, mutiara, susu, teh, teh bubble
🧃	jus, kotak, kotak minuman, manis, minuman, sedotan
🧉	mate, minuman, teh mate
🧊	dingin, es, es batu, gunung es
🥢	hashi, sumpit
🍽️	garpu, garpu dan pisau dengan piring, makan, makan malam, masak, memasak, piring, pisau
🍴	alat makan, garpu, garpu dan pisau, lapar, makan, masak, pisau
🥄	alat makan, makan, peralatan makan, sendok
🔪	alat, hocho, masak, pisau, pisau dapur, senjata
🫙	bumbu, habis, kosong, menyimpan, saus, toples, wadah
🏺	Aquarius, akuarius, amphora, kendi, memasak, minuman, vas, zodiak
🌍	Afrika, Eropa, Eropa-Afrika, bola dunia, bola dunia Eropa-Afrika, bumi, dunia, globe
🌎️	Amerika, bola dunia, bola dunia Amerika, bumi, dunia, globe
🌏	Asia, Asia-Australia, Australia, bola dunia, bola dunia Asia-Australia, bumi, dunia, globe
🌐	bola dunia, bola dunia dengan garis meridian, bumi, dunia, garis tengah, globe, internet, meridian, seluruh dunia, web
🗺️	dunia, peta, peta dunia
🗾	jepang, peta, peta Jepang
🧭	arah, kompas, magnetik, magnetis, navigasi, orientasi, pedoman arah, penunjuk arah
🏔️	dingin, gunung, gunung dengan puncak bersalju, salju
⛰️	gunung
🌋	alam, erupsi, gunung, gunung api, gunung berapi
🗻	alam, fuji, gunung, gunung Fuji
🏕️	berkemah, kemah, tenda
🏖️	pantai, pantai dan payung, payung
🏜️	gurun
🏝️	gurun, pulau, pulau terpencil
🏞️	nasional, taman, taman nasional
🏟️	stadion
🏛️	bangunan, bangunan klasik, gedung, klasik
🏗️	bangunan, crane, derek, konstruksi, konstruksi bangunan, pembangunan
🧱	bata, batu bata, dinding, lempung, mortar, semen, tanah liat, tanah merah
🪨	batu, batu besar, batu kali, berat, cadas, keras, padat, solid
🪵	batang kayu, batang pohon, gelondong, kayu, kayu bakar, kayu bulat, kayu pohon, potongan kayu
🛖	gubuk, penampungan, perlindungan, pondok, pondok kayu, rumah, rumah bundar, rumah tradisional, yurt
🏘️	bangunan, perumahan, rumah
🏚️	bangunan, rumah, rumah terlantar, terlantar
🏠️	bangunan, gedung, rumah
🏡	bangunan, gedung, kebun, pinggir kota, rumah, rumah berpohon, rumah dengan taman
🏢	bangunan, gedung, gedung perkantoran, kantor, kota, kubikel, pekerjaan, perkantoran
🏣	Jepang, bangunan, gedung, kantor, kantor pos Jepang, pos
🏤	Eropa, bangunan, gedung, kantor, kantor pos, pos
🏥	bangunan, dokter, gedung, obat, rumah sakit
🏦	bangunan, bank, gedung
🏨	bangunan, gedung, hotel
🏩	bangunan, cinta, gedung, hotel, hotel cinta
🏪	24 jam, bangunan, minimarket, toko
🏫	bangunan, gedung, sekolah
🏬	bangunan, departemen, gedung, mol, swalayan, toko, toserba
🏭️	bangunan, gedung, pabrik
🏯	Jepang, bangunan, gedung, kastel, kastel Jepang, kastil
🏰	Eropa, bangunan, gedung, kastel, kastil, puri
💒	bangunan, gedung, kapel, pernikahan, romantis
🗼	menara, menara Tokyo, tokyo
🗽	Patung Liberty, liberty, patung
⛪️	Kristen, Kristiani, agama, berkah, berkat, gereja, kapel, salib
🕌	Islam, Muslim, agama, masjid, mushalla, musola
🛕	candi, hindu, kuil, pura
🕍	Yahudi, agama, bait suci, judaisme, kuil, sinagog
⛩️	agama, kuil, kuil Shinto, shinto
🕋	agama, islam, ka’bah, muslim
⛲️	air, air mancur, pancuran
⛺️	berkemah, tenda
🌁	berkabut, cuaca, kabut
🌃	bintang, malam, malam berbintang
🏙️	bangunan, kota, panorama kota
🌄	cuaca, gunung, matahari, matahari terbit di antara gunung, pagi, terbit
🌅	alam, matahari, matahari terbit, pagi, terbit
🌆	bangunan, gedung, kota, matahari, matahari terbenam, panorama kota, panorama kota di sore hari, pemandangan, senja, sore
🌇	bangunan, gedung, matahari, matahari terbenam, senja
🌉	cuaca, jembatan, jembatan di malam hari, malam
♨️	beruap, mata air, mata air panas, mengepul, panas, sumber air, sumber air panas
🎠	hiburan, karosel, komidi putar, kuda
🛝	bermain, hiburan, main, meluncur, perosotan, seluncuran, taman
🎡	hiburan, kincir, kincir ria, permainan, roda, taman
🎢	coaster, hiburan, permainan, roller, roller coaster, taman
💈	potong, rambut, salon, tanda salon, tiang
🎪	sirkus, tenda, tenda sirkus
🚂	kendaraan, kereta, kereta api, lokomotif, mesin, rel, uap
🚃	bus listrik, elektrik, gerbong, kendaraan, kereta, kereta api, listrik, mobil, rel, trem
🚄	cepat, kendaraan, kereta, kereta ekspres, rel, shinkansen
🚅	cepat, kendaraan, kereta, kereta ekspres peluru, peluru, rel, shinkansen
🚆	kendaraan, kereta, rel
🚇️	bepergian, kereta bawah tanah, metro, perjalanan
🚈	light, light rail, monorail, monorel, rail, tiba
🚉	kendaraan, kereta, rel, stasiun
🚊	kendaraan, kereta, listrik, trem
🚝	kendaraan, monorel
🚞	gunung, jalur kereta pegunungan, kendaraan, kereta, mobil, rel
🚋	gerbong trem, kendaraan, kereta, mobil, trem
🚌	bis, bus, kendaraan, sekolah
🚍️	bis, bus, bus datang, datang, mobil
🚎	bis, bis trolley, bus, bus listrik, kendaraan, listrik, trem
🚐	bis, bus, kendaraan, minibus, van
🚑️	ambulan, ambulans, darurat, kendaraan
🚒	api, mesin, mobil pemadam kebakaran, truk
🚓	kendaraan, mobil, mobil polisi, patroli, polisi
🚔️	datang, kendaraan, mobil, mobil polisi datang, polisi
🚕	berkendara, kendaraan, kuning, mengemudi, mobil, taksi
🚖	datang, kendaraan, mobil, taksi, taksi datang
🚗	berkendara, kendaraan, mengemudi, mobil
🚘️	datang, kendaraan, mobil, mobil datang
🚙	RV, kendaraan, kendaraan rekreasi, mobil, rekreasi
🛻	angkutan barang, bak terbuka, mobil, mobil bak, pick-up, pikap, transportasi, truk, truk pikap
🚚	kendaraan, pengiriman, truk, truk pengiriman
🚛	kendaraan, lori, lori gandeng, semi, truk
🚜	kendaraan, traktor
🏎️	balap, balapan, kendaraan, mobil, mobil balap
🏍️	balap, balapan, motor, sepeda motor
🛵	motor, motor skuter, sepeda motor, skuter
🦽	aksesibilitas, kursi roda manual
🦼	aksesibilitas, bermotor, kursi roda, kursi roda bermotor
🛺	bajaj, becak, bemo, tuk tuk
🚲️	bersepeda, kendaraan, sepeda
🛴	otoped, skuter
🛹	papan, papan luncur, roda, skateboard, skater, skating
🛼	olahraga, roda, roller skate, sepatu, sepatu luncur, sepatu roda
🚏	bus, halte, halte bus, perhentian
🛣️	jalan, jalan raya, jalan tol, jalanan, raya
🛤️	jalan, kereta, rel, rel kereta
🛢️	drum, drum minyak, minyak
⛽️	SPBU, bahan, bakar, bensin, pompa, pompa bahan bakar, stasiun
🛞	ban, belok, kendaraan, lingkaran, mobil, roda
🚨	berputar, darurat, kendaraan, lampu, lampu mobil polisi, mobil, polisi, sirine, suar
🚥	lalu, lampu, lampu lalu lintas horizontal, lintas, sinyal
🚦	lalu, lampu, lampu lalu lintas vertikal, lintas, perempatan, sinyal
🛑	berhenti, oktagon, rambu, rambu stop, segi delapan, stop, tanda
🚧	batasan, konstruksi, pembatas
⚓️	alat, jangkar, kapal
🛟	ban pelampung, berenang, keamanan, mengapung, pelampung, penyelamat, penyelamat hidup, penyelamatan
⛵️	kapal, kendaraan, laut, perahu, perahu layar, pesiar, resor
🛶	getek, kano, perahu, sampan
🚤	kapal, kapal cepat, kendaraan, perahu, perahu cepat
🛳️	kapal, kapal penumpang, penumpang
⛴️	feri, kapal, kapal feri, penumpang, perahu
🛥️	bermotor, kapal, kendaraan, perahu, perahu bermotor
🚢	kapal, kendaraan
✈️	kendaraan, pesawat
🛩️	kendaraan, pesawat, pesawat kecil
🛫	berangkat, check-in, kapal terbang, keberangkatan, pesawat, pesawat lepas landas
🛬	datang, kedatangan, kendaraan, mendarat, pesawat, pesawat mendarat
🪂	hang-glide, paralayar, parasail, parasut, terjun payung
💺	bangku, duduk, kursi, tempat duduk
🚁	helikopter, kendaraan
🚟	kendaraan, kereta suspensi, rel, suspensi
🚠	gondola, gunung, kabel, kendaraan, kereta gantung
🚡	gondola, jalur trem, kabel, kendaraan, trem, trem gantung
🛰️	antariksa, luar angkasa, satelit
🚀	angkasa, kendaraan, roket
🛸	UFO, alien, cawan, ekstra, piring, piring terbang, terbang, terestrial
🛎️	bel, bel meja, hotel, lonceng
🧳	bepergian, berkemas, jalan-jalan, koper, mengepak, roda, tas
⌛️	jam pasir, pasir, pewaktu, waktu
⏳️	jam, jam pasir yang bergerak, pasir, pewaktu, waktu
⌚️	arloji, jam, jam tangan, waktu
⏰️	alarm, jam, jam weker
⏱️	jam, stopwatch
⏲️	jam, penghitung waktu, pewaktu
🕰️	jam, jam perapian
🕛️	00, 12, 12.00, dua belas, jam, jam dua belas tepat, tepat
🕧	12, 12.30, 12:30, 30, dua belas, jam, jam dua belas tiga puluh, jam setengah satu, tiga puluh, waktu
🕐️	00, 1, 1.00, 1:00, jam, jam satu tepat, satu, tepat
🕜	1, 1.30, 1:30, 30, jam, jam setengah dua, satu, setengah dua, tiga puluh
🕑️	00, 2, 2.00, 2:00, dua, jam, jam dua tepat, tepat
🕝	2, 2.30, 30, dua, dua tiga puluh, jam, jam setengah tiga, setengah tiga, tiga puluh
🕒️	00, 3, 3.00, 3:00, jam, jam tiga tepat, tepat, tiga
🕞	3, 3.30, 30, 3:30, jam, jam setengah empat, jam tiga tiga puluh, tiga, tiga puluh, waktu
🕓️	00, 4, 4.00, 4:00, empat, jam, jam empat tepat, tepat, waktu
🕟	30, 4, 4.30, empat, empat tiga puluh, jam, jam setengah lima, setengah lima, tiga puluh
🕔️	00, 5, 5.00, 5:00, jam, jam lima tepat, lima, tepat, waktu
🕠	30, 5, 5.30, 5:30, jam, jam lima tiga puluh, jam setengah enam, lima, tiga puluh, waktu
🕕️	00, 6, 6.00, enam, jam, jam enam tepat, pukul enam, tepat
🕡	30, 6, 6.30, 6:30, enam, jam, jam enam tiga puluh, jam setengah tujuh, tiga puluh, waktu
🕖️	00, 7, 7.00, 7:00, jam, jam tujuh tepat, pukul tujuh, tepat, tujuh
🕢	30, 7, 7.30, 7:30, jam, jam setengah delapan, jam tujuh tiga puluh, tiga puluh, tujuh, waktu
🕗️	00, 8, 8.00, 8:00, delapan, jam, jam delapan tepat, tepat, waktu
🕣	30, 8, 8.30, delapan, delapan tiga puluh, jam, jam setengah sembilan, setengah sembilan, tiga puluh, waktu
🕘️	00, 9, 9.00, 9:00, jam, jam sembilan tepat, sembilan, tepat
🕤	30, 9, 9.30, 9:30, jam, jam sembilan tiga puluh, jam setengah sepuluh, sembilan, tiga puluh, waktu
🕙️	00, 10, 10.00, 10:00, jam, jam sepuluh tepat, sepuluh, tepat
🕥	10, 10.30, 30, jam, jam setengah sebelas, sepuluh, sepuluh tiga puluh, setengah sebelas, tiga puluh, waktu
🕚️	00, 11, 11.00, 11:00, jam, jam sebelas tepat, sebelas, tepat
🕦	11, 11.30, 11:30, 30, jam, jam sebelas tiga puluh, jam setengah dua belas, sebelas, sebelas tiga puluh, tiga puluh
🌑	angkasa, bulan, bulan baru, cuaca, gelap
🌒	angkasa, bulan, bulan sabit awal, cuaca, membesar, sabit
🌓	antariksa, bulan, bulan perbani awal, kuartal, luar angkasa, perbani, pertama
🌔	antariksa, awal, bulan, bulan cembung awal, cembung, luar angkasa, membesar
🌕️	angkasa, bulan, bulan purnama, cuaca, purnama
🌖	akhir, antariksa, bulan, bulan cembung akhir, cembung, luar angkasa, mengecil
🌗	angkasa, bulan, bulan perbani akhir, cuaca, seperempat
🌘	angkasa, bulan, bulan sabit akhir, cuaca, mengecil, sabit
🌙	angkasa, bulan, bulan sabit, cuaca, sabit
🌚	angkasa, bulan, cuaca, wajah, wajah bulan baru
🌛	antariksa, awal, bulan, kuartal, kuarter, luar angkasa, muka, perbani, wajah, wajah bulan perbani awal
🌜️	bulan, impian, kuartal, kuarter, mimpi, muka, terakhir, wajah, wajah bulan perbani akhir
🌡️	cuaca, termometer
☀️	angkasa, cerah, cuaca, matahari, sinar, terang
🌝	angkasa, bulan, cuaca, purnama, terang, wajah, wajah bulan purnama
🌞	angkasa, bersinar, cuaca, matahari, sinar, terang, wajah, wajah matahari
🪐	planet bercincin, saturnus
⭐️	astronomi, bintang, bintang medium putih, medium, putih
🌟	berkilau, bersinar, bintang, bintang bersinar, cemerlang, malam
🌠	angkasa, bintang, bintang jatuh, jatuh
🌌	antariksa, bima, bima sakti, luar angkasa, sakti
☁️	awan, cuaca
⛅️	awan, berawan, cuaca, matahari, matahari di balik awan, mendung
⛈️	awan, awan dengan petir dan hujan, cuaca, hujan, petir
🌤️	awan, cuaca, matahari, matahari di balik awan kecil
🌥️	awan, cuaca, matahari, matahari di balik awan besar
🌦️	awan, cuaca, hujan, matahari, matahari di balik awan hujan
🌧️	awan, awan hujan, cuaca, hujan
🌨️	awan, awan salju, cuaca, dingin, salju
🌩️	awan, awan petir, cuaca, kilat, petir
🌪️	angin, angin puyuh, awan, cuaca, pusaran, tornado
🌫️	awan, cuaca, kabut
🌬️	angin, awan, embusan, muka, tiupan, wajah, wajah tertiup angin
🌀	berputar-putar, cuaca, pusaran, pusing, topan
🌈	cuaca, hujan, pelangi
🌂	cuaca, hujan, pakaian, payung, payung tertutup
☂️	cuaca, hujan, pakaian, payung
☔️	cuaca, hujan, pakaian, payung, payung dengan tetesan hujan
⛱️	cuaca, hujan, matahari, payung, payung di tanah
⚡️	bahaya, kilat, listrik, petir, sambaran, tegangan, tegangan tinggi
❄️	cuaca, dingin, keping salju, salju, serpihan salju
☃️	boneka salju, boneka salju dengan hujan salju, dingin, manusia, salju
⛄️	boneka, boneka salju tanpa salju, cuaca, dingin, salju
☄️	antariksa, komet, luar angkasa, meteor
🔥	alat, api, bakar, kobaran, panas
💧	air, alam, cuaca, dingin, keringat, komik, tetesan, tetesan air
🌊	air, alam, berselancar, gelombang, laut, ombak, peselancar, samudra, selancar
🎃	dekorasi, halloween, horor, jack, jack-o-lantern, labu, lentera, perayaan
🎄	Natal, perayaan, pohon, pohon Natal
🎆	bum, hiburan, kembang api, meledak, perayaan
🎇	api, berkilau, kembang, kembang api batang, perayaan
🧨	api, bahan peledak, bunga api, dinamit, kembang api, ledakan, mercon, percikan, petasan, sinar
✨️	*, berkilau, bintang, kilauan, majik
🎈	balon, perayaan, ulang tahun
🎉	jreng, party popper, perayaan, pesta, popper, selamat, trompet, ulang tahun
🎊	bola, bola konfeti, confetti, perayaan, pesta, woohoo
🎋	Jepang, perayaan, pohon tanabata, pohon], spanduk, tanabata
🎍	bambu, dekorasi bambu, dekorasi pinus, jepang, perayaan, pinus, tanaman, tumbuhan
🎎	boneka, boneka Jepang, festival, jepang, perayaan
🎏	bendera ikan koi, koi, panji, perayaan
🎐	angin, gemerincing, lonceng, lonceng angin, perayaan
🎑	bulan, perayaan, perayaan bulan, upacara
🧧	amplop, amplop merah, angpau, baik, beruntung, hadiah, hóngbāo, keberuntungan, merah, uang
🎀	perayaan, pita
🎁	bungkusan, hadiah, kado, kotak, perayaan
🎗️	pengingat, perayaan, pita, pita pengingat
🎟️	karcis, masuk, tiket, tiket masuk
🎫	masuk, potongan tiket, tiket
🎖️	medali, medali militer, militer, penghargaan, perayaan
🏆️	hadiah, juara, kemenangan, menang, olahraga, pemenang, piala, trofi
🏅	emas, medali, medali olahraga, menang, olahraga, penghargaan
🥇	emas, juara, medali, medali emas, peringkat, pertama, posisi, satu
🥈	dua, juara, kedua, medali, medali perak, perak, peringkat, posisi
🥉	juara, ketiga, medali, medali perunggu, peringkat, perunggu, posisi, tiga
⚽️	bola, bola sepak, olahraga, sepak
⚾️	bisbol, bola, olahraga
🥎	bola, kasti, olahraga, sarung tangan, sofbol, softball
🏀	basket, bola, bola basket, keranjang, loncat, olahraga
🏐	bola, bola voli, game, voli
🏈	American football, american, bola, bowl, football, olahraga, super
🏉	bola, football, olahraga, rugbi, rugby, sepak bola rugbi
🎾	bola, game, olahraga, raket, tenis
🥏	cakram, disk, frisbee, lempar cakram, piringan, terbang
🎳	bola, bowling, game, olahraga, strike
🏏	bola, game, kriket, olahraga, pemukul, permainan
🏑	bola, game, hoki, hoki lapangan, lapangan, olahraga, permainan, stik
🏒	bola karet, es, game, hoki, hoki es, olahraga, permainan, stik
🥍	bola, gawang, gol, lacrosse, olahraga, tongkat
🏓	bet, bola, game, olahraga, pemukul, permainan, ping pong, tenis meja
🏸	bulu tangkis, game, kok, olahraga, raket
🥊	olahraga, sarung tangan, sarung tinju, tinju
🥋	bela diri, judo, karate, olahraga, seragam, seragam bela diri, seragam beladiri, silat, taekwondo
🥅	gawang, gol, jaring, olahraga
⛳️	bendera, bendera di lubang golf, golf, lubang, olahraga
⛸️	es, olahraga, seluncur, seluncur es
🎣	ikan, mancing, olahraga, tongkat, tongkat pancing
🤿	diving, kacamata, kacamata selam, menyelam, scuba, snorkeling
🎽	kaos, kaos lari, lari, selempang
🎿	olahraga, salju, ski
🛷	kereta luncur, meluncur, salju, toboggan
🥌	batu, batu curling, permainan
🎯	anak panah, dart, game, lempar, mata, olahraga, papan sasaran, permainan, sasaran, target
🪀	fluktuasi, mainan, naik-turun, yo-yo, yoyo
🪁	layang-layang, layangan, melayang, terbang
🔫	alat, pistol, pistol air, revolver, senjata
🎱	8, biliar, biliar 8 bola, bola, delapan, game
🔮	alat, bola, bola kristal, dongeng, fantasi, kristal, ramalan
🪄	penyihir, pesulap, sihir, sulap, tongkat ajaib, tongkat sihir
🎮️	game, hiburan, kontrol, pengontrol, permainan, video, video game
🕹️	game, joystick, tuas, video, videogame
🎰	game, judi, kasino, mesin slot, slot
🎲	dadu, game, hiburan, permainan
🧩	jigsaw, keping, keping puzzle, kepingan, petunjuk, puzzle, saling terkait
🧸	beruang, boneka, boneka beruang, empuk, mainan, teddy bear
🪅	Meksiko, festival, meriah, perayaan, perayaan 5 mei, permen, pesta, pinata, rayakan, ulang tahun
🪩	bola, bola disko, cermin, dansa, disko, glitter, kerlip, pesta
🪆	babushka, bersarang, boneka, boneka bersarang, boneka kayu, boneka matryoshka, rusia
♠️	kartu, permainan, sekop, waru
♥️	hati, kartu, perasaan, permainan
♦️	kartu, merah, permainan, wajik
♣️	kartu, keriting, klub, permainan
♟️	anak buah, catur, pion, pion catur
🃏	joker, kartu, permainan
🀄️	game, mahyong, merah, naga merah mahyong, permainan
🎴	bunga, game, jepang, kartu, kartu bunga, permainan
🎭️	seni, seni drama, tampil, teater, topeng
🖼️	bingkai, bingkai bergambar, gambar, lukisan, museum, seni
🎨	lukisan, museum, palet, palet pelukis, seni
🧵	benang, gulungan, jahit, jarum, kelos, menjahit, tali
🪡	benang, jahit, jahitan, jarum, jarum jahit, lancip, menjahit, penjahit, runcing, sulaman, tajam
🧶	benang, bola, crochet, gulungan benang, menyulam, merajut, rajut, sulam
🪢	belitan, buhul, ikatan, kusut, puntiran, simpul, tali, tambang
