‾	üst çizgi
🎛️	düğme, kontrol, kontrol düğmeleri, müzik
🎤	Karaoke, eğlence, mikrofon, müzik, şarkı, şarkıcı
🎧️	eğlence, kulaklık, müzik
📻️	radyo, video
🎷	alet, müzik, müzik aleti, saksafon
🪗	akordeon, akordiyon, armonika, enstrüman, eşya, körük, müzik, müzik aleti, tuş, çalmak
🎸	alet, elektrik gitar, gitar, müzik, müzik aleti
🎹	alet, klavye, müzik, müzik aleti, müzik klavyesi, piyano
🎺	alet, müzik, müzik aleti, trompet
🎻	alet, keman, müzik, müzik aleti
🪕	banjo, müzik, yaylı
🥁	bateri, davul, müzik, ramazan davulu, tokmak
🪘	conga, davul, davul çalmak, enstrüman, eşya, müzik aleti, perküsyon, ritim, ritm, tempo, tumba, uzun davul, vurmak, vuruş
🪇	alet, dans, enstrüman, marakas, müzik, müzik aleti, nesne, parti, perküsyon, sallama, sallamalı, vurmalı, çaça, çıngırak
🪈	ahşap üflemeli, bando, blokflüt, boru, enstrüman, fife, fifre, flüt, kaval, müzik, nefesli, orkestra, recorder, üflemeli
🪉	arp, aşk, enstrüman, eros, müzik, orkestra
📱	cep telefonu, iPhone, mobil telefon, telefon
📲	cep telefonu, mobil telefon, ok işaretli cep telefonu, telefon, çağrı yapmak
☎️	kırmızı telefon, telefon
📞	ahize, alıcı, telefon
📟️	iletişim, çağrı cihazı
📠	faks makinesi, iletişim
🔋	pil
🪫	az şarj, batarya, düşük enerji, düşük pil, elektronik, güçsüz, nesne, pil, şarj
🔌	elektrik, elektrik fişi
💻️	bilgisayar, dizüstü bilgisayar, kişisel
🖥️	bilgisayar, masaüstü, masaüstü bilgisayar
🖨️	bilgisayar, yazıcı
⌨️	bilgisayar, klavye
🖱️	bilgisayar, bilgisayar faresi, düğme, fare
🖲️	bilgisayar, iz topu
💽	bilgisayar, disk, mini disk
💾	disket, floppy
💿️	CD, DVD, disk, optik disk
📀	CD, blu-ray, disk, dvd, müzik
🧮	abaküs, hesap, hesaplama, renkli abaküs, çocuk
🎥	eğlence, film, film kamerası, sinema
🎞️	film, film kareleri, film karesi, sinema
📽️	film, film projektörü, projektör, sinema, video
🎬️	eğlence, film, film tahtası, tahta
📺️	televizyon, tv, video
📷️	fotoğraf makinesi, video
📸	flaş, flaşlı fotoğraf makinesi, kamera, video
📹️	kamera, video, video kamera
📼	teyp, video, video kaseti, videokaset
🔍	arama, büyüteç, cam, sola dönük büyüteç, solu gösteren, solu gösteren büyüteç
🔎	arama, büyüteç, cam, sağa dönük büyüteç, sağı gösteren, sağı gösteren büyüteç
🕯️	mum, ışık
💡	ampul, bir fikrim var, elektrik, çizgi roman, ışık
🔦	el feneri, elektrik, ışık
🏮	bar, fener, izakaya, kırmızı, kırmızı kağıt fener, restoran
🪔	diya, diya lamba, lamba, yağ
📔	dekorasyonlu not defteri, kapak, not defteri, süslü not defteri
📕	kapalı kitap, kitap, kırmızı kitap
📖	açık defter, açık kitap, defter, kitap, okul
📗	eğitim, kitap, kütüphane, okul, yeşil kitap
📘	kitap, mavi kitap
📙	kitap, turuncu kitap
📚️	kitap, kitaplar
📓	defter, not defteri
📒	not defteri, resmi defter
📃	kenarı kıvrılmış sayfa, kıvrık sayfa, sayfa
📜	bildiri, kağıt, parşömen
📄	doküman, sayfa, yüzü yukarıda sayfa, ön yüz, ön yüzü görünen sayfa
📰	gazete, haber, kağıt, kâğıt
🗞	gazete, haber, kağıt, rulo, rulo gazete
📑	ayraçlar, işaretçi, sayfa ayraçları, sayfa işareti
🔖	defter, işaret, kitap, not, yer işareti
🏷️	etiket
💰️	dolar çantası, para, para torbası, para çuvalı, zengin, çanta
🪙	altın, avro, bozuk para, dolar, euro, eşya, gümüş, hazine, jeton, madeni para, metal, para, sikke, zengin
💴	banknot, döviz, para, yen, yen banknot
💵	banknot, dolar, dolar banknot, döviz, fatura, para
💶	avro, banknot, döviz, euro, euro banknot, fatura, para
💷	banknot, döviz, para, sterlin, sterlin banknot
💸	banka, banknot, kanatlı para, para, uçan banknot
💳️	kart, kredi, kredi kartı
🧾	bakiye, belge, defter tutma, dekont, ekstre, evrak, fatura, finans, fiş, hesap, irsaliye, kanıt, kayıt, kağıt, makbuz, maliye, maliyet, muhasebe, senet
💹	banka, grafik, para, piyasa, yen, yen simgeli artış grafiği, yukarı giden grafik, yukarı yönlü
✉️	e-mail, e-posta, mektup, zarf
📧	e-posta, ileti, iletişim, mektup, posta
📨	alınan posta, e-posta, gelen, gelen zarf, iletişim, mektup, posta, zarf
📩	e-posta, giden, gönderilen posta, iletişim, mektup, oklu zarf, posta, zarf
📤️	giden, giden kutusu, iletişim, kutu, posta, tepsi
📥️	gelen, gelen kutusu, iletişim, kutu, posta, tepsi
📦️	kutu, paket, posta
📫️	işaret, işareti kaldırılmış posta kutusu, işareti yukarıda kapalı posta kutusu, kapalı, posta
📪️	işaret, işareti aşağıda kapalı posta kutusu, işareti indirilmiş posta kutusu, kapalı, posta
📬️	açık, işaret, işareti kaldırılmış açık posta kutusu, işareti yukarıda açık posta kutusu, posta
📭️	açık, işaret, işareti aşağıda açık posta kutusu, işareti indirilmiş açık posta kutusu, posta
📮	posta, posta kutusu
🗳️	kutu, oy sandığı, sandık, seçim
✏️	kurşun kalem
✒️	dolma kalem, kalem, siyah uç
🖋️	dolma kalem, kalem, mürekkepli kalem
🖊️	kalem, tükenmez kalem
🖌️	boya fırçası, boyama, fırça
🖍️	boya, mum, pastel, pastel boya
📝	ders, iletişim, kalem, kalem kağıt, not, not defteri
💼	evrak çantası, müfettiş, ofis
📁	dosya, dosya klasörü, klasör
📂	açık, açık dosya klasörü, dosya, klasör
🗂️	ayırıcı, dizin, dosya, dosya ayırıcı, kart
📅	takvim, tarih
📆	koparmalı takvim, takvim, takvim sayfası, tarih
🗒️	defter, not, spiral, spiral not defteri
🗓️	defter, spiral, spiral takvim, takvim
📇	dizin, kart dizini, rolodeks
📈	artış grafiği, grafik, yukarı yönlü, yükselen grafik
📉	alçalan grafik, aşağı yönlü, grafik, iniş grafiği
📊	grafik, çubuk grafiği
📋️	duyuru, pano
📌	iğne, raptiye
📍	iğne, raptiye, yuvarlak raptiye
📎	ataş, klips
🖇️	ataş, bağlantı, iç içe geçmiş ataşlar
📏	cetvel, düz cetvel
📐	cetvel, gönye, üçgen
✂️	alet, makas
🗃️	dosya, dosya kutusu, kart, kart kutusu, kutu
🗄️	dolap, dosya, dosya dolabı
🗑️	çöp sepeti
🔒️	kapalı kilit, kilit
🔓️	açık, açık kilit, kilidini açma, kilit
🔏	gizlilik, kilit ve kalem, mürekkepli kalem, mürekkepli kalemli kilit
🔐	anahtarlı kapalı kilit, anahtarlı kilit, güvenli
🔑	anahtar, kilit, parola, şifre
🗝️	anahtar, eski, eski anahtar, ipucu, kilit
🔨	araç, çekiç
🪓	ağaç, balta, kesme, kısa balta, odun, yarma
⛏️	alet, kazma, maden
⚒️	alet, inşaat, kazma, çekiç, çekiç ve kazma
🛠️	alet, ingiliz anahtarı, çekiç, çekiç ve ingiliz anahtarı, çekiç ve somun anahtarı
🗡️	bıçak, hançer, silah
⚔️	kılıç, silah, çapraz, çapraz kılıçlar, çarpı, çatma
💣️	bomba, duygu, çizgi roman
🪃	aborjin, atmak, avustralya, boomerang, bumerang, eşya, fırlatmak, geri gelmek, geri tepme, oyun, sekme, silah, tepki
🏹	araç, burç, ok, ok ve yay, okçu, silah, yay
🛡️	kalkan, silah
🪚	alet, eşya, kereste, kesmek, marangoz, odun, testere
🔧	araç, ingiliz anahtarı, somun anahtarı
🪛	alet, düz uçlu, eşya, montaj, sıkma, sıkıştırmak, tamir, tamirci, tornavida, usta, vida
🔩	araç, somun, somun ve vida, vida
⚙️	alet, dişli
🗜️	alet, mengene, sıkıştırma
⚖️	adalet, alet, ağırlık, burç, denge, terazi, ölçek
🦯	erişilebilirlik, görme engelli, görme engelli bastonu
🔗	bağlantı işareti, bağlantılar, iki halka
⛓‍💥	kelepçe, kırmak, kırık zincir, patlama, zincir, zincirler, zincirleri kırmak, özgürlük
⛓️	zincir
🪝	askı, asmak, eğri, eşya, kanca, çengel, çengellemek
🧰	alet, alet kutusu, alet çantası, ingiliz anahtarı, kutu, kırmızı, onarmak, sandık, tamir, tamirat, tamirci, çanta
🧲	at nalı, elektrik yükü, eş kutuplar, manyetik, mıknatıs, pozitif negatif, zıt kutuplar, çekim, çekmek
🪜	adım, ayaklı merdiven, aşağı, basamak, eşya, merdiven, tırmanmak, tırmanış, yukarı, çıkmak
🪏	kazmak, kazı, kürek, çukur
⚗️	alet, damıtıcı, imbik, kimya
🧪	beher, bilim, bilim adamı, bilim insanı, bilim kadını, biyoloji, deney, deney tüpü, deney yapmak, doktor, fizik, genetik, kimya, kimyacı, kimyager, laboratuvar, test, tüp, yeşil, yeşil sıvı
🧫	bakteri, bilim, biyolog, biyoloji, damla, damlatmak, deney, deney tüpü, kimya, kültür, laboratuvar, mikrop, petri kabı, tıp, virüs
🧬	biyolog, biyoloji, dna, evrim, gen, genetik, sarmal, yaşam
🔬	alet, bilim, labrotuar, mikroskop, test
🔭	alet, teleskop, uzay, uzay gözlemleme
📡	anten, iletişim, uydu, uydu anteni, çanak
💉	doktor, ilaç, iğne, şırınga
🩸	aybaşı, ilaç, kan bağışı, kan damlası, mens, menstrüasyon, regl, tıp, yaralanma, âdet
💊	doktor, hap, ilaç
🩹	bandaj, bant, yapışkanlı bandaj, yara bandı
🩼	araç, baston, değnek, engelli, engellilik, koltuk değneği, kırık, nesne, sakatlanmak, yaralı, yürüme engelli, yürüme yardımı
🩺	doktor, kalp, stetoskop, tıp
🩻	doktor, film, iskelet, kaburga, kemik, medikal, muayene, nesne, röntgen, tıbbi, x ışını
🚪	kapı
🛗	alt kat, asansör, aşağı, erişilebilirlik, eşya, inmek, lift, yukarı, çağırmak, çıkmak, üst kat
🪞	ayna, eşya, görüntü, makyaj, reflektör, spekulum, yansıma, yansıtıcı
🪟	cam, dışarı bakmak, eşya, izlemek, manzara, pencere, saydam, temiz hava, çerçeve, şeffaf
🛏️	otel, uyku, uyuma, yatak
🛋️	kanepe, kanepe ve lamba, koltuk, lamba, otel
🪑	iskemle, oturma, sandalye
🚽	WC, alafranga tuvalet, klozet, tuvalet, wc
🪠	açıcı, eşya, lavabo açıcı, lavabo pompası, pompa, tuvalet, vakum, çekme
🚿	duş, su
🛁	banyo, banyo küveti, köpük, köpüklü banyo
🪤	eşya, fare, fare kapanı, kapan, kıskaç, kıstırmak, peynir, tuzak, yem
🪒	jilet, keskin, tıraş, ustura
🧴	güneş koruyucu, güneş kremi, krem, losyon, losyon şişesi, nemlendirici, saç kremi, şampuan, şampuan şişesi, şişe
🧷	bebek bezi, dikiş, iğne, iğne kancası, iğnelemek, kanca, punk rock, tutturmak, çengel, çengelli, çengelli iğne
🧹	büyücü, cadı, ev işi, harry potter, süpürge, süpürme, süpürmek, temizlik, uçmak
🧺	hasır, piknik, piknik sepeti, sepet, çamaşır, çamaşır sepeti, çiftçilik
🧻	banyo, emici, havlu, kağıt, kağıt rulosu, rulo, silmek, temizlik, tuvalet, tuvalet kağıdı
🪣	bakraç, eşya, fıçı, gerdel, kap, kepçe, kova, sap, silmek, temizlik
🧼	banyo, banyo yapmak, el sabunu, el yıkamak, kalıp, katı sabun, köpük, köpürmek, köpürtmek, sabun, sabun köpüğü, sabunlamak, sabunluk, temiz, temizlik, yıkamak, yıkanmak
🫧	baloncuk, hava kabarcığı, kabarcık, köpük, nesne, sabun, su, su altı, temiz
🪥	ağız, banyo, dental, diş, diş fırçası, eşya, fırça, hijyen, lavabo, oral hijyen, temizlik
🧽	banyo, banyo yapmak, bulaşık, emici, emmek, ev işi, gözenek, gözenekli, keselemek, köpürmek, köpürtmek, silmek, sünger, temizlik, yıkamak, yıkanmak
🧯	ateş, söndürme, söndürmek, yangın, yangın söndürücü, yangın tüpü
🛒	alışveriş, alışveriş arabası, araba, pazar arabası
🚬	duman, işaret, sigara, sigara içilebilir, sigara içme, sigara içme işareti
⚰️	cenaze, tabut, ölüm
🪦	cenaze, defin, defnetmek, eşya, huzur içinde uyu, huzur içinde yat, mezar, mezar taşı, mezarlık, nur içinde yat, ölüm
⚱️	cenaze, kül, kül kavanozu, vazo, ölüm
🧿	boncuk, göz, iyi şans, kem göz, kötü şans, mavi boncuk, maşallah, muska, nazar, nazar boncuğu, nazar değmesin, nazarlık, tılsım
🪬	Fatma, Fatma Ana’nın Eli, Fatma’nın Eli, Fatma’nın eli, Fatıma, Fatıma’nın Eli, Fatıma’nın eli, Hamsa, Meryem, koruyucu, muska, nazarlık, sembol, şans
🗿	Moyai, heykel, moyai heykeli, taştan surat
🪧	bildiri, döviz, eşya, gösteri, işaret, levha, pankart, plaka, protesto, tabela
🪪	belge, ehliyet, güvenlik, kart, kimlik, kimlik bilgisi, kimlik kartı, lisans, nesne, nüfus cüzdanı
🏧	ATM işareti, otomatik, vezne
🚮	işaret, çöp kutusu, çöp kutusu işareti, çöpü yerine atın
🚰	içilebilir su, içme suyu, işaret, musluk, musluk ve bardak, su
♿️	erişim, işaret, tekerlekli sandalye, tekerlekli sandalye erişimi, tekerlekli sandalye sembolü, tekerlekli sandalye simgesi
🚹️	Erkekler tuvaleti, erkekler tuvaleti, işaret, tuvalet
🚺️	Kadınlar tuvaleti, bayanlar tuvaleti, işaret, kadınlar tuvaleti, tuvalet
🚻	lavabo, tuvalet, wc
🚼️	bebek, bebek alt değiştirme yeri, bebek işareti, bebek teknede
🚾	WC, lavabo, tuvalet, wc
🛂	kontrol, pasaport, pasaport kontrolü
🛃	gümrük
🛄	bagaj, bagaj alma yeri, bagaj teslim, bavul, seyahat, çanta
🛅	bagaj, bagaj hizmeti, eşya emanet, kasa, kayıp bagaj
⚠️	dikkat, işaret, uyarı, uyarı işareti
🚸	işaret, karşıya geçen çocuklar, karşıya geçiş, çocuklar
⛔️	Girilmez, girilmez, girilmez işareti, hayır, işaret, yasak
🚫	Girilmez, girmek yasak, işaret
🚳	bisiklet, bisiklet giremez, bisiklet yasak, taşıt
🚭️	duman, sigara içilmez, sigara içilmez işareti, tütün, yasak
🚯	işaret, çöp atmayın, çöp atmayın işareti, çöp atılmaz
🚱	içilmeyen, içilmeyen su, içilmez, su
🚷	işaret, yaya, yayalar giremez, yayalara yasak, yürüyen
📵	cep telefonu yasak, mobil, telefon, çağrı yapılmaz
🔞	18, 18 yaş altı, 18 yaş altı yasak, 18 yaş altı yasaktır, 18‘den küçükler giremez
☢️	nükleer, radyoaktif
☣️	biyolojik tehlike, sembol
⬆️	ana yön, kuzey, ok, yukarı ok, yukarı yönlü ok, yön
↗️	ara yön, kuzey doğu, ok, sağ yukarı ok, yön
➡️	ana yön, doğu, ok, sağ ok, yön
↘️	ara yön, güney doğu, ok, sağ aşağı ok, yön
⬇️	ana yön, aşağı, aşağı ok, aşağı yönlü ok, güney, ok, yön
↙️	ara yön, güney batı, ok, sol aşağı ok, yön
⬅️	ana yön, batı, ok, sol ok, yön
↖️	ara yön, kuzey batı, ok, sol yukarı ok, yön
↕️	ok, yukarı ve aşağı ok
↔️	ok, sol ve sağ ok
↮	sol sağ çizgili ok
↩️	ok, sola kıvrımlı sağ ok
↪️	ok, sağa kıvrımlı sol ok
⤴️	ok, yukarı kıvrımlı sağ ok
⤵️	aşağı, aşağı kıvrımlı sağ ok, ok
🔃	oklar, saat yönünde dikey oklar, saat yönünde dönen oklar, saat yönüne dönen oklar, yeniden yükle işareti
🔄	oklar, saat yönünün tersinde dönen oklar, saat yönünün tersine, saat yönünün tersine dönen oklar
🔙	geri ok, geri oku, ok, sol geri ok, sol ok
🔚	bitiş oku, ok, sol bitiş oku, sol ok
🔛	açık oku, ok, ünlem, ünlem işareti, ünlem işareti ve okla AÇIK
🔜	Yakında, ok, sağ okla Yakında, yakında işareti
🔝	Yukarı, yukarı, yukarı işareti, yukarı ok, yukarı okla Yukarı, yukarı oku
🛐	din, ibadethane, tapınma
⚛️	ateist, atom, atom sembolü
🕉️	Hinduizm, din, hinduizm, om
✡️	Davut, Davut yıldızı, Yahudi, davut, davut yıldızı, din, yahudi, yıldız
☸️	Budist, budist, darma, darma çemberi, dharma, dharma tekeri, din, çember
☯️	din, tao, taocu, yang, yin, yin yang
✝️	Hristiyan, Latin haçı, din, haç, isa, latin haçı, İsa
☦️	Hristiyan, Ortodoks haçı, din, haç, isa, ortodoks haçı, İsa
☪️	Müslüman, ay yıldız, din, islam, müslüman, İslam
☮️	barış, barış sembolü
🕎	Yahudi şamdanı, din, menora, mum, mumluk, yahudi şamdanı, şamdan
🔯	altı köşeli, altı köşeli yıldız, fal, fal bakma, yıldız
🪯	Sih, deg tegh fateh, din, inanç, khalsa, khanda, sih, sihizm
♈️	burçlar, koç burcu
♉️	boğa burcu, burçlar
♊️	burçlar, ikizler burcu
♋️	burçlar, yengeç burcu
♌️	aslan burcu, burçlar
♍️	başak burcu, burçlar
♎️	burçlar, terazi burcu
♏️	akrep burcu, burçlar
♐️	burçlar, yay burcu
♑️	burçlar, oğlak burcu
♒️	burçlar, kova burcu
♓️	balık burcu, burçlar
⛎️	Yılancı, burçlar, hain, iblis, yılan, zodyak
🔀	oklar, parça karıştırma düğmesi, çapraz sağ oklar
🔁	oklar, saat yönünde, tekrarlama düğmesi
🔂	1 sayısı, 1 sayısı olan saat yönünde oklar, oklar, saat yönünde, tek parça tekrarlama düğmesi
▶	ok, oynatma, oynatma düğmesi, sağ, üçgen
⏩	ileri sarma düğmesi, ok, sağ, sağa çift ok
⏭	ok, sonraki parça, sonraki parça düğmesi, sonraki sahne, üçgen
⏯	duraklatma, ok, oynatma, oynatma veya duraklatma düğmesi, sağ, üçgen
◀	geri düğmesi, ok, sol, ters, üçgen
⏪	geri sarma düğmesi, hızlı geri düğmesi, ok, sol, sola çift ok
⏮	ok, parça atlama düğmesi, son parça düğmesi, önceki parça, önceki sahne, üçgen
🔼	düğme, yukarı düğmesi, yukarı üçgen düğmesi, üçgen
⏫	hızlı yukarı düğmesi, ok, yukarı, yukarı çift ok
🔽	aşağı düğmesi, aşağı üçgen düğmesi, düğme, üçgen
⏬	aşağı, aşağı çift ok, hızlı aşağı düğmesi, ok
⏸️	dikey, duraklatma, duraklatma düğmesi, çift çizgi, çubuk
⏹️	durdur, durdurma düğmesi, kare
⏺️	daire, kayıt, kayıt düğmesi
⏏️	çıkar, çıkarma düğmesi
🎦	eğlence, film işareti, sinema
🔅	düşük, düşük parlaklık, düşük parlaklık işareti, karanlık, parlaklık
🔆	parlak, parlaklık, yüksek parlaklık, yüksek parlaklık işareti
📶	anten, mobil, sinyal, sinyal gücü, telefon, çubuk işaretli anten
🛜	akıllı telefon, ağ, bağlantı, bilgisayar, geniş bant, internet, kablosuz, modem, wifi, wlan
📳	cep telefonu, mobil, mod, telefon, titreşim modu
📴	cep telefonu, cep telefonu kapalı, kapalı, mobil, telefon
♀️	bayan, kadın, kadın sembolü
♂️	adam, erkek, erkek sembolü
⚧️	transgender, transgender sembolü, transseksüel
✖️	iptal, işaret, kalın çarpı işareti, x, ×, çarpma, çarpı, çarpım, çarpım işareti
➕️	+, artı, artı işareti, işaret, koyu renk artı işareti, matematik
➖️	-, eksi, eksi işareti, işaret, koyu renk eksi işareti, matematik, −
➗️	bölü, bölü işareti, işaret, koyu renk bölü işareti, matematik, ÷
🟰	eşit, eşitlik, eşittir, eşittir işareti, işaret, kalın eşittir işareti, matematik, sembol
♾️	evrensel, sonsuz, sonsuzluk, sınırsız
‼️	!, !!, işaret, noktalama, çift ünlem, ünlem
⁉️	!, !?, ?, işaret, noktalama, soru, ünlem, ünlemli soru işareti
❓️	?, işaret, kırmızı soru işareti, noktalama, soru, soru işareti
❔️	?, beyaz soru işareti, işaret, noktalama, soru
❕️	!, beyaz ünlem işareti, işaret, noktalama, ünlem
❗️	!, işaret, kırmızı ünlem işareti, noktalama, ünlem, ünlem işareti
〰️	dalgalı, dalgalı çizgi, uzun ses işareti, çizgi
💱	bozdurma, döviz, kambiyo, para
💲	dolar, dolar işareti, koyu renk dolar işareti, para
⚕️	Asklepios, medikal sembol, medikal sembolü, personel, tıbbi sembol, tıp, tıp sembolü, tıp çalışanı
♻️	evrensel, geri dönüşüm, geri dönüşüm simgesi, işaret, koyu renk evrensel geri dönüşüm simgesi
⚜	fleur-de-lis, zambak
🔱	amblem, çıpa, üçlü çatal, üçlü çatal işareti
📛	ad, ad rozeti, rozet
