‾	bovenlijn
🍠	aardappel, eten, gepoft, gepofte zoete aardappel, zoet
🍢	eten, kebab, oden, restaurant, spies, stokje, zeevruchten
🍣	eten, sushi
🍤	garnaal, garnalen, gefrituurd, gefrituurde garnaal, tempura
🍥	koekje, krul, vis, viskoekje, viskoekje met krul
🥮	cake, festival, herfst, maan, maancake, yuèbǐng
🍡	Japans, dango, dessert, spies, stokje, zoet
🥟	dumpling, empanada, gyōza, jiaozi, knoedel, pierogi, potsticker
🥠	geluk, gelukskoekje, koekje, profetie
🥡	afhaalmaaltijd, bezorgen, doggybag, eten, oesteremmer, stokjes, voedsel
🦀	dierenriem, krab, kreeft
🦞	bisque, dier, kreeft, scharen, zeevruchten
🦐	garnaal, klein, schaaldier, voedsel
🦑	dier, inktvis, voedsel, weekdier
🦪	duiken, oester, parel
🍦	dessert, eten, ijs, restaurant, room, softijs, zoet
🍧	dessert, geschaafd, geschaafd ijs, ijs, restaurant, zoet
🍨	dessert, eten, ijs, restaurant, room, zoet
🍩	dessert, donut, eten, voedsel, zoet
🍪	chip, chocolade, dessert, koekje, zoet
🎂	dessert, gebak, gelukkig, taart, verjaardag, verjaardagstaart, viering, zoet
🍰	cake, dessert, gebak, plak, zandgebak, zoet
🧁	bakkerij, cupcake, dessert, hagelslag, suiker, traktatie, zoet
🥧	fruit, gebak, gebakje, hartige taart, pastei, taart, vlees, vulling
🍫	chocolade, chocoladereep, dessert, halloween, reep, snoep, zoetekauw
🍬	dessert, eten, gaatjes, snoep, voedsel, wikkel, zoet
🍭	dessert, eten, lolly, snoep, voedsel, zoet
🍮	dessert, pudding, vla, zoet
🍯	beer, eten, honing, honingpot, pot, vat, zoet
🍼	baby, babyfles, babyflesje, drinken, fles, flesje, flesvoeding, geboorte, melk
🥛	drinken, glas, glas melk, melk
☕️	cafeïne, café, chai, drank, drinken, koffie, ochtend, stomen, thee, warm, warme drank
🫖	drinken, eten, pot, thee, theepot, zettten
🍵	drankje, drinken, kop, thee, theekopje, theekopje zonder oor
🍶	bar, café, drankje, drinken, fles, kopje, sake
🍾	bar, drinken, fles, fles met knallende kurk, knallen, kurk
🍷	alcohol, bar, café, drankje, drinken, glas, restaurant, wijn, wijnglas
🍸️	alcohol, bar, café, cocktail, cocktailglas, drinken, glas, mad men, martini
🍹	alcohol, bar, club, drankjes, drinken, dronken, mai tai, mix, tropisch, tropisch drankje
🍺	alcohol, bar, bier, bierglas, café, drinken, duitsland, glas, oktoberfest, pils, pint
🍻	alcohol, bar, bier, café, drinken, glas, klinkende bierglazen, proosten, proostende bierglazen
🥂	drinken, glas, glazen, klinken, klinkende glazen, toosten, vieren
🥃	glas, likeur, shot, tumbler, tumblerglas, whiskey, whisky
🫗	drinken, gieten, glas, leeg, morsen, oeps, ongelukje, vloeistof uitgieten
🥤	beker met rietje, drinken, frisdrank, sap, water
🧋	boba, bubbel, bubbelthee, melk, parel, thee, voedsel
🧃	drankje, pakje, pakje drinken, rietje, sap, zoet
🧉	drank, maté
🧊	ijs, ijsberg, ijsklontje, klontje, koud
🥢	chopsticks, eetstokjes, eten, stokjes
🍽️	bord, diner, eten, koken, mes, mes en vork met bord, vork
🍴	bestek, eten, honger, koken, lekker, lunch, mes, mes en vork, ontbijt, restaurant, uit eten, vork, vork en mes
🥄	bestek, lepel, tafelgerei
🔪	keukenmes, koken, koksmes, mes, wapen
🫙	container, leeg, niets, pot, saus, specerij, winkel
🏺	amfoor, amfora, drinken, horoscoop, koken, kruik, sterrenbeeld, waterman
🌍	Afrika, Europa, aarde, afrika, europa, wereld, wereldbol, wereldbol met Europa-Afrika
🌎️	Noord- en Zuid-Amerika, aarde, amerika, wereld, wereldbol, wereldbol met Noord- en Zuid-Amerika
🌏	Australië, Azië, aarde, australië, azië, wereld, wereldbol, wereldbol met Azië-Australië
🌐	aarde, internet, meridianen, wereld, wereldbol, wereldbol met meridianen, www
🗺️	kaart, wereld, wereldkaart
🗾	Japan, japan, kaart, kaart van Japan, kaart van japan
🧭	kompas, magnetisch, navigatie, oriëntatielopen, oriënteringslopen, richting
🏔️	berg, berg met besneeuwde toppen, koud, sneeuw
⛰️	berg
🌋	berg, lava, magma, natuur, vulkaan, vulkaanuitbarsting
🗻	Fuji, berg, berg Fuji, fuji, natuur, vulkaan
🏕️	camping, kamperen, tent
🏖️	parasol, strand, strand met parasol
🏜️	woestijn
🏝️	eiland, onbewoond, onbewoond eiland
🏞️	nationaal park, natuurgebied, park
🏟️	amfitheater, stadion
🏛️	gebouw, historisch gebouw, klassiek, klassiek gebouw, klassieke oudheid, renaissance, rome, zuilen
🏗️	bouw, bouwen, haven, hijskraan, woningbouw
🧱	baksteen, bakstenen, cement, gemetseld, klei, metselen, mortel, muur, steen
🪨	betrouwbaar, graniet, rots, rotsblok, steen, sterk, zwaar
🪵	balk, bijl, boomstam, hakken, hout, open haard, stam, timmerhout, vuur, zagen
🛖	huis, hut, joert, onderdak, ronde hut, strand, woning
🏘️	buurt, huis, huizen
🏚️	bouwval, gebouw, huis, vervallen, vervallen huis
🏠️	gebouw, huis, settelen, thuis, villa, voorstad, vrijstaande woning
🏡	gebouw, huis, huis met tuin, huisje boompje beestje, settelen, thuis, tuin, voorstad, vrijstaande woning
🏢	gebouw, kantoorbaan, kantoorgebouw, werk
🏣	Japans, Japans postkantoor, gebouw, japans, japans postkantoor, post
🏤	Europees, europees, gebouw, post, postkantoor
🏥	dokter, gebouw, medicijnen, ziekenhuis
🏦	bank, gebouw
🏨	gebouw, hotel
🏩	gebouw, hotel, liefde, liefdeshotel, love-hotel, lovehotel
🏪	boodschappen, gebouw, supermarkt, winkel
🏫	gebouw, school
🏬	gebouw, warenhuis, winkel, winkelen
🏭️	fabriek, gebouw
🏯	Japans, Japans kasteel, gebouw, kasteel
🏰	europees, gebouw, kasteel, middeleeuwen
💒	bruiloft, huwelijk, kapel, romantiek, trouwkapel
🗼	Tokio, Tokio-toren, tokio, tokiotoren, toren
🗽	beeld, new york, nyc, vrijheid, vrijheidsbeeld
⛪️	christelijk, geloof, kapel, kerk, kruis, religie
🕌	geloof, islam, moskee, moslim, religie
🛕	India, gebouw, geloof, goden, hindoe, hindoetempel, religie, tempel
🕍	geloof, jodendom, jood, joods, religie, synagoge, tempel
⛩️	geloof, japans, poort, religie, shinto, shinto-tempel, tempel, torii
🕋	bedevaart, geloof, islam, kaäba, mekka, moslim, religie
⛲️	fontein
⛺️	kamperen, tent
🌁	mist, mistig
🌃	metropool, miljoenenstad, nacht, stad bij nacht, sterren, sterrenhemel
🏙️	flatgebouwen, gebouw, metropool, miljoenenstad, stad, stadsgezicht
🌄	berg, bergen, ochtend, zon, zonsopgang, zonsopgang in de bergen
🌅	ochtend, zon, zonsopgang
🌆	avond, gebouw, landschap, metropool, miljoenenstad, schemer, stad, stad bij schemering, zonsondergang
🌇	flatgebouwen, gebouw, metropool, miljoenenstad, schemer, zon, zonsondergang
🌉	avond, brug, brug bij nacht, nacht, nachtelijke brug
♨️	bronnen, stomend, warm, warmwaterbronnen
🎠	carrousel, draaimolen, draaimolenpaard, kermis, paard, pretpark
🛝	glijbaan, glijden, kind, kinderen, speeltuin, spelen
🎡	kermis, pretpark, rad, reuzenrad
🎢	achtbaan, baan, pretpark
💈	kapper, kapperspaal, kapsel, paal
🎪	circus, circustent, tent
🚂	locomotief, reizen, spoor, spoorweg, stoom, stoomtrein, trein, vervoermiddel, voertuig
🚃	elektrisch, spoor, tram, trein, treinwagon, trolleybus, vervoermiddel, voertuig, wagon
🚄	hogesnelheidstrein, hsl, shinkansen, snelheid, spoor, trein, ultrasnel, vervoermiddel, voertuig
🚅	hoge snelheid, hogesnelheidstrein met kogelneus, kogeltrein, neus, reizen, shinkansen, snelheid, spoorweg, trein
🚆	aankomst, spoor, trein, vertrek, vervoermiddel, voertuig
🚇️	metro, ondergrondse, vervoermiddel, voertuig
🚈	lightrail, monorail, spoor, vervoermiddel, voertuig
🚉	spoor, station, trein, treinstation, vervoermiddel, voertuig
🚊	tram, trolleybus, vervoermiddel, voertuig
🚝	monorail, vervoermiddel, voertuig
🚞	berg, bergspoor, spoor, vervoermiddel, voertuig, wagon
🚋	tram, tramwagon, trolleybus, vervoermiddel, voertuig, wagon
🚌	bus, schoolbus, vervoermiddel, voertuig
🚍️	bus, naderend, naderende bus, tegemoetkomende bus, vervoermiddel, voertuig
🚎	bus, tram, trolley, trolleybus, vervoermiddel, voertuig
🚐	bus, minibus, vervoermiddel, voertuig
🚑️	ambulance, hulpdienst, spoed, vervoermiddel, voertuig
🚒	auto, brand, brandweerauto, hulpdienst, spoed, vervoermiddel, voertuig
🚓	auto, hulpdienst, politie, politieauto, politiewagen, vervoermiddel, voertuig
🚔️	auto, hulpdienst, naderend, naderende politieauto, politie, tegemoetkomende politiewagen, vervoermiddel, voertuig
🚕	taxi, taxichauffeur, uber, vervoermiddel, voertuig
🚖	auto’s, geel, naderend, naderende taxi, rijden, roepen, taxi
🚗	auto, automobiel, rijden, vervoermiddel, voertuig
🚘️	auto, automobiel, naderend, naderende auto, tegemoetkomende auto, vervoermiddel, voertuig
🚙	SUV, auto, kampeerauto, recreatie, rijden, suv, vervoermiddel, voertuig
🛻	auto, bestelbak, laadbak, laadbakwagen, pick-up, transport, truck, vervoer, vracht, wagen
🚚	bestelbus, bestelwagen, bezorging, bus, levering, pakketdienst, truck, vervoermiddel, voertuig
🚛	truck, vervoermiddel, voertuig, vrachtauto, vrachtwagen, vrachtwagen met oplegger
🚜	tractor, trekker, vervoermiddel, voertuig
🏎️	auto, formule 1, raceauto, racen, racewagen, vervoermiddel, voertuig, vroem
🏍️	motor, racen, vervoermiddel, voertuig
🛵	brommer, motor, scooter, vervoermiddel, voertuig
🦽	duwen, rolstoel, toegankelijkheid, zitten
🦼	elektrische rolstoel, rijden, toegankelijkheid, wiel
🛺	Azië, Thailand, auto, riksja, tuktuk, vervoer, wagen
🚲️	fiets, fietsen, rijwiel, spinning, vervoermiddel, voertuig
🛴	autoped, step, steppen, vervoermiddel, voertuig
🛹	board, deck, skate, skateboard, skaten, skater, wielen
🛼	hobby, rollerskate, rollerskates, rolschaats, rolschaatsen, schaats, skaten, sport, sporten
🚏	bus, bushalte, halte
🛣️	autosnelweg, snelweg, weg
🛤️	spoor, trein, treinspoor
🛢️	olie, olievat, vat
⛽️	benzine, benzinepomp, benzinestation, brandstof, pomp, station
🛞	auto, band, cirkel, draaien, velg, velgen, vervoer, voertuig, wiel
🚨	alarm, auto, baken, draaiend, licht, noodgeval, politie, sirene, waarschuwing, zwaailicht van politieauto
🚥	horizontaal verkeerslicht, licht, stoplicht, verkeer, verkeerslichten
🚦	kruising, licht, stoplicht, verkeer, verkeerslicht, verkeerslichten, verticaal verkeerslicht
🛑	achthoekig, bord, stop, stopteken, verkeersteken
🚧	barricade, bouwwerkzaamheden, werkzaamheden
⚓️	anker, hulpmiddel, schip
🛟	boei, drijven, redden, reddingsboei, reddingsgordel, reddingsvest, veiligheid, verdrinken, zwemmen
⛵️	boot, jacht, jachthaven, vaartuig, vervoermiddel, zee, zeilboot
🛶	boot, kajak, kano, vaartuig, vervoermiddel
🚤	boot, jacht, luxe, miljonair, reizen, speedboot, vaartuig, zomer
🛳️	passagier, passagiersschip, schip, veerboot, vervoermiddel, voertuig
⛴️	boot, passagier, veerboot, veerpont
🛥️	boot, motorboot, vaartuig, vervoermiddel
🚢	boot, passagier, passagiersschip, schip, titanic, vaartuig
✈️	luchtvaartuig, reizen, vervoermiddel, vliegen, vliegmachine, vliegtuig
🛩️	jet, klein vliegtuig, luchtvaartuig, vervoermiddel, vliegmachine, vliegtuig, vliegtuigje
🛫	inchecken, opstijgen, vertrek, vertrek van vliegtuig, vertrekken, vervoermiddel, vliegmachine, vliegtuig, voertuig
🛬	aankomen, aankomst, aankomst van vliegtuig, landen, landing, vervoermiddel, vliegmachine, vliegtuig, voertuig
🪂	activiteit, deltavliegen, hanggliden, parachute, parachutespringen, parasailen, skydiven
💺	stoel, treinstoel, vliegtuigstoel
🚁	helikopter, roflcopter, roflkopter, vervoermiddel, voertuig
🚟	hangend spoor, spoor, vervoermiddel, voertuig, zweeftrein, zwevend
🚠	berg, bergkabelbaan, gondel, kabel, skilift, vervoermiddel, voertuig
🚡	baan, gondel, kabel, kabelbaan, transportbaan, vervoermiddel, voertuig
🛰️	ruimte, ruimtevaart, satelliet
🚀	lancering, raket, ruimte, ruimtereis, vervoermiddel, voertuig
🛸	UFO, aliens, buitenaards, buitenaardse wezens, science fiction, ufo, vervoermiddel, vliegende schotel, voertuig
🛎️	balie, baliebel, bel, hotel, piccolobel
🧳	bagage, inpakken, koffer, reis, reizen, rolkoffer, trolley
⌛️	tijd, timer, zand, zandloper
⏳️	tijd, timer, zand, zandloper, zandloper met stromend zand
⌚️	horloge, klok, polshorloge, tijd
⏰️	alarm, klok, tijd, wekker
⏱️	klok, stopwatch, timer
⏲️	keukenwekker, klok, kookwekker, timer
🕰️	klok, pendule, staande klok, tijd
🕛️	00, 12, 12:00, klok, tijd, twaalf, twaalf uur, uur
🕧	00:30, 12, 12:30, 30, dertig, half één, klok, tijd, twaalf, uur
🕐️	00, 01:00, 1, 13:00, 1:00, klok, tijd, uur, één, één uur
🕜	1, 13:30, 1:30, 30, dertig, een, half twee, klok, tijd, één
🕑️	00, 02:00, 14:00, 2, 2:00, klok, tijd, twee, twee uur, uur
🕝	14:30, 2, 2:30, 30, dertig, half drie, klok, tijd, twee
🕒️	00, 03:00, 15:00, 3, 3:00, drie, drie uur, klok, tijd, uur
🕞	15:30, 3, 30, 3:30, dertig, drie, half vier, klok, tijd
🕓️	00, 04:00, 16:00, 4, 4:00, klok, tijd, uur, vier, vier uur
🕟	16:30, 30, 4, 4:30, dertig, half vijf, klok, tijd, vier
🕔️	00, 05:00, 17:00, 5, 5:00, klok, uur, vijf, vijf uur
🕠	05:30, 17:30, 30, 5, 5:30, dertig, half zes, klok, tijd, vijf
🕕️	00, 06:00, 18:00, 6, 6:00, klok, tijd, uur, zes, zes uur
🕡	06:30, 18:30, 30, 6, 6:30, dertig, half zeven, klok, tijd, zes
🕖️	00, 07:00, 19:00, 7, 7:00, klok, tijd, uur, zeven, zeven uur
🕢	07:30, 19:30, 30, 7, 7:30, dertig, half acht, klok, tijd, zeven
🕗️	00, 08:00, 20:00, 8, 8:00, acht, acht uur, klok, tijd, uur
🕣	08:30, 20:30, 30, 8, 8:30, acht, dertig, half negen, klok, tijd
🕘️	00, 09:00, 21:00, 9, 9:00, klok, negen, negen uur, tijd, uur
🕤	09:30, 21:30, 30, 9, 9:30, dertig, half tien, klok, negen, tijd
🕙️	00, 10, 10:00, 22:00, klok, tien, tien uur, tijd, uur
🕥	10, 10:30, 22:30, 30, dertig, half elf, klok, tien, tijd
🕚️	00, 11, 11:00, 23:00, elf, elf uur, klok, tijd, uur
🕦	11, 11:30, 23:30, 30, dertig, elf, half twaalf, klok, tijd
🌑	avond, donker, maan, maansverduistering, nieuwe maan, ruimte
🌒	avond, jonge maansikkel, maan, ruimte, sikkel, wassend, wassende halvemaan
🌓	avond, kwartier, maan, maan in eerste kwartier, ruimte
🌔	avond, bolvormig, maan, ruimte, tussen halve maan en volle maan, wassend, wassende maan
🌕️	avond, maan, ruimte, vol, volle maan
🌖	afnemend, afnemende maan, avond, bolvormig, maan, ruimte, tussen halve maan en volle maan, wassend
🌗	avond, kwartier, maan, maan in laatste kwartier, ruimte
🌘	afnemend, afnemende halvemaan, asgrauwe maan, avond, maan, maansikkel, nacht, ruimte, sikkel
🌙	avond, halvemaan, maan, maansikkel, ramadan, ruimte, sikkel, slapen
🌚	avond, gezicht, maan, nieuwe maan met gezicht, nieuwe maan-gezicht, ruimte
🌛	avond, eerste kwartier, gezicht, kwartier, maan, maan in eerste kwartier met gezicht, maan met gezicht in eerste kwartier, ruimte, slapen
🌜️	avond, gezicht, kwartier, laatste kwartier, maan, maan in laatste kwartier met gezicht, maan met gezicht in laatste kwartier, ruimte, slapen
🌡️	koorts, thermometer, weer
☀️	felle zon, helder, stralen, weer, zon, zonnig
🌝	avond, gezicht, helder, heldere maan, maan, ruimte, vol, volle maan, volle maan met gezicht
🌞	gezicht, helder, warm, weer, zon, zon met gezicht, zonneschijn
🪐	Saturnus, heelal, planeet, planeet met ringen, ringen, ruimte, zonnestelsel, zwaarmoedig
⭐️	ster, witte middelgrote ster
🌟	fonkelen, fonkelend, schitteren, schitterend, schittering, ster, stralen, stralende ster
🌠	hemel, ruimte, ster, vallen, vallend, vallende ster
🌌	melkweg, ruimte
☁️	weer, wolk
⛅️	weer, wolk, zon, zon achter wolk, zon achter wolken
⛈️	onweer, regen, weer, wolk, wolk met bliksem en regen
🌤️	weer, wolk, zon, zon achter kleine wolk
🌥️	weer, wolk, zon, zon achter grote wolk
🌦️	regen, weer, wolk, zon, zon achter regenwolk, zon achter wolk met regen
🌧️	regen, weer, wolk, wolk met regen
🌨️	koud, sneeuw, weer, winter, wolk, wolk met sneeuw
🌩️	bliksem, weer, wolk, wolk met bliksem
🌪️	storm, tornado, weer, wervelwind, wolk
🌫️	bewolkt, mist, weer, wolk
🌬️	blazen, gezicht, gezicht dat wind blaast, weer, wind, wind met gezicht, wolk
🌀	cycloon, duizelig, spiraal, twister, tyfoon, weer
🌈	genderqueer, glbt, homoseksueel, lesbisch, lgbt, lgbtq, lgtbqia, lhbt, natuur, pride, queer, regen, regenboog, transgender, weer
🌂	dichte paraplu, ingevouwen paraplu, kleding, paraplu, regen, weer
☂️	geopende paraplu, kleding, open paraplu, paraplu, regen, weer
☔️	druppels, kleding, paraplu, paraplu met regendruppels, regen, weer
⛱️	parasol, parasol op de grond, regen, strandparasol, zon
⚡️	bliksem, donderslag, elektriciteit, elektrisch, gevaar, hoog voltage, schok, spanning, voltage
❄️	koud, sneeuw, sneeuwvlok, weer
☃️	koud, sneeuw, sneeuwpop, weer
⛄️	koud, sneeuw, sneeuwpop, sneeuwpop zonder sneeuwvlokken
☄️	komeet, ruimte, vuurbal
🔥	brand, heet, hulpmiddel, vlam, vuur
💧	bedroefd, druppel, koud, strip, water, weer, zweet
🌊	Japan, Kanagawa, golf, golfsurfen, golven, oceaan, surfen, water, weer, zee
🎃	feest, halloween, halloweenlantaarn, lampion, lantaarn, pompoen, pompoenlantaarn, sint maarten
🎄	Kerstmis, boom, feest, kerstboom, kerstmis, viering
🎆	feest, jaarwisseling, knal, oud en nieuw, oudejaarsavond, vermaak, viering, vuurwerk
🎇	afsteken, feest, jaarwisseling, knal, oud en nieuw, oudejaarsavond, sterretje, viering, vuurwerk, vuurwerksterretje
🧨	boem, dynamiet, explosief, licht, ontploffing, rotje, vonk, vuur, vuurwerk
✨️	*, glinsteren, glinsterende sterren, ster, sterretjes
🎈	ballon, feest, jarig, verjaardag, vieren, viering
🎉	confetti, feest, feestknaller, hoera, jarig, knaller, partypopper, verjaardag, viering
🎊	bal, confetti, confettibal, feest, hoera, jarig, verjaardag, viering
🎋	boom, boom met papierlinten, feest, japans, papierlinten, tanabata, tanabataboom
🎍	bamboe, den, dennenboomversiering, dennentakdecoratie, feest, japans, plant
🎎	Japanse poppen, feest, festival, japans, japanse poppen, pop, poppen, viering
🎏	feest, karper, karpers, karperslinger, karperwimpel, slinger, wimpel
🎐	bel, feest, wind, windklokkenspel, windorgel
🎑	ceremonie, feest, maan, maanceremonie, maanobservatieceremonie, viering
🧧	cadeau, geld, geluk, geschenk, hóngbāo, lai see, rode envelop, rode enveloppe, voorspoed
