‾	brūkšnys viršuje
💸	bankas, banknotas, doleris, pinigai, pinigai su sparnais
💳️	bankas, kortelė, kreditas, kredito kortelė, pinigai
🧾	apskaita, čekis, įrodymai
💹	augimas, diagrama, didėjimo diagrama su jenos simboliu, jena, tendencijos, valiuta
✉️	el. laiškas, el. paštas, laiškas, paštas, vokas
📧	el. laiškas, laiškas, paštas
📨	el. laiškas, gaunamas laiškas, gaunamas vokas, gavimas, laiškas, paštas, vokas
📩	el. laiškas, el. paštas, laiškas, rodyklė, vokas, vokas su rodykle
📤️	dėklas, išsiųsti, laiškas, paštas, siunčiami, siunčiamų laiškų dėklas
📥️	dėklas, gaunamų laiškų dėklas, gauti, laiškas, paštas
📦️	dėžė, paketas, siuntinys
📫️	paštas, pašto dėžutė, uždaryta, uždaryta pašto dėžutė su pakelta vėliava
📪️	nuleista, paštas, pašto dėžutė, uždaryta, uždaryta pašto dėžutė su nuleista vėliava
📬️	atidaryta, atidaryta pašto dėžutė su pakelta vėliava, pakelta, paštas, pašto dėžutė
📭️	atidaryta, atidaryta pašto dėžutė su nuleista vėliava, nuleista, paštas, pašto dėžutė
📮	laiškas, paštas, pašto dėžutė
🗳️	balsavimas, balsavimo dėžutė, balsavimo dėžutė su balsavimo biuleteniu, dėžutė
✏️	pieštukas
✒️	juoda plunksna, rašiklis, smaigalys
🖋️	automatinis plunksnakotis, plunksnakotis, rašiklis
🖊️	rašiklis, tušinukas
🖌️	tapymas, teptukas
🖍️	kreidelė
📝	atmintinė, bendravimas, pieštukas
💼	biuras, portfelis
📁	aplankas, failas, failų aplankas, uždarytas, uždarytas failų aplankas
📂	aplankas, atidarytas, atidarytas failų aplankas, failas, failų aplankas
🗂️	indeksas, kortelių laikiklio skirtukai, kortelė, skirtukai
📅	data, kalendorius
📆	data, kalendorius, nuplėšiamas kalendorius
🗒️	spiralė, užrašas, užrašinė, užrašinė su spirale
🗓️	data, kalendorius, kalendorius su spirale, spiralė, užrašinė
📇	dėklas, indeksas, kortelių dėklas, kortelė, senovinis
📈	augimas, diagrama, didėjimo tendencijos diagrama, schema, tendencija
📉	diagrama, mažėjimas, mažėjimo tendencijos diagrama, tendencija, į apačią
📊	diagrama, juosta, juostinė diagrama
📋️	darbų sąrašas, segtuvas, sąrašas
📌	smeigtukas
📍	apvalus smeigtukas, smeigtukas
📎	sąvaržėlė
🖇️	sujungimas, sukabintos sąvaržėlės, sąvaržėlė
📏	liniuotė, matematika, tiesi, tiesi liniuotė
📐	liniuotė, matematika, trikampis, trikampė liniuotė
✂️	įrankis, žirklės
🗃️	dėžė, failas, kortelių saugojimo dėžė, kortelė
🗄️	bylų spintelė su stalčiais, failas, failų spintelė su stalčiais, spintelė
🗑️	šiukšliadėžė
🔒️	saugu, spyna, uždaryta, užrakinta
🔓️	atidaryta, atrakinta, atrakinta spyna, spyna
🔏	privatumas, rašalas, rašiklis, smaigalys, spyna, spyna ir rašiklis
🔐	raktas, saugu, spyna, uždaryta, užrakinta spyna su raktu
🔑	raktas, saugu, slaptažodis, spyna
🗝️	raktas, sena, senas raktas, spyna
🔨	plaktukas, įrankis
🪓	daiktas, kapoti, kirvis, mediena
⛏️	kasimas, kirstuvas, įrankis
⚒️	kirstuvas, plaktukas, plaktukas ir kirstuvas, plaktuvas ir kirstuvas, įrankis
🛠️	plaktukas, plaktukas ir veržliaraktis, veržliaraktis, įrankis
🗡️	durklas, ginklas, peilis
⚔️	ginklai, kardai, sukryžiuoti, sukryžiuoti kardai
💣️	bomba, komiksas, sprogimas
🪃	australija, bumerangas, grįžimas, įrankis
🏹	ginklas, lankas, lankas ir strėlė, strėlė, zodiako, įrankis, šaulys
🛡️	ginklas, skydas
🪚	dailidė, mediena, pjūklas, įrankis
🔧	veržliaraktis, įrankis
🪛	atsuktuvas, varžtas, įrankis
🔩	varžtas, veržlė, veržlė ir varžtas, įrankis
⚙️	krumpliaratis, įrankis
🗜️	spaustuvai, suspaudimas, įrankis
⚖️	pusiausvyra, svarstyklės, svarstyklės su lėkštėmis, svoris, teisingumas, zodiakas, įrankis
🦯	aklas, neregio lazda, neregys, neįgaliųjų prieinamumas, prieinamumas
🔗	jungtis, jungtys
⛓‍💥	grandinė, laisvė, nutraukta grandinė, nutrūkusi
⛓️	grandinė, grandinės
🪝	grobis, kablys, sugauti
🧰	dėžė, mechanikas, įrankis, įrankių rinkinys
🧲	magnetas, magnetinis, pasaga, trauka
🪜	kopėčios, lipti, žingsnis
🪏	augalas, duobė, kasti, kastuvas, palaidoti, smėlis, sniegas, sodas
⚗️	chemija, distiliavimo indas, įrankis
🧪	bandymas, chemija, chemikas, laboratorija, mokslas, mėgintuvėlis
🧫	bakterijos, bakterijų auginimas, biologas, biologija, laboratorija, petri lėkštelė
🧬	DNR, biologas, evoliucija, genas, genetika, gyvybė
🔬	laboratorija, mikroskopas, mokslas, įrankis
🔭	mokslas, teleskopas, įrankis
📡	antena, indas, mokslas, palydovas, palydovinė antena
💉	adata, dūris, gydytojas, ligonis, medicina, įrankis, švirkštas
🩸	kraujas, kraujo aukojimas, kraujo lašas, medicina, menstruacijos
💊	gydytojas, kapsulė, ligonis, medicina, piliulė
🩹	pleistras
🩼	lazda, negalia, pagalba, pagalba judėti, ramentas, ramstis, sužeistas
🩺	gydytojas, medicina, stetoskopas, širdis
🩻	gydytojas, kaulai, medicina, rentgenas, skeletas
🚪	durys
🛗	elevatorius, keltuvas, liftas, prieinamumas
🪞	atspindys, atšvaitas, makiažas, reflektorius, veidrodis
🪟	atvėrimas, langas, perregimas, rėmas, vaizdas, šviežias oras
🛏️	lova, miegoti, viešbutis
🛋️	lempa, sofa, sofa ir lempa, viešbutis
🪑	daiktas, kėdė, sėdėti
🚽	tualetas
🪠	pompa, santechnikas, santechninė pompa, siurbimas, tualetas
🚿	dušas, vanduo
🛁	vonia
🪤	pasala, pelėkautai, spąstai, sūris
🪒	aštrus, skusti, skustuvas
🧴	apsauga nuo saulės, drėkinamasis kremas, kremas, kremas nuo saulės, losjonas, losjono buteliukas, šampūnas
🧷	pankrokas, vystyklai, žiogelis
🧹	ragana, valymas, šlavimas, šluota
🧺	daiktas, iškyla, pintinė, skalbiniai, ūkininkavimas
🧻	popieriaus ritinys, popieriniai rankšluosčiai, tualetinis popierius
🪣	kibiras
🧼	maudytis, muilas, muilinti, muilinė, plytelė, praustis
🫧	burbulai, burbulas, muilas, perlas, po vandeniu, švara
🪥	dantys, dantų šepetėlis, higiena, valyti, vonios kambarys, šepetėlis
🧽	akytas, kempinė, praustis, sugeriantis
🧯	gesinti, gesintuvas, ugnis
🛒	apsipirkimas, parduotuvė, pirkinių vežimėlis, vežimėlis
🚬	cigaretė, rūkymas
⚰️	karstas, laidotuvės, mirtis, vampyras
🪦	kapas, kapinės, mirtis, paminklas
⚱️	laidojimo urna, laidotuvės, mirtis, urna
🧿	amuletas akis, blogio akis, karoliukas, nazaras, talismanas, žavesys
🪬	Fatima, Marija, amuletas, apsauga, delnas, hamsa, ranka, sėkmė
🗿	kelionė, moai, statula, veidas
🪧	demonstracija, piketas, plakatas, protestas, ženklas
🪪	ID, dokumentas, licencija, pažymėjimas, sauga, tapatybė, tapatybės kortelė
🏧	ATM, automatinis, bankas, bankomatas, bankomato ženklas, kasininkas, pinigai
🚮	šiukšliadėžė, šiukšlių metimo į šiukšliadėžes ženklas, šiukšlė, ženklas
🚰	geriamas, geriamasis vanduo, gerti, vanduo, čiaupas
♿️	neįgalieji, neįgaliojo vežimėlio simbolis, neįgaliųjų prieinamumas, pasiekiamumas, simbolis
🚹️	tualetas, vyras, vyrų tualetas, wc, ženklas
🚺️	moteris, moterų tualetas, tualetas, wc
🚻	moteris, tualetas, tualeto kambarys, wc, ženklas
🚼️	kūdikio simbolis, kūdikis, vystyklų keitimas
🚾	tualetas, tualeto patalpa, vanduo, wc
🛂	kontrolė, pasas, pasų kontrolė
🛃	muitinė, pakavimas
🛄	atsiimti, bagažas, bagažo skyrius, kelionė, ženklas
🛅	bagažas, lagaminas, paliktas bagažas, spintelė, ženklas
⚠️	įspėjimas
🚸	eismas, perėja, pėstysis, vaikas, vaikų perėja
⛔️	draudžiama, eismas, ne, uždrausta, įėjimas, įėjimo nėra
🚫	draudžiama, ne, rūkyti, uždrausta, įėjimas, ženklas
🚳	draudžiama, dviratis, dviračiai draudžiami, ne, transporto priemonė, uždrausta, ženklas
🚭️	draudžiama, ne, rūkymas, rūkyti draudžiama, uždrausta, ženklas
🚯	draudžiama, ne, uždrausta, šiukšlinti draudžiama, šiukšlės
🚱	draudžiama, draudžiama gerti vandenį, geriamas, gerti, gėrimas, ne, uždrausta, vanduo
🚷	draudžiama, ne, pėstiesiems eiti draudžiama, pėstysis, uždrausta
📵	draudžiama, jokių mobiliųjų telefonų, mobilusis, ne, telefonas, uždrausta, ženklas
🔞	18, amžiaus apribojimas, aštuoniolika, draudžiama, ne, nepilnametis, tik pilnamečiams, uždrausta
☢️	radioaktyvu, ženklas
☣️	biorizika, ženklas
⬆️	koordinatė, kryptis, rodyklė, rodyklė į viršų, šiaurė
↗️	kryptis, rodyklė, rodyklė į viršų ir į dešinę, šiaurės rytai
➡️	koordinatė, kryptis, rodyklė, rodyklė į dešinę, rytai
↘️	kryptis, pietryčiai, rodyklė, rodyklė į apačią ir į dešinę
⬇️	koordinatė, kryptis, pietūs, rodyklė, rodyklė į apačią, į apačią
↙️	kryptis, pietvakariai, rodyklė, rodyklė į apačią ir į kairę
⬅️	koordinatė, kryptis, rodyklė, rodyklė į kairę, vakarai
↖️	kryptis, rodyklė, rodyklė į viršų ir į kairę, šiaurės vakarai
↕️	rodyklė, rodyklė į viršų ir į apačią
↔️	rodyklė, rodyklė į kairę ir į dešinę
↮	perbraukta rodyklė kairėn ir dešinėn
↩️	lenkta rodyklė, rodyklė, rodyklė į dešinę, rodyklė į dešinę, užlenkta į kairę, užlenkta į kairę
↪️	lenkta rodyklė, rodyklė, rodyklė į kairę, rodyklė į kairę, užlenkta į dešinę, užlenkta į dešinę
⤴️	lenkta rodyklė į viršų, rodyklė, rodyklė į dešinę, rodyklė į dešinę, užlenkta į viršų, užlenkta į viršų, į viršų
⤵️	lenkta rodyklė į apačią, rodyklė, rodyklė į dešinę, rodyklė į dešinę, užlenkta į apačią, užlenkta į apačią, į apačią
🔃	pagal laikrodžio rodyklę, rodyklė, vertikalios laikrodžio rodyklės kryptimis nukreiptos rodyklės
🔄	dejavu, mygtukas, prieš laikrodžio rodyklę, prieš laikrodžio rodyklę nukreiptų rodyklių mygtukas, rodyklė
🔙	atgal, rodyklė, rodyklė su užrašu „Back“
🔚	pabaiga, rodyklė, rodyklė su užrašu „End“
🔛	rodyklė, rodyklė su užrašu „On!“, rodyklė į abi puses, į abi puses, žymė
🔜	greitai, rodyklė, rodyklė su užrašu „Soon“
🔝	rodyklė, rodyklė su užrašu „Top“, viršus, į viršų
🛐	garbinimo vieta, garbinti, religija
⚛️	ateistas, atomas, atomo simbolis
🕉️	Om, hindu, religija
✡️	Dovydas, Dovydo žvaigždė, religija, žvaigždė, žydas, žydų
☸️	Dharmos ratas, budistas, dharma, ratas, religija
☯️	In ir Jang, in, jang, religija, sunkumai, tao, taoizmas
✝️	Romos katalikų kryžius, krikščionis, kryžius, religija
☦️	krikščionis, kryžius, ortodoksų kryžius, religija
☪️	islamas, musulmonas, religija, žvaigždė ir pusmėnulis
☮️	simbolis, taika, taikos simbolis
🕎	menora, religija, žvakidė, žvakės, žydų
🔯	judaizmas, sėkmė, šešiakampė žvaigždė su tašku, žvaigždė, žydų
🪯	Deg Tegh Fateh, khalsa, khanda, religija, sikhas, sikhizmas, tikėjimas
♈️	avinas, zodiakas
♉️	bulius, tauras, zodiakas
♊️	dvyniai, zodiakas
♋️	krabas, vėžys, zodiakas
♌️	liūtas, zodiakas
♍️	mergelė, zodiakas
♎️	pusiausvyra, svarstyklės, teisingumas, zodiakas
♏️	skorpionas, zodiakas
♐️	zodiakas, šaulys
♑️	ožiaragis, ožys, zodiakas
♒️	vandenio ženklas, vandenis, vanduo, zodiakas
♓️	zodiakas, žuvis, žuvys
⛎️	gyvatnešis, gyvatė, nešėjas, zodiakas
🔀	maišyti takelius, mygtukas, rodyklė, sukryžiuota
🔁	kartoti, mygtukas, mygtukas „pakartoti“, pagal laikrodžio rodyklę, rodyklė
🔂	kartoti vieną, kartoti vieną kartą, mygtukas, pagal laikrodžio rodyklę, rodyklė, vieną kartą
▶	dešinė, mygtukas, paleisti, rodyklė, trikampis
⏩	du kartus, dviguba, greitai, rodyklė, sukti, sukti pirmyn
⏭	kitas takelis, kitas vaizdas, mygtukas, rodyklė, trikampis
⏯	dešinė, mygtukas, paleisti, paleisti arba pristabdyti, pristabdyti, rodyklė, trikampis
◀	atvirkštinė, atvirkštinė tvarka, kairė, mygtukas, rodyklė, trikampis
⏪	atsukti atgal, du kartus, dviguba, mygtukas, rodyklė, sukti atgal
⏮	ankstesnis takelis, ankstesnis vaizdas, mygtukas, paskutinis takelis, rodyklė, trikampis
🔼	mygtukas, raudonas, rodyklė, trikampis, į viršų
⏫	dviguba, greitai į viršų, rodyklė
🔽	mygtukas, raudona, rodyklė, į apačią
⏬	dviguba, greitai į apačią, mygtukas, rodyklė, į apačią
⏸️	dviguba, juosta, mygtukas, pauzė, pristabdyti, vertikali
⏹️	kvadratas, mygtukas, stabdyti, sustabdymo mygtukas
⏺️	apskritimas, mygtukas, ratas, įrašas, įrašymo mygtukas
⏏️	išmesti, išmetimo mygtukas
🎦	filmas, kamera, kinas
🔅	blankus, mažas, mygtukas, ryškumas, užtemdymo mygtukas
🔆	ryškumas, ryškumo mygtukas, ryškus
📶	antena, antenos juostos, juosta, mobilusis, ryšys, signalas, telefonas
🛜	Wi-Fi, belaidis ryšys, internetas, išmanusis telefonas, kompiuteris, maršruto parinktuvas, plačiajuostis, ryšys, tinklas, vietinis belaidis tinklas, viešosios prieigos taškas
📳	mobilusis, režimas, telefonas, vibravimas, vibravimo režimas
📴	išjungti, išjungti mobilųjį telefoną, mobilusis, telefonas
♀️	moteris, moteriškos lyties ženklas
♂️	vyras, vyriškos lyties ženklas
⚧️	translytis, translyčių simbolis
✖️	atšaukti, dauginti, daugyba, paryškintas daugybos ženklas, x
➕️	matematika, paryškintas pliusas, pliusas
➖️	matematika, minusas, paryškintas minusas
➗️	dalyba, matematika, paryškintas dalybos ženklas
🟰	atsakymas, lygu, lygybė, lygybės ženklas, paryškintas lygybės ženklas
♾️	amžinai, begalybė, neribotas, universalus
‼️	du šauktukai, skyryba, šauktukas, žymė
⁉️	klausimas, skyryba, šauktukas, šauktukas ir klaustukas, žymė
❓️	klausimas, klaustukas, raudonas klaustukas, skyryba, žymė
❔️	baltas klaustukas, klausimas, klaustukas, kontūras, skyryba, žymė
❕️	baltas šauktukas, kontūras, skyryba, šauktukas, žymė
❗️	raudonas šauktukas, skyryba, šauktukas, žymė
〰️	brūkšnys, skyryba, vingiuotas, vingiuotas brūkšnys
💱	bankas, keitimas, pinigai, valiuta, valiutos keitimas
💲	doleris, paryškintas dolerio ženklas, pinigai, valiuta
⚕️	asklepijas, asklepijus, medicina, medicinos simbolis, personalas
♻️	perdirbimo simbolis, perdirbti
⚜	lelija, lelijos simbolis, riteriai
🔱	emblema, inkaras, laivas, trišakis, trišakė emblema, įrankis
📛	vardas, vardo ženklelis, ženklelis
🔰	geltonas, japoniškas pradedančiojo simbolis, japonų, lapas, pradedantysis, simbolis, įrankis, žalias
⭕️	o, ratas, ryškus didelis ratas
✅️	balta paryškinta varnelė, padaryta, varnelė, žymė
☑️	balsavimas, balsavimo laukelis su varnele, laukelis, padaryta, pažymėti, varnelė
✔️	paryškinta varnelė, varnelė, žymė
❌️	atšaukti, dauginti, daugyba, kryžiukas, x, žymė
❎️	kryžiukas, kryžiuko mygtukas, kvadratas, mygtukas, žymė
➰️	kilpa, kilpelė, raityti
➿️	dviguba, dviguba kilpelė, kilpa, raityti
〽️	dalis, dalių apkeitimo ženklas, žymė
✳️	aštuoniakampė žvaigždutė, žvaigždutė
✴️	aštuoniakampė žvaigždė, žvaigždė
❇️	kibirkštis, kibirkštėlė
©️	autorių teisės
®️	užregistruota
™️	prekės ženklas, tm, žymė
🫟	dažai, dėmė, išsiliejimas, lašinti, netvarka, purslai, rašalas, skystis, tiškalas
#⃣	mygtukas, mygtukas: #
*⃣	mygtukas, mygtukas: *
0⃣	mygtukas, mygtukas: 0
1⃣	mygtukas, mygtukas: 1
2⃣	mygtukas, mygtukas: 2
3⃣	mygtukas, mygtukas: 3
4⃣	mygtukas, mygtukas: 4
5⃣	mygtukas, mygtukas: 5
6⃣	mygtukas, mygtukas: 6
7⃣	mygtukas, mygtukas: 7
8⃣	mygtukas, mygtukas: 8
9⃣	mygtukas, mygtukas: 9
🔟	mygtukas, mygtukas: 10
🔠	ABCD, didžiosios, lotyniškos, raidės, įvestis, įvestis didžiosios lotyniškos raidės
🔡	abcd, lotyniškos, mažosios, raidės, įvestis, įvestis mažosios lotyniškos raidės
🔢	1234, skaičiai, įvesties skaičiai, įvestis
🔣	simbolis, įvesties simboliai, įvestis
🔤	abc, abėcėlė, lotyniškos, raidės, įvestis, įvestis lotyniškos raidės
🅰️	a, kraujo grupė, mygtukas, mygtukas „A“ (raudona), raudona
🆎	ab, kraujo grupė, mygtukas „AB“ (raudona), raudona
🅱️	b, kraujo grupė, mygtukas „B“ (raudona), raudona
🆑	cl, mygtukas, mygtukas „CL“, simbolis „CL“
🆒	cool, mygtukas, mygtukas „COOL“, simbolis „COOL“, vėsu
🆓	mygtukas, mygtukas „FREE“, nemokama, simbolis „FREE“
ℹ️	i, informacija
🆔	ID, mygtukas, mygtukas „ID“, simbolis „ID“, tapatybė
Ⓜ️	apskritimas, m, raidė „M“, raidė „M“ apskritime
🆕	mygtukas, mygtukas „NEW“, nauja, new, simbolis „NEW“
🆖	mygtukas, mygtukas „NG“, ng, simbolis „NG“
🅾️	mygtukas, mygtukas „O“ (raudona), o, raudona, simbolis „O“ (raudona)
🆗	mygtukas, mygtukas „OK“, ok, simbolis „OK“
🅿️	automobilių stovėjimas, mygtukas, mygtukas „P“, simbolis „P“
🆘	mygtukas, mygtukas „SOS“, pagalba, simbolis „SOS“, sos
🆙	mygtukas, mygtukas „Up!“, up, į viršų, žymė
🆚	mygtukas, mygtukas „VS“, palyginti, simbolis „VS“
🈁	hieroglifas, japonų, mygtukas, čia, čia reiškiantis hieroglifas
🈂️	hieroglifas, japonų, mygtukas, paslaugos mokestis, paslaugos mokestį reiškiantis hieroglifas
🈷	hieroglifas, japonų, mėnesio suma, mėnesio sumą reiškiantis hieroglifas
🈶	hieroglifas, japonų, mokamas, mokamą reiškiantis hieroglifas, ne nemokamas, ne nemokamą reiškiantis hieroglifas
🈯	hieroglifas, japonų, rezervavimą reiškiantis hieroglifas, rezervuotas
🉐	hieroglifas, japonų, susitarimas, susitarimą reiškiantis hieroglifas
🈹	hieroglifas, japonų, nuolaida, nuolaidą reiškiantis hieroglifas
🈚	hieroglifas, japonų, nemokamai, nemokamumą reiškiantis hieroglifas
🈲	draudimas, draudimą reiškiantis hieroglifas, hieroglifas, japonų
🉑	hieroglifas, japonų, sutikimas, sutikimą reiškiantis hieroglifas
🈸	hieroglifas, japonų, mygtukas, taikymas, taikymą reiškiantis hieroglifas
🈴	bendrumas, bendrumą reiškiantis hieroglifas, hieroglifas, japonų
🈳	hieroglifas, japonų, tuštuma, tuštumą reiškiantis hieroglifas
㊗️	hieroglifas, japonų, pasveikinimą reiškiantis hieroglifas, sveikinimas
㊙️	hieroglifas, japonų, paslaptis, paslaptį reiškiantis hieroglifas
🈺	hieroglifas, japonų, veikimą reiškiantis hieroglifas, veikti
🈵	hieroglifas, japonų, pilnatvė, pilnatvę reiškiantis hieroglifas
🔴	apskritimas, geometrija, raudonas, raudonas apskritimas
🟠	apskritimas, geometrija, oranžinis, oranžinis apskritimas
🟡	apskritimas, geltonas, geltonas apskritimas
