‾	overline
👫🏼	babae, babae at lalaking magkahawak-kamay, hawak-kamay, holding hands, kamay, katamtamang light na kulay ng balat, lalaki, lalaki at babaeng magkahawak-kamay, lalaki at babaeng magkahawak-kamay: katamtamang light na kulay ng balat, magkahawak-kamay, magkapareha
👩🏼‍🤝‍👨🏽	babae, babae at lalaking magkahawak-kamay, hawak-kamay, holding hands, kamay, katamtamang kulay ng balat, katamtamang light na kulay ng balat, lalaki, lalaki at babaeng magkahawak-kamay, lalaki at babaeng magkahawak-kamay: katamtamang light na kulay ng balat, katamtamang kulay ng balat, magkahawak-kamay, magkapareha
👩🏼‍🤝‍👨🏾	babae, babae at lalaking magkahawak-kamay, hawak-kamay, holding hands, kamay, katamtamang dark na kulay ng balat, katamtamang light na kulay ng balat, lalaki, lalaki at babaeng magkahawak-kamay, lalaki at babaeng magkahawak-kamay: katamtamang light na kulay ng balat, katamtamang dark na kulay ng balat, magkahawak-kamay, magkapareha
👩🏼‍🤝‍👨🏿	babae, babae at lalaking magkahawak-kamay, dark na kulay ng balat, hawak-kamay, holding hands, kamay, katamtamang light na kulay ng balat, lalaki, lalaki at babaeng magkahawak-kamay, lalaki at babaeng magkahawak-kamay: katamtamang light na kulay ng balat, dark na kulay ng balat, magkahawak-kamay, magkapareha
👩🏽‍🤝‍👨🏻	babae, babae at lalaking magkahawak-kamay, hawak-kamay, holding hands, kamay, katamtamang kulay ng balat, lalaki, lalaki at babaeng magkahawak-kamay, lalaki at babaeng magkahawak-kamay: katamtamang kulay ng balat, light na kulay ng balat, light na kulay ng balat, magkahawak-kamay, magkapareha
👩🏽‍🤝‍👨🏼	babae, babae at lalaking magkahawak-kamay, hawak-kamay, holding hands, kamay, katamtamang kulay ng balat, katamtamang light na kulay ng balat, lalaki, lalaki at babaeng magkahawak-kamay, lalaki at babaeng magkahawak-kamay: katamtamang kulay ng balat, katamtamang light na kulay ng balat, magkahawak-kamay, magkapareha
👫🏽	babae, babae at lalaking magkahawak-kamay, hawak-kamay, holding hands, kamay, katamtamang kulay ng balat, lalaki, lalaki at babaeng magkahawak-kamay, lalaki at babaeng magkahawak-kamay: katamtamang kulay ng balat, magkahawak-kamay, magkapareha
👩🏽‍🤝‍👨🏾	babae, babae at lalaking magkahawak-kamay, hawak-kamay, holding hands, kamay, katamtamang dark na kulay ng balat, katamtamang kulay ng balat, lalaki, lalaki at babaeng magkahawak-kamay, lalaki at babaeng magkahawak-kamay: katamtamang kulay ng balat, katamtamang dark na kulay ng balat, magkahawak-kamay, magkapareha
👩🏽‍🤝‍👨🏿	babae, babae at lalaking magkahawak-kamay, dark na kulay ng balat, hawak-kamay, holding hands, kamay, katamtamang kulay ng balat, lalaki, lalaki at babaeng magkahawak-kamay, lalaki at babaeng magkahawak-kamay: katamtamang kulay ng balat, dark na kulay ng balat, magkahawak-kamay, magkapareha
👩🏾‍🤝‍👨🏻	babae, babae at lalaking magkahawak-kamay, hawak-kamay, holding hands, kamay, katamtamang dark na kulay ng balat, lalaki, lalaki at babaeng magkahawak-kamay, lalaki at babaeng magkahawak-kamay: katamtamang dark na kulay ng balat, light na kulay ng balat, light na kulay ng balat, magkahawak-kamay, magkapareha
👩🏾‍🤝‍👨🏼	babae, babae at lalaking magkahawak-kamay, hawak-kamay, holding hands, kamay, katamtamang dark na kulay ng balat, katamtamang light na kulay ng balat, lalaki, lalaki at babaeng magkahawak-kamay, lalaki at babaeng magkahawak-kamay: katamtamang dark na kulay ng balat, katamtamang light na kulay ng balat, magkahawak-kamay, magkapareha
👩🏾‍🤝‍👨🏽	babae, babae at lalaking magkahawak-kamay, hawak-kamay, holding hands, kamay, katamtamang dark na kulay ng balat, katamtamang kulay ng balat, lalaki, lalaki at babaeng magkahawak-kamay, lalaki at babaeng magkahawak-kamay: katamtamang dark na kulay ng balat, katamtamang kulay ng balat, magkahawak-kamay, magkapareha
👫🏾	babae, babae at lalaking magkahawak-kamay, hawak-kamay, holding hands, kamay, katamtamang dark na kulay ng balat, lalaki, lalaki at babaeng magkahawak-kamay, lalaki at babaeng magkahawak-kamay: katamtamang dark na kulay ng balat, magkahawak-kamay, magkapareha
👩🏾‍🤝‍👨🏿	babae, babae at lalaking magkahawak-kamay, dark na kulay ng balat, hawak-kamay, holding hands, kamay, katamtamang dark na kulay ng balat, lalaki, lalaki at babaeng magkahawak-kamay, lalaki at babaeng magkahawak-kamay: katamtamang dark na kulay ng balat, dark na kulay ng balat, magkahawak-kamay, magkapareha
👩🏿‍🤝‍👨🏻	babae, babae at lalaking magkahawak-kamay, dark na kulay ng balat, hawak-kamay, holding hands, kamay, lalaki, lalaki at babaeng magkahawak-kamay, lalaki at babaeng magkahawak-kamay: dark na kulay ng balat, light na kulay ng balat, light na kulay ng balat, magkahawak-kamay, magkapareha
👩🏿‍🤝‍👨🏼	babae, babae at lalaking magkahawak-kamay, dark na kulay ng balat, hawak-kamay, holding hands, kamay, katamtamang light na kulay ng balat, lalaki, lalaki at babaeng magkahawak-kamay, lalaki at babaeng magkahawak-kamay: dark na kulay ng balat, katamtamang light na kulay ng balat, magkahawak-kamay, magkapareha
👩🏿‍🤝‍👨🏽	babae, babae at lalaking magkahawak-kamay, dark na kulay ng balat, hawak-kamay, holding hands, kamay, katamtamang kulay ng balat, lalaki, lalaki at babaeng magkahawak-kamay, lalaki at babaeng magkahawak-kamay: dark na kulay ng balat, katamtamang kulay ng balat, magkahawak-kamay, magkapareha
👩🏿‍🤝‍👨🏾	babae, babae at lalaking magkahawak-kamay, dark na kulay ng balat, hawak-kamay, holding hands, kamay, katamtamang dark na kulay ng balat, lalaki, lalaki at babaeng magkahawak-kamay, lalaki at babaeng magkahawak-kamay: dark na kulay ng balat, katamtamang dark na kulay ng balat, magkahawak-kamay, magkapareha
👫🏿	babae, babae at lalaking magkahawak-kamay, dark na kulay ng balat, hawak-kamay, holding hands, kamay, lalaki, lalaki at babaeng magkahawak-kamay, lalaki at babaeng magkahawak-kamay: dark na kulay ng balat, magkahawak-kamay, magkapareha
👬	Gemini, bakla, dalawang lalaking magkahawak-kamay, hawak-kamay, kambal, lgbt, lgbtqia, magkapareha, mga lalaki, nagmamahalan, queer, zodiac
👬🏻	Gemini, bakla, dalawang lalaking magkahawak-kamay, dalawang lalaking magkahawak-kamay: light na kulay ng balat, hawak-kamay, kambal, lgbt, lgbtqia, light na kulay ng balat, magkapareha, mga lalaki, nagmamahalan, queer, zodiac
👨🏻‍🤝‍👨🏼	Gemini, bakla, dalawang lalaking magkahawak-kamay, dalawang lalaking magkahawak-kamay: light na kulay ng balat, katamtamang light na kulay ng balat, hawak-kamay, kambal, katamtamang light na kulay ng balat, lgbt, lgbtqia, light na kulay ng balat, magkapareha, mga lalaki, nagmamahalan, queer, zodiac
👨🏻‍🤝‍👨🏽	Gemini, bakla, dalawang lalaking magkahawak-kamay, dalawang lalaking magkahawak-kamay: light na kulay ng balat, katamtamang kulay ng balat, hawak-kamay, kambal, katamtamang kulay ng balat, lgbt, lgbtqia, light na kulay ng balat, magkapareha, mga lalaki, nagmamahalan, queer, zodiac
👨🏻‍🤝‍👨🏾	Gemini, bakla, dalawang lalaking magkahawak-kamay, dalawang lalaking magkahawak-kamay: light na kulay ng balat, katamtamang dark na kulay ng balat, hawak-kamay, kambal, katamtamang dark na kulay ng balat, lgbt, lgbtqia, light na kulay ng balat, magkapareha, mga lalaki, nagmamahalan, queer, zodiac
👨🏻‍🤝‍👨🏿	Gemini, bakla, dalawang lalaking magkahawak-kamay, dalawang lalaking magkahawak-kamay: light na kulay ng balat, dark na kulay ng balat, dark na kulay ng balat, hawak-kamay, kambal, lgbt, lgbtqia, light na kulay ng balat, magkapareha, mga lalaki, nagmamahalan, queer, zodiac
👨🏼‍🤝‍👨🏻	Gemini, bakla, dalawang lalaking magkahawak-kamay, dalawang lalaking magkahawak-kamay: katamtamang light na kulay ng balat, light na kulay ng balat, hawak-kamay, kambal, katamtamang light na kulay ng balat, lgbt, lgbtqia, light na kulay ng balat, magkapareha, mga lalaki, nagmamahalan, queer, zodiac
👬🏼	Gemini, bakla, dalawang lalaking magkahawak-kamay, dalawang lalaking magkahawak-kamay: katamtamang light na kulay ng balat, hawak-kamay, kambal, katamtamang light na kulay ng balat, lgbt, lgbtqia, magkapareha, mga lalaki, nagmamahalan, queer, zodiac
👨🏼‍🤝‍👨🏽	Gemini, bakla, dalawang lalaking magkahawak-kamay, dalawang lalaking magkahawak-kamay: katamtamang light na kulay ng balat, katamtamang kulay ng balat, hawak-kamay, kambal, katamtamang kulay ng balat, katamtamang light na kulay ng balat, lgbt, lgbtqia, magkapareha, mga lalaki, nagmamahalan, queer, zodiac
👨🏼‍🤝‍👨🏾	Gemini, bakla, dalawang lalaking magkahawak-kamay, dalawang lalaking magkahawak-kamay: katamtamang light na kulay ng balat, katamtamang dark na kulay ng balat, hawak-kamay, kambal, katamtamang dark na kulay ng balat, katamtamang light na kulay ng balat, lgbt, lgbtqia, magkapareha, mga lalaki, nagmamahalan, queer, zodiac
👨🏼‍🤝‍👨🏿	Gemini, bakla, dalawang lalaking magkahawak-kamay, dalawang lalaking magkahawak-kamay: katamtamang light na kulay ng balat, dark na kulay ng balat, dark na kulay ng balat, hawak-kamay, kambal, katamtamang light na kulay ng balat, lgbt, lgbtqia, magkapareha, mga lalaki, nagmamahalan, queer, zodiac
👨🏽‍🤝‍👨🏻	Gemini, bakla, dalawang lalaking magkahawak-kamay, dalawang lalaking magkahawak-kamay: katamtamang kulay ng balat, light na kulay ng balat, hawak-kamay, kambal, katamtamang kulay ng balat, lgbt, lgbtqia, light na kulay ng balat, magkapareha, mga lalaki, nagmamahalan, queer, zodiac
👨🏽‍🤝‍👨🏼	Gemini, bakla, dalawang lalaking magkahawak-kamay, dalawang lalaking magkahawak-kamay: katamtamang kulay ng balat, katamtamang light na kulay ng balat, hawak-kamay, kambal, katamtamang kulay ng balat, katamtamang light na kulay ng balat, lgbt, lgbtqia, magkapareha, mga lalaki, nagmamahalan, queer, zodiac
👬🏽	Gemini, bakla, dalawang lalaking magkahawak-kamay, dalawang lalaking magkahawak-kamay: katamtamang kulay ng balat, hawak-kamay, kambal, katamtamang kulay ng balat, lgbt, lgbtqia, magkapareha, mga lalaki, nagmamahalan, queer, zodiac
👨🏽‍🤝‍👨🏾	Gemini, bakla, dalawang lalaking magkahawak-kamay, dalawang lalaking magkahawak-kamay: katamtamang kulay ng balat, katamtamang dark na kulay ng balat, hawak-kamay, kambal, katamtamang dark na kulay ng balat, katamtamang kulay ng balat, lgbt, lgbtqia, magkapareha, mga lalaki, nagmamahalan, queer, zodiac
👨🏽‍🤝‍👨🏿	Gemini, bakla, dalawang lalaking magkahawak-kamay, dalawang lalaking magkahawak-kamay: katamtamang kulay ng balat, dark na kulay ng balat, dark na kulay ng balat, hawak-kamay, kambal, katamtamang kulay ng balat, lgbt, lgbtqia, magkapareha, mga lalaki, nagmamahalan, queer, zodiac
👨🏾‍🤝‍👨🏻	Gemini, bakla, dalawang lalaking magkahawak-kamay, dalawang lalaking magkahawak-kamay: katamtamang dark na kulay ng balat, light na kulay ng balat, hawak-kamay, kambal, katamtamang dark na kulay ng balat, lgbt, lgbtqia, light na kulay ng balat, magkapareha, mga lalaki, nagmamahalan, queer, zodiac
👨🏾‍🤝‍👨🏼	Gemini, bakla, dalawang lalaking magkahawak-kamay, dalawang lalaking magkahawak-kamay: katamtamang dark na kulay ng balat, katamtamang light na kulay ng balat, hawak-kamay, kambal, katamtamang dark na kulay ng balat, katamtamang light na kulay ng balat, lgbt, lgbtqia, magkapareha, mga lalaki, nagmamahalan, queer, zodiac
👨🏾‍🤝‍👨🏽	Gemini, bakla, dalawang lalaking magkahawak-kamay, dalawang lalaking magkahawak-kamay: katamtamang dark na kulay ng balat, katamtamang kulay ng balat, hawak-kamay, kambal, katamtamang dark na kulay ng balat, katamtamang kulay ng balat, lgbt, lgbtqia, magkapareha, mga lalaki, nagmamahalan, queer, zodiac
👬🏾	Gemini, bakla, dalawang lalaking magkahawak-kamay, dalawang lalaking magkahawak-kamay: katamtamang dark na kulay ng balat, hawak-kamay, kambal, katamtamang dark na kulay ng balat, lgbt, lgbtqia, magkapareha, mga lalaki, nagmamahalan, queer, zodiac
👨🏾‍🤝‍👨🏿	Gemini, bakla, dalawang lalaking magkahawak-kamay, dalawang lalaking magkahawak-kamay: katamtamang dark na kulay ng balat, dark na kulay ng balat, dark na kulay ng balat, hawak-kamay, kambal, katamtamang dark na kulay ng balat, lgbt, lgbtqia, magkapareha, mga lalaki, nagmamahalan, queer, zodiac
👨🏿‍🤝‍👨🏻	Gemini, bakla, dalawang lalaking magkahawak-kamay, dalawang lalaking magkahawak-kamay: dark na kulay ng balat, light na kulay ng balat, dark na kulay ng balat, hawak-kamay, kambal, lgbt, lgbtqia, light na kulay ng balat, magkapareha, mga lalaki, nagmamahalan, queer, zodiac
👨🏿‍🤝‍👨🏼	Gemini, bakla, dalawang lalaking magkahawak-kamay, dalawang lalaking magkahawak-kamay: dark na kulay ng balat, katamtamang light na kulay ng balat, dark na kulay ng balat, hawak-kamay, kambal, katamtamang light na kulay ng balat, lgbt, lgbtqia, magkapareha, mga lalaki, nagmamahalan, queer, zodiac
👨🏿‍🤝‍👨🏽	Gemini, bakla, dalawang lalaking magkahawak-kamay, dalawang lalaking magkahawak-kamay: dark na kulay ng balat, katamtamang kulay ng balat, dark na kulay ng balat, hawak-kamay, kambal, katamtamang kulay ng balat, lgbt, lgbtqia, magkapareha, mga lalaki, nagmamahalan, queer, zodiac
👨🏿‍🤝‍👨🏾	Gemini, bakla, dalawang lalaking magkahawak-kamay, dalawang lalaking magkahawak-kamay: dark na kulay ng balat, katamtamang dark na kulay ng balat, dark na kulay ng balat, hawak-kamay, kambal, katamtamang dark na kulay ng balat, lgbt, lgbtqia, magkapareha, mga lalaki, nagmamahalan, queer, zodiac
👬🏿	Gemini, bakla, dalawang lalaking magkahawak-kamay, dalawang lalaking magkahawak-kamay: dark na kulay ng balat, dark na kulay ng balat, hawak-kamay, kambal, lgbt, lgbtqia, magkapareha, mga lalaki, nagmamahalan, queer, zodiac
💏	couple, halik, maghahalikan, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta
💏🏻	couple, halik, light na kulay ng balat, maghahalikan, maghahalikan: light na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta
💏🏼	couple, halik, katamtamang light na kulay ng balat, maghahalikan, maghahalikan: katamtamang light na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta
💏🏽	couple, halik, katamtamang kulay ng balat, maghahalikan, maghahalikan: katamtamang kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta
💏🏾	couple, halik, katamtamang dark na kulay ng balat, maghahalikan, maghahalikan: katamtamang dark na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta
💏🏿	couple, dark na kulay ng balat, halik, maghahalikan, maghahalikan: dark na kulay ng balat, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta
👩‍❤‍💋‍👨	babae, couple, halik, lalaki, maghahalikan, maghahalikan: babae, lalaki, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta
👨‍❤‍💋‍👨	couple, halik, lalaki, maghahalikan, maghahalikan: lalaki, lalaki, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta
👩‍❤‍💋‍👩	babae, couple, halik, maghahalikan, maghahalikan: babae, babae, magjowa, magkasintahan, pag-ibig, puso, romansa, sinta
💑	couple, magjowa, magkapareha, magkapareha na may puso, magkasintahan, pag-ibig, puso, romansa, sinta
💑🏻	couple, light na kulay ng balat, magjowa, magkapareha, magkapareha na may puso, magkapareha na may puso: light na kulay ng balat, magkasintahan, pag-ibig, puso, romansa, sinta
💑🏼	couple, katamtamang light na kulay ng balat, magjowa, magkapareha, magkapareha na may puso, magkapareha na may puso: katamtamang light na kulay ng balat, magkasintahan, pag-ibig, puso, romansa, sinta
💑🏽	couple, katamtamang kulay ng balat, magjowa, magkapareha, magkapareha na may puso, magkapareha na may puso: katamtamang kulay ng balat, magkasintahan, pag-ibig, puso, romansa, sinta
💑🏾	couple, katamtamang dark na kulay ng balat, magjowa, magkapareha, magkapareha na may puso, magkapareha na may puso: katamtamang dark na kulay ng balat, magkasintahan, pag-ibig, puso, romansa, sinta
💑🏿	couple, dark na kulay ng balat, magjowa, magkapareha, magkapareha na may puso, magkapareha na may puso: dark na kulay ng balat, magkasintahan, pag-ibig, puso, romansa, sinta
👩‍❤‍👨	babae, couple, lalaki, magjowa, magkapareha, magkapareha na may puso, magkapareha na may puso: babae, lalaki, magkasintahan, pag-ibig, puso, romansa, sinta
