‾	linha, linha superior, superior
↩️	curva, flecha, retorno, seta, seta curva da direita para a esquerda, seta curva da direita para esquerda, voltar à esquerda
↪️	curva, flecha, retorno, seta, seta curva da esquerda para a direita, seta curva da esquerda para direita, voltar à direita
⤴️	curva, flecha, seta, seta curva de baixo para cima, seta para a direita curvada para cima, seta para cima
⤵️	curva, embaixo, flecha, seta curva de cima para baixo, seta para a direita curvada para baixo, seta para baixo
🔃	flechas, recarregar, sentido horário, seta, setas, setas em sentido horário na vertical, setas verticais no sentido horário, símbolo de recarregar
🔄	anti-horário, atualizar, botão de setas em sentido anti-horário, botão de setas no sentido anti-horário, sentido anti-horário, seta, setas, setas em sentido anti-horário
🔙	flecha, seta, seta "BACK", seta para a esquerda, seta para voltar, voltar, voltar com seta para a esquerda
🔚	fim, fim com seta para a esquerda, final, seta, seta "END", seta para a esquerda, seta para ir para o fim
🔛	ON!, flecha, marca, on, seta, seta "ON!", seta “ON”
🔜	em breve, flecha, seta, seta "SOON", soon, símbolo “Soon”, “Soon” com seta para a direita
🔝	cima, para cima, seta, seta "TOP, seta "TOP", seta para cima, símbolo top, top, top com seta para cima
🛐	culto, local de culto, local sagrado, oração, religião, reza
⚛️	ateu, ateísmo, símbolo de átomo, símbolo do ateísmo, átomo
🕉️	hindu, om, religião
✡️	davi, estrela, estrela de Davi, judaico, judeu, religião
☸️	budista, dharma, religião, roda, roda do Dharma
☯️	religião, tao, taoista, taoistas, yang, yin, yin yang, yin-yang
✝️	cristão, cruz, cruz latina, religião
☦️	cristão, cruz, cruz ortodoxa, religião
☪️	estrela e lua crescente, islã, muçulmano, religião, símbolo islã
☮️	paz, símbolo, símbolo da paz
🕎	candelabro, candelabro judeu, castiçal, judaísmo, memorah, menorá, religião
🔯	adivinhação, destino, estrela de seis pontas, seis pontas
🪯	Deg Tegh Fateh, Khalsa, Sikh, Sikhismo, fé, khanda, religião, siquismo
♈️	carneiro, signo de Áries, zodíaco, Áries
♉️	boi, signo de Touro, touro, zodíaco
♊️	gêmeos, signo de Gêmeos, zodíaco
♋️	caranguejo, câncer, signo de Câncer, zodíaco
♌️	leão, signo de Leão, zodíaco
♍️	signo de Virgem, virgem, zodíaco
♎️	balança, justiça, libra, signo de Libra, signo de Virgem, zodíaco
♏️	escorpião, signo de Escorpião, zodíaco
♐️	arqueiro, sagitário, signo de Sagitário, zodíaco
♑️	cabra, capricórnio, signo de Capricórnio, zodíaco
♒️	aquário, signo de Aquário, zodíaco, água
♓️	peixes, signo de Peixes, zodíaco
⛎️	Ofiúco, Ophiuchus, cobra, serpente, signo de Ofiúco, zodíaco
🔀	botão de músicas aleatórias, cruzadas, flechas, seta, setas, setas cruzadas em direção à direita
🔁	botão de repetir, flechas, horário, repetir, sentido horário, seta, setas, setas em sentido horário
🔂	botão de repetir, botão de repetir uma única faixa, horário, número 1, repetir, repetir uma vez, sentido horário, seta, setas, setas em sentido horário com número 1, uma vez
▶	botão reproduzir, direita, play, reproduzir, seta, seta para a direita, triângulo
⏩	avançar, botão avançar, direita, dupla, flechas, passar para a frente, rápido, seta, seta dupla para a direita
⏭	avançar, botão de próxima faixa, flechas duplas, passar para frente, próxima cena, próxima faixa, seta, seta dupla para a direita
⏯	botão, botão de reproduzir ou pausar, direita, pausar, pause, play, reproduzir, reproduzir ou pausar, seta, seta para a direita, triângulo
◀	botão de voltar, esquerda, seta, seta para a esquerda, triângulo, voltar
⏪	botão de retroceder, dupla, esquerda, retroceder, seta, seta dupla para a esquerda, seta dupla para trás, voltar
⏮	anterior, botão de faixa anterior, cena anterior, faixa anterior, flechas para esquerda, seta, seta dupla para a esquerda, setas para a esquerda, triângulo, voltar, última faixa
🔼	acima, botão, botão apontando para cima, botão de triângulo apontando para cima, para cima, seta, triângulo, triângulo apontando para cima, vermelho
⏫	botão de avanço para cima, dupla, flechas para cima, para cima, seta, seta dupla para cima
🔽	botão, botão apontando para baixo, botão de triângulo apontando para baixo, para baixo, seta, triângulo, triângulo apontando para baixo, vermelho
⏬	botão de avanço para baixo, flechas, flechas para baixo, para baixo, retroceder rápido, seta, seta dupla para baixo
⏸️	barra, botão pausar, dupla, pausado, pausar, pause, vertical
⏹️	botão parar, parar, quadrado, stop
⏺️	botão, botão gravar, círculo, gravar
⏏️	botão ejetar, ejetar
🎦	cinema, entretenimento, filme, símbolo do cinema
🔅	botão de diminuir brilho, brilho, diminuir, escurecer, símbolo para reduzir brilho
🔆	aumentar brilho, botão de aumentar brilho, brilho, símbolo para aumentar brilho
📶	antena, antena com barras, barras de sinal, celular, conexão, força do sinal, internet, sinais de telefonia móvel, telefone
🛜	banda larga, computador, conectividade, internet, ponto de acesso, rede, roteador, sem fio, smartphone, wi-fi, wifi, wireless
📳	cel, celular, modo, modo vibratório, smartphone, telefone, vibração
📴	celular, desligado, desligue o celular, smartphone, telefone, telefone celular desligado
♀️	feminino, mulher, símbolo de feminino
♂️	homem, masculino, símbolo de masculino
⚧️	símbolo transgênero, transgênero
✖️	X, X preto, cancelar, multiplicar, multiplicação, sinal de multiplicação, x de multiplicação, ×
➕️	+, cruz, mais, matemática, sinal, sinal de maior, sinal de mais, somar, símbolo de adição
➖️	-, diminuir, matemática, menos, sinal, sinal de menos, símbolo de subtração, travessão, −
➗️	dividir, divisão, matemática, sinal, sinal de divisão, sinal de divisão grande, símbolo de divisão, ÷
🟰	conta, iguais, igual, igualdade, matemática, resposta, resultado, sinal de igual
♾️	eternidade, ilimitado, infinito, universal
‼️	!, !!, dupla exclamação, exclamação, exclamação dupla, explosão, ponto de exclamação duplo, pontuação
⁉️	!, !?, ?, exclamação, exclamação com interrogação, interrogação, pergunta, pontuação, sinal
❓️	?, interrogação, pergunta, ponto, ponto de interrogação, ponto de interrogação vermelho, pontuação, sinal
❔️	?, delineado, interrogação, pergunta, ponto de interrogação branco, pontuação, sinal
❕️	!, delineado, exclamação, mark, ponto, ponto de exclamação branco, pontuação, sinal
❗️	!, exclamação, ponto de exclamação, ponto de exclamação vermelho, pontuação
〰️	onda, ondulado, pontuação, travessão, travessão ondulado
💱	banco, câmbio, câmbio de moeda, dinheiro, moeda
💲	cifrão, dinheiro, dólar, grana, moeda, símbolo do dólar, símbolo do dólar em negrito
⚕️	bastão de asclépio, esculápio, medicina, símbolo, símbolo da medicina
♻️	reciclagem, reclicar, sinal, símbolo de reciclagem, símbolo de reciclagem sólido universal
⚜	cavaleiros, flor-de-lis, símbolo
🔱	emblema, emblema de tridente, ferramenta, navio, símbolo de tridente, tridente, âncora
📛	crachá, identificação, nome
🔰	folha verde e amarela, iniciante, japonês, símbolo japonês de principiante, símbolo japonês para iniciante, verde e amarela, verde e amarelo
⭕️	aro, círculo, círculo grande oco, círculo vermelho vazio, grande, o, vermelho
✅️	botão, check, completo, feito, marca, marca de seleção branca, marca de verificação, marca de verificação grande, verificado, verificação, ✓
☑️	caixa, caixa de seleção marcada com tique, check, feito, marca de verificação, marca de verificação cinza, verificação, ✓
✔️	check, feito, marca, marca de seleção, marca de verificação simples, marcar, selecionar, verificação, ✓
❌️	X, cancelar, multiplicar, multiplicação, vermelho, xis, ×
❎️	botão com x, botão de caixa com X, botão de xis, marcado, multiplicar, quadrado, x, x em um quadrado verde, x verde, ×
➰️	laço encaracolado, loop, onda, ondulado, volta
➿️	duas vezes, duplo, encaradolado, loop, loop encaracolado duas vezes, onda, ondulado
〽️	canto, japonês, sinal japonês indicando início de música, símbolo japonês de canto
✳️	*, asterisco, asterisco de oito pontas, estrela
✴️	*, estrela, estrela de oito pontas, oito pontas
❇️	*, cruz, faísca
©️	Copyright, copyright, direitos autorais, símbolo de copyright
®️	Marca registrada, Marca registrada “R”, marca registrada, marca registrada “R”, símbolo de registrado
™️	Marca registrada “TM”, marca registrada, marca registrada “TM”, símbolo, símbolo de marca registrada
🫟	mancha, pingo, respingo, tinta
#⃣	tecla, tecla: #
*⃣	tecla, tecla: *
0⃣	tecla, tecla: 0
1⃣	tecla, tecla: 1
2⃣	tecla, tecla: 2
3⃣	tecla, tecla: 3
4⃣	tecla, tecla: 4
5⃣	tecla, tecla: 5
6⃣	tecla, tecla: 6
7⃣	tecla, tecla: 7
8⃣	tecla, tecla: 8
9⃣	tecla, tecla: 9
🔟	tecla, tecla: 10
🔠	ABCD, caracteres latinos maiúsculos, digitação, inserir caracteres latinos maiúsculos, latinas, letras, letras latinas maiúsculas, maiúsculas, maiúsculos
🔡	abcd, caracteres latinos minúsculos, digitação, latinas, latino, letras, letras latinas minúsculas, minúsculas, minúsculos
🔢	1234, digitação, inserir números, números
🔣	digitação, inserir símbolos, símbolos, 〒♪&%
🔤	ABC, abc, alfabeto, digitação, inglês, inserir alfabeto latino, latinas, latino, letras, letras latinas
🅰️	A, botão A (tipo sanguíneo), sangue, tipo A, tipo sanguíneo, tipo sanguíneo A
🆎	AB, botão AB (tipo sanguíneo), sangue, tipo AB, tipo sanguíneo, tipo sanguíneo AB
🅱️	B, botão B (tipo sanguíneo), sangue, tipo B, tipo sanguíneo, tipo sanguíneo B
🆑	CL, botão CL, cl, limpar, símbolo do CL
🆒	botão "COOL", botão cool, cool, legal, símbolo “cool”
🆓	botão "FREE", free, gratuito, grátis, símbolo, símbolo “Free”
ℹ️	i, informação, informações, símbolo, símbolo de informações
🆔	ID, botão ID, identidade, símbolo, símbolo “ID”
Ⓜ️	círculo, círculo com a letra M, letra M, m
🆕	Novo, botão "NEW", new, símbolo
🆖	NG, botão NG, símbolo, símbolo “NG”
🅾️	O, botão O (tipo sanguíneo), sangue, tipo O, tipo sanguíneo, tipo sanguíneo O
🆗	botão OK, ok, sim, símbolo “OK”
🅿️	botão P, estacionamento, estacionar, garagem de carros
🆘	Ajuda, SOS, Socorro, botão SOS, símbolo, símbolo “SOS”
🆙	UP!, botão "UP!", para cima, símbolo, símbolo “UP!”, up
🆚	botão VS, botão vs, símbolo, símbolo “vs”, versus, vs
🈁	"aqui", alfabeto, botão "aqui", botão japonês de “aqui”, japonês, katakana, koko, “aqui”, ココ
🈂️	alfabeto, botão japonês de “taxa de serviço”, japonês, katakana, katanaka, sa, taxa de serviço, “taxa de serviço”, サ
🈷	alfabeto, botão japonês de “quantidade mensal”, ideograma, ideográfico, japonês, valor mensal, “quantidade mensal”, 月
🈶	alfabeto, botão japonês de “não gratuito”, ideograma, ideográfico, japonês, não gratuito, “não gratuito”, 有
🈯	alfabeto, botão japonês de “reservado”, ideograma, ideográfico, japonês, reservado, “reservado”, 指
🉐	alfabeto, barganha, botão japonês de “barganha”, ideograma, ideográfico, japonês, pechincha, “barganha”, 得
🈹	alfabeto, botão japonês de “desconto”, desconto, ideograma, ideográfico, japonês, “desconto”, 割
🈚	alfabeto, botão japonês de “gratuito”, de graça, grátis, ideograma, ideográfico, japonês, sem custo, “gratuito”, 無
🈲	alfabeto, botão japonês de “proibido”, ideograma, ideográfico, ideográfico quadrado “proibir”, japonês, proibido, proibir, “proibido”, 禁
🉑	aceitar, alfabeto, botão japonês de “aceitável”, chinês, ideograma, ideográfico circular “aceitar”, japonês, “aceitável”, 可
🈸	alfabeto, aplicar, botão japonês de “aplicação”, chinês, ideograma, ideográfico quadrado “aplicar”, japonês, “aplicação”, 申
🈴	alfabeto, botão japonês de “nota mínima”, chinês, ideograma, ideográfico, ideográfico quadrado “juntos”, japonês, juntos, “nota mínima”, 合
🈳	alfabeto, botão japonês de “vago”, ideograma, ideográfico, japonês, vaga, vago, vazio, “vago”, 空
㊗️	alfabeto, botão japonês de “parabéns”, ideograma, ideográfico, ideográfico circular “parabéns”, janonês, japonês, parabéns, “parabéns”, 祝
㊙️	alfabeto, botão japonês de “segredo”, ideograma, ideográfico, ideográfico circular “segredo”, japonês, segredo, “segredo”, 秘
🈺	botão japonês de “aberto para negócios”, chinês, ideograma, ideográfico quadrado “operando”, japonês, operando, “aberto para negócios”, 営
🈵	alfabeto, botão japonês de “sem vagas”, completude, ideograma, ideográfico, ideográfico quadrado “completude”, japonês, “sem vagas”, 満
🔴	bola vermelha, círculo, círculo vermelho, círculo vermelho grande, geométrico, vermelho
🟠	círculo, círculo laranja, laranja
🟡	amarelo, círculo, círculo amarelo
🟢	círculo, círculo verde, verde
🔵	azul, bolinha azul, círculo, círculo azul, círculo azul grande, geométrico
🟣	círculo, círculo roxo, roxo
🟤	círculo, círculo marrom, marrom
⚫️	círculo, círculo preto, geométrico, preto
⚪️	branco, círculo, círculo branco, geométrico
🟥	quadrado, quadrado vermelho, vermelho
🟧	laranja, quadrado, quadrado laranja
🟨	amarelo, quadrado, quadrado amarelo
🟩	quadrado, quadrado verde, verde
🟦	anil, azul, quadrado, quadrado azul
🟪	púrpura, quadrado, quadrado roxo, roxo
🟫	marrom, quadrado, quadrado marrom
⬛️	geométrico, preto, quadrado, quadrado preto grande
⬜️	geométrico, quadrado, quadrado branco grande
◼️	geométrico, quadrado, quadrado preto médio
◻️	geométrico, quadrado, quadrado branco médio
◾️	geométrico, preto, quadrado, quadrado preto médio menor
◽️	branco, geométrico, quadrado, quadrado branco médio menor
▪️	geométrico, pequeno, preto, quadrado, quadrado preto pequeno
▫️	branco, geométrico, pequeno, quadrado, quadrado branco pequeno
🔶	cor de laranja, diamante, diamante cor de laranja grande, diamante laranja grande, geométrico, laranja, losango, losango laranja grande
🔷	azul, balão, diamante, diamante azul grande, geométrico, losango, losango azul grande
🔸	cor de laranja, diamante, diamante cor de laranja pequeno, diamante laranja pequeno, geométrico, laranja, losango, losango laranja pequeno
🔹	azul, diamante, diamante azul pequeno, geométrico, losango, losango azul pequeno
🔺	geométrico, triangulo vermelho para cima, triângulo, triângulo vermelho apontando para cima, triângulo vermelho para cima, vermelho
🔻	geométrico, triangulo vermelho para baixo, triângulo, triângulo vermelho apontando para baixo, triângulo vermelho para baixo, vermelho
💠	cômico, dentro, diamante, diamante com ponto, diamante com um ponto, formato de diamante, geométrico
