‾	nadcrta
🍋	citrus, kiselo, limun, voće
🍋‍🟩	citrus, citrusi, kiselo, kiselost, koktel, limeta, margarita, mohito, osvežavajuće, oštro, salsa, sok, tekila, tropsko, voće, zeleno
🍌	banana, kalijum, voće
🍍	ananas, tropsko, voće
🥭	hrana, mango, tropsko, voće
🍎	crvena, crvena jabuka, jabuka, pita, voće, zdravlje, zrelo
🍏	jabuka, voće, zelena, zelena jabuka
🍐	kruška, voće
🍑	breskva, voće
🍒	trešnja, trešnje, voće
🍓	biljka, jagoda, voće
🫐	borovnica, borovnice, hrana, plavo, voće
🥝	hrana, kivi, voće
🍅	hrana, paradajz, povrće, voće
🫒	hrana, maslina, masline, maslinka
🥥	kokos, palma, pinakolada
🥑	avokado, hrana, voće
🍆	patlidžan, povrće
🥔	hrana, krompir, povrće
🥕	hrana, povrće, šargarepa
🌽	farma, klip, klip kukuruza, kukuruz, usevi
🌶️	ljuta papričica, ljuto, papričica
🫑	babura, hrana, paprika, povrće
🥒	hrana, krastavac, povrće, turšija
🥬	blitva, kelj, kupus, lisnato zeleno povrće, salata
🥦	brokoli, divlji, kupus
🧄	beli, beli luk, luk, začin
🧅	crni, crni luk, luk, začin
🥜	hrana, kikiriki, orašasto, povrće
🫘	graške, hrana, mahunarke, malo, pasulj
🌰	badem, biljka, kesten
🫚	koren, koren đumbira, pivo, začin, đumbir
🫛	edamame, grašak, mahuna, mahuna graška, mahunarka, povrće
🍄‍🟫	gljiva, gljive, hrana, nadev, pečurka, pečurke, pica, portobelo, povrće, priroda, smeđa pečurka, spore, tartuf, vegetarijanci, vegi, vrganj, šitake
🫜	bašta, bela repa, koren, korenasto povrće, povrće, repa
🍞	hleb, restoran, tost, vekna
🥐	doručak, francuski, hleb, hrana, kroasan, pecivo
🥖	baget, francuski, hleb, hrana, pecivo
🫓	arepa, hrana, lavaš, nan, pita hleb, pljosnat, pljosnat hleb
🥨	pereca, uvrnuto
🥯	bejgl, doručak, hleb, namaz, pekara, đevrek
🥞	doručak, hrana, palačinka, palačinke
🧇	doručak, gvožđe, neodlučan, vafl
🧀	kriška, kriška sira, sir
🍖	kost, meso, meso sa koskom
🍗	batak, glad, kost, piletina, živina
🥩	biftek, govedina, jagnjetina, meso, odrezak, parče mesa, svinjetina, šnicla
🥓	doručak, hrana, meso, slanina, slaninica
🍔	glad, hamburger, hrana, jesti, pljeska, pljeskavica
🍟	hrana, krompir, pomfrit
🍕	hrana, kulen, parče, pica, sir
🌭	hot-dog, kobasica, viršla
🥪	hleb, sendvič
🌮	meksička, meksičko, tako
🌯	burito, meksička, meksički, umotano, zavitak
🫔	hrana, meksički, tamale, zavitak
🥙	falafel, giros, hrana, kebab, punjeno, tortilja
🧆	falafel, leblebije, ćufte
🥚	doručak, hrana, jaje
🍳	doručak, jaje, jaje u tiganju, lako, oko, pečeno, restoran, tiganj
🥘	hrana, paelja, plitko, tava, tiganj, tiganj hrane
🍲	gulaš, hrana, lonac, supa, činija hrane, čorba
🫕	fondu, hrana, sir, topljeno, čokolada, šerpa, švajacarski
🥣	doručak, kašika, ovas, pahuljice, činija sa kašikom
🥗	hrana, salata, zelena salata, zeleno
🍿	film, kokice
🧈	maslac, puter
🧂	slanik, so, začin
🥫	hrana, konzerva, konzervirana hrana, konzervirano
🍱	kutija, kutija sa ručkom, ručak
🍘	hrana, keks, kreker, kreker od pirinča, pirinač
🍙	hrana, japansko, kuglica, kuglica od pirinča, pirinač
🍚	hrana, kuvani, kuvani pirinač, pirinač
🍛	hrana, kari, pirinač, pirinač sa karijem
🍜	hrana, para, ramen, rezanci, supa, vruća činija, činija, štapići
🍝	hrana, italijansko, pasta, testenine, ćufte, špagete
🍠	batat, hrana, krompir, pečeni slatki krompir, pečeno, slatki
🍢	hrana, kebab, oden, ražnjić, restoran, štapić
🍣	hrana, suši
🍤	prženi škampi, prženo, račić, tempura, škampi
🍥	kolač, restoran, riba, riblja pljeskavica sa spiralom, spirala, testo
🥮	festival, jesen, kolač, mesec, mesečev kolač
🍡	dango, desert, japanski, ražnjić, slatko, štapić
🥟	empanada, knedla, piroge
🥠	kolačić, kolačić sudbine, predskazanje, sudbina
🥡	dostava, hrana, kineska, kutija, kutija za hranu
🦀	kraba, rak, zodijak
🦞	bisk, jastog, klešta, more, životinja
🦐	hrana, rak, račić
🦑	hobotnica, hrana, lignje, životinja
🦪	biser, ostriga, ronjenje
🍦	desert, kornet, krem, led, mekano, sladoled, sladoled u kornetu, slatko
🍧	desert, led, slatko, sorbe
🍨	desert, krem, led, sladoled, slatko
🍩	desert, doručak, krofna, slatko
🍪	desert, keks, kolačić, slatko, čokolada
🎂	proslava, rođendan, rođendanska torta, slatko, svećice, testo, torta
🍰	desert, kolač, parče, parče torte, slatko, testo, torta
🧁	desert, kapkejk, pekara, slatkiš, slatko
🥧	fil, parče, pecivo, pita, voće
🍫	desert, slatko, čokolada, čokoladica
🍬	bombona, desert, slatkiš, slatko
🍭	bombona, desert, lizalica, slatko
🍮	desert, krempita, puding, slatko
🍯	hrana, med, slatko, ćup, ćup sa medom
🍼	beba, bočica, flašica, flašica za bebe, mleko, piti
🥛	mleko, piće, čaša, čaša mleka
☕️	kafa, napitak, topli napitak, toplo, vruće, čaj
🫖	hrana, piće, čaj, čajnik
🍵	napitak, piti, čaj, šolja, šoljica, šoljica bez drške
🍶	bar, boca, napitak, piće, restoran, sake, šolja
🍾	bar, boca, boca iz koje izleće čep, pampur, piće, čep, šampanjac
🍷	alkohol, bar, napitak, piće, vino, čaša, čaša vina
🍸️	alkohol, bar, koktel, martini, piće, čaša
🍹	alkohol, bar, klub, maj, piće, taj, tropsko, tropsko piće
🍺	alkohol, bar, krigla, krigla piva, pivo, piće, čaša
🍻	bar, krigla, krigle piva koje se kucaju, kucanje, nazdravljanje, pivo, piće, živeli
🥂	piće, proslava, slavlje, čaše, čaše nazdravljaju
🥃	piće, viski, čaša, čaša za žestinu, žestina
🫗	nezgoda, piće, prazno, prosuti, sipanje, sipanje tečnosti, sipati, slučajno, ups, voda, čaša
🥤	gazirano, slamčica, sok, čaša, čaša sa slamčicom
🧋	bobice, hrana, mleko, tajvan, čaj, čaj sa bobicama
🧃	cevčica, piće, piće u tetrapaku, slamčica, slatko, sok, tetrapak
🧉	mate, piće
🧊	kocka, kocka leda, kockica, led, piće
🥢	haši, štapići
🍽️	kuvanje, nož, tanjir, večera, viljuška, viljuška i nož sa tanjirom
🍴	escajg, glad, hrana, jesti, kuvanje, njam, nož, pribor, ukusno, viljuška, viljuška i nož
🥄	escajg, kašika
🔪	alat, hočo, kuhinja, kuhinjski nož, kuvanje, kuvar, nož, oružje
🫙	ništa, ostava, prazno, sos, tegla, zimnica, čuvati
🏺	amfora, krčag, kuvanje, oružje, piće, vodolija, zodijak
🌍	Afrika, Evropa, Evropa-Afrika, Zemlja, globus, globus sa Evropom i Afrikom, kugla, svet, zemlja
🌎️	Amerika, Zemlja, globus, globus sa Amerikom, južna, kugla, severna, svet, zemlja
🌏	Australija, Azija, Azija-Australija, Zemlja, globus, globus sa Azijom i Australijom, kugla, svet, zemlja
🌐	Zemlja, globalno, globus, globus sa meridijanima, internet, kugla, meridijani, svet, veb, zemlja
🗺️	karta, mapa, mapa sveta, svet
🗾	Japan, karta, mapa, mapa Japana
🧭	kompas, magnetni, navigacija, orijentacija
🏔️	hladno, planina, sneg, snežni vrh planine, vrh
⛰️	planina
🌋	erupcija, planina, priroda, vulkan
🗻	fudži, planina, planina fudži, priroda
🏕️	kampovanje
🏖️	plaža, plaža sa suncobranom, suncobran
🏜️	pustinja
🏝️	ostrvo, pustinja, pusto ostrvo
🏞️	nacionalni, nacionalni park, park
🏟️	stadion
🏛️	antika, antička građevina, građevina
🏗️	gradilište, gradnja, kran
🧱	cigla, cigle Add, glina, malter, zid
🪨	gromada, kamen, stena, teško, čvrsto
🪵	cepanica, deblo, drvo, panj
🛖	dom, jurta, koliba, kuća, sklonište
🏘️	kuća, kuće
🏚️	dom, kuća, zapuštena kuća, zapušteno
🏠️	dom, kuća
🏡	bašta, dom, kuća, kuća sa baštom, predgrađe
🏢	grad, kancelarija, posao, poslovna zgrada, zgrada
🏣	japanska pošta, japansko, pošta, zgrada
🏤	Evropa, evropsko, pošta, zgrada
🏥	bolnica, lekar, medicina, zgrada
🏦	banka, zgrada
🏨	hotel, zgrada
🏩	hotel, ljubav, ljubavni hotel, zgrada
🏪	24 zgrada, prodavnica, prodavnica mešovite robe, sata
🏫	zgrada, škola
🏬	prodavnica, roba, robna kuća, zgrada
🏭️	fabrika, zgrada
🏯	Japan, dvorac, japanski, japanski dvorac, zgrada
🏰	Evropa, dvorac, evropski, zgrada
💒	kapela, romantika, venčanje
🗼	Tokio, tokijski toranj, toranj
🗽	Njujork, kip, kip slobode, sloboda
⛪️	crkva, hrišćanstvo, kapela, krst, religija, zgrada
🕌	džamija, islam, muslimani, religija
🛕	hindu, hindu hram, hram
🕍	hram, jevreji, judaizam, religija, sinagoga
⛩️	hram, religija, svetilište, šintoistički hram, šintoizam
🕋	islam, kaba, muslimani, religija
⛲️	fontana
⛺️	kampovanje, šator
🌁	magla, maglovito
🌃	noć, zvezdana noć, zvezdano, zvezde
🏙️	grad, gradski, gradski pejzaž, pejzaž
🌄	izlazak, izlazak sunca iznad planina, jutro, planina, sunce, svitanje, zora
🌅	izlazak sunca, jutro, priroda, sunce, svitanje, zora
🌆	grad, grad u sumrak, pejzaž, sumrak, sunce, suton, veče, zalazak, zgrada
🌇	sumrak, sunce, suton, zalazak, zalazak sunca, zgrada
🌉	most, most noću, noć, noću
♨️	izvor, para, termalni izvori, termalno, vruće
🎠	konj, konj sa vrteške, vrteška
🛝	igra, igralište, park, tobogan
🎡	panorama, panoramska vrteška, vrteška
🎢	rolerkoster, voz, zabava
💈	berberin, berbernica, frizer, stub, znak, znak za berbernicu
🎪	cirkus, cirkuski šator, šator
🚂	lokomotiva, mašina, para, putovanje, voz, železnica
🚃	električni, pruga, tramvaj, trolejbus, vagon, voz, vozilo, železnica
🚄	brzi voz, brzina, voz, šinkansen, železnica
🚅	brzi voz sa zaobljenim vrhom, brzina, putovanje, voz, vrh, zaobljeno, šinkansen, železnica
🚆	voz, železnica
🚇️	metro, podzemna, železnica
🚈	grad, gradska železnica, monorejl, železnica
🚉	stanica, voz, železnica
🚊	tramvaj, trolejbus
🚝	monorejl, vozilo
🚞	planina, planinska železnica, putovanje, vagon, železnica
🚋	tramvaj, trolejbus, vagon, vagon tramvaja
🚌	autobus, vozilo, škola
🚍️	autobus, autobus spreda, dolazak, spreda
🚎	autobus, tramvaj, trolejbus, vozilo
🚐	kombi, minibus, vozilo, vožnja
🚑️	ambulanta, hitna, hitna pomoć, vozilo
🚒	kamion, požar, vatrogasci, vatrogasni kamion, vozilo
🚓	automobil, patrola, policija, policijski automobil
🚔️	automobil, dolazak, policija, policijski automobil spreda, spreda
🚕	taksi, vozilo
🚖	dolazak, spreda, taksi, taksi spreda
🚗	auto, automobil, vozilo, vožnja
🚘️	auto, automobil, automobil spreda, dolazak, spreda, vozilo
🚙	auto, kamp-vozilo, rekreacija, vozilo, vožnja
🛻	auto, kamionet, pikap, pikap vozilo, teretno, transport, vozilo
🚚	dostava, kamion, teretni kamion, teretno, vozilo
🚛	kamion, kamion sa prikolicom, prikolica, selidba, vozilo
🚜	traktor, vozilo
🏎️	automobil, trka, trkački, trkački automobil
🏍️	motocikl, trka
🛵	motor, skuter
🦽	kolica, kolica na ručni pogon, mehaničko, pristupačnost, ručno
🦼	kolica, motor, motorna, motorna kolica, pristupačnost
🛺	auto, auto rikša, rikša, tuk
🚲️	bicikl, biciklista, vožnja, điro
🛴	trotinet
🛹	skejt, skejtbord, točkovi
🛼	koturaljka, roleri, rolšua, sport
🚏	autobus, autobuska, autobuska stanica, stanica
🛣️	autoput, put
🛤️	pruga, voz, železnica, železnička pruga
🛢️	bure, bure nafte, nafta
⛽️	benzin, benzinska, dizel, gorivo, pumpa, pumpa za gorivo, stanica
🛞	auto, guma, krug, skrenuti, točak, vozilo
🚨	policija, policijska rotacija, rotacija, rotaciono, svetlo, uzbuna, vozilo
🚥	horizontalni, horizontalni semafor, raskrsnica, saobraćaj, semafor, signalizacija, svetlo
🚦	raskrsnica, saobraćaj, semafor, signalizacija, svetlo, vertikalni, vertikalni semafor
🛑	osmougao, stop, znak, znak stop
🚧	prepreka, radovi, radovi u toku
⚓️	alat, brod, sidro
🛟	bova, plivanje, plutanje, pojas, pojas za spasavanje, spas, spasavanje, spasilac, spasiti
⛵️	jahta, jedrenjak, more, odmor, čamac
🛶	kanu, čamac
🚤	gliser, jezero, leto, luksuz, putovanje, čamac
🛳️	brod, putnik, putnički, putnički brod
⛴️	trajekt, čamac
🛥️	jahta, vozilo, čamac
🚢	brod, putnik, vozilo
✈️	avion, putovanje, vozilo
🛩️	avion, mali, mali avion, vozilo
🛫	avion, odlazak, poletanje, poletanje aviona
🛬	avion, dolazak, sletanje, sletanje aviona
🪂	jedro, padobran, paraglajding
💺	fotelja, sedište
🚁	helikopter, putovanje, vozilo
🚟	viseća, viseća železnica, železnica
🚠	gondola, planina, planinska žičara, vozilo, žičara
🚡	gondola, tramvaj, vazduh, viseći, viseći tramvaj, vozilo, žičara
🛰️	satelit, svemir
🚀	lansiranje, putovanje, raketa, svemir
🛸	NLO, leteći, leteći tanjir, tanjir, vanzemaljci
🛎️	hotel, recepcija, zvono, zvono na recepciji
🧳	kofer, pakovanje, prtljag, putovanje
⌛️	pesak, peščani, peščani sat, sat, tajmer, vreme
⏳️	pesak, peščani, peščani sat sa peskom koji teče, sat, tajmer, vreme
⌚️	sat, vreme, časovnik
⏰️	alarm, budilnik, kašnjenje, sat, čekanje
⏱️	sat, vreme, štoperica
⏲️	sat, tajmer
🕰️	sat, stoni, stoni sat
🕛️	00, 12, 12:00, dvanaest, dvanaest sati, sat, sati
🕧	12, 12:30, 30, dvanaest, jedan, pola, pola jedan, sat, trideset
🕐️	00, 1, 1:00, jedan, jedan sat, sat
🕜	1, 1:30, 30, dva, jedan, pola, pola dva, trideset
🕑️	00, 2, dva, dva sata, sat
🕝	2, 2:30, 30, dva, pola, pola tri, sat, tri, trideset
🕒️	00, 3, 3:00, sat, tri, tri sata
🕞	3, 30, 3:30, pola, pola četiri, sat, tri, trideset, četiri
🕓️	00, 4, 4:00, sat, četiri, četiri sata
🕟	30, 4, 4:30, pet, pola, pola pet, sat, trideset, četiri
🕔️	00, 5, 5:00, pet, pet sati, sat
🕠	30, 5, 5:30, pet, pola, pola šest, sat, trideset, šest
🕕️	00, 6, 6:00, sat, šest, šest sati
🕡	30, 6, 6:30, pola, pola sedam, sat, sedam, trideset, šest
🕖️	0, 7, 7:00, sat, sedam, sedam sati
🕢	30, 7, 7:30, osam, pola, pola osam, sat, sedam, trideset
🕗️	8, 8:00, osam, osam sati, sat
🕣	30, 8, 8:30, devet, osam, pola, pola devet, trideset
🕘️	9, 9:00, devet, devet sati, sat
🕤	30, 9, 9:30, deset, devet, pola, pola deset, sat, trideset
🕙️	0, 10, 10:00, deset, deset sati, sat
🕥	10, 10:30, 30, deset, jedanaest, pola, pola jedanaest, sat, trideset
🕚️	11, 11:00, jedanaest, jedanaest sati, sat
🕦	11, 11:30, 30, dvanaest, jedanaest, pola, pola dvanaest, sat, trideset
🌑	mesec, mlad, mlad mesec, mrak, svemir
🌒	mesec, mesečev srp u porastu, polumesec, rast, svemir
🌓	mesec, mesec u prvoj četvrti, prva, svemir, četvrt
🌔	mesec, pun, rast, skoro, skoro pa pun mesec, svemir
🌕️	mesec, pun, pun mesec, svemir
🌖	mesec, mesec posle punog meseca, opadanje, posle, pun opadanje
🌗	mesec, mesec u poslednjoj četvrti, poslednja, svemir, četvrt
🌘	mesečev srp u opadanju, opadanje, polumesec, srp, svemir
🌙	Ramadan, mesec, mesečev srp, polumesec, srp
🌚	lice, mesec, mlad, mlad mesec sa licem, svemir
🌛	lice, mesec, mesec u prvoj četvrti sa licem, prva, svemir, četvrt
🌜️	lice, mesec, mesec u poslednjoj četvrti sa licem, poslednja, snovi, četvrt
🌡️	termometar, vreme
☀️	sunce, sunčano, svemir, vedro, vreme, zraci
🌝	lice, mesec, pun, pun mesec sa licem, vedro
🌞	lice, plaža, sunce, sunce sa licem, sunčano, vedro, vreme
🪐	planeta, planeta sa prstenom, prsten, saturn
⭐️	astronomija, belo, zvezda, zvezde
🌟	iskre, noć, sjaj, zvezda, zvezda koja svetli
🌠	noć, padalica, padanje, svemir, zvezda, zvezda padalica
🌌	mlečni, mlečni put, put, svemir
☁️	oblak, vreme
⛅️	oblak, oblačno, sunce, sunce iza oblaka, vreme
⛈️	grmljavina, kiša, munja, oblak, oblak sa munjom i kišom, vreme
🌤️	iza, oblak, sunce, sunce iza malog oblaka, vreme
🌥️	iza, oblak, sunce, sunce iza velikog oblaka, vreme
🌦️	iza, kiša, oblak, sunce, sunce iza kišnog oblaka, vreme
🌧️	kiša, oblak, oblak sa kišom, vreme
🌨️	hladno, oblak, oblak sa snegom, sneg, vreme
🌩️	munja, oblak, oblak sa munjom, vreme
🌪️	oblak, tornado, vreme, vrtlog
🌫️	magla, oblak, vreme
🌬️	duvanje, lice, lice vetra, oblak, vetar
🌀	ciklon, tajfun, uragan, vreme, vrtlog, vrtoglavica
🌈	duga, gej, kiša, lgbt, prajd, priroda, vreme
🌂	kiša, kišobran, odeća, zatvoreni kišobran, zatvoreno
☂️	kiša, kišobran, odeća
☔️	kap, kiša, kišobran, kišobran sa kapima kiše, odeća, vreme
⛱️	kiša, kišobran, sunce, suncobran na zemlji, zemlja
⚡️	grom, munja, napon, opasnost, priroda, struja, udar, visok, visok napon
❄️	hladno, pahulja, sneg, vreme
☃️	hladno, sneg, sneško, sneško belić
⛄️	hladno, sneg, sneško, sneško belić bez snega
☄️	kometa, svemir
🔥	alat, gori, plamen, vatra
💧	hladno, kap, kapljica, priroda, strip, suza, tuga, znoj
🌊	okean, priroda, surfer, surfovanje, talas, voda
🎃	noć, proslava, svetiljka, svetiljka od bundeve, tikva, veštica
🎄	božić, božićna jelka, jelka, proslava
🎆	bum, proslava, vatromet, zabava
