‾	үстіңгі сызық
🦤	Маврикий, дронт, жануар, жойылу, ірі, құс
🪶	жазу, жеңіл, қауырсын, құс, ұшу
🦩	алаулы, тропикалық, фламинго, құс
🦚	даңғой, менмен, тауыс, құс
🦜	сөйлесу, тотықұс, қарақшы, құс
🪽	діни, мифология, періште, қалқу, қанат, ұшу
🐦‍⬛	балапан, жануар, тұмсық, қара, қарға, қарқылдау, құзғын, құс, ұзақ
🪿	ата қаз, ақымақ, жануар, қаз, құс, үйрек
🐦‍🔥	ажалсыз, жалын құс, көтерілу, реинкарнация, тірілу, фантастика, феникс, қайта тірілу, қиял, қиял, қиял құс, фантастика, қайта туу
🐸	бақа, бақаның беті, бет, жануар
🐊	жануар, жасыл, жыртқыш, зообақ, қолтырауын
🐢	жануар, тасбақа
🦎	бауырымен жорғалаушы, жануар, кесіртке
🐍	Жыланұстар, жылан, зодиак, көтеруші
🐲	айдаһар, айдаһардың беті, бет, ертегі
🐉	айдаһар, ертегі, қытай
🦕	брахиозавр, бронтозавр, динозавр, диплодок, ескі, жануар, жасыл, зауропод, көне
🦖	Ти-рекс, Тираннозавр рекс, жануар, жыртқыш, тираннозавр
🐳	бет, жануар, жағажай, кит, мұхит, су бүрку, су бүркіп тұрған кит
🐋	жануар, кит
🐬	бассейн, дельфин, жануар, жағажай, жүзбеқанат
🦭	жануар, итбалық, теңіз, теңіз арыстаны
🐟️	балық, балықтар, жануар, зодиак, тағам
🐠	балық, жануар, тропикалық, тропикалық балық
🐡	балық, жануар, кірпібалық, тікенқұрсақ
🦈	акула, балық, жануар, жыртқыш, қауіп
🐙	жануар, сегізаяқ
🐚	бақалшық, жануар, теңіз, шиыршықты, шиыршықты бақалшық
🪸	коралл, маржан, риф, теңіз
🪼	аквариум, жануар, медуза, мұхит, планктон, теңіз, шағу
🐌	жануар, ұлу
🦋	жәндік, көбелек, әдемі
🐛	бақ, жәндік, шыбын-шіркей, қырықбуын
🐜	еңбекқор, жәндік, кішкентай, шыбын-шіркей, құмырсқа
🐝	ара, бал ара, бізгек, жәндік, теңбіл, шанышқы, шыбын-шіркей
🪲	жануар, жәндік, зиянкес, шыбын-шіркей, қоңыз
🐞	жәндік, ханқызы, шыбын-шіркей, қызыл қоңыз
🦗	жәндік, секіру, шегіртке
🪳	жануар, жәндік, зиянкес, тарақан
🕷️	жәндік, шыбын-шіркей, өрмекші
🕸️	тор, өрмекші, өрмекші торы
🦂	жануар, зодиак, сарышаян, шаян
🦟	ауру, безгек, вирус, жәндік, малярия, маса
🪰	ауру, дернәсіл, жануар, жәндік, зиянкес, шыбын, шіру, ұшу
🪱	жануар, жауынқұрт, жәндік, паразит, сақина тәрізді құрт, құрт
🦠	амеба, бактерия, биология, вирус, микроб
💐	гул шоғы, гүл, романтика, өсімдік
🌸	гүл, шие, шие гүлі, өсімдік
💮	ақ гүл, гүл, өсімдік
🪷	Вьетнам, буддизм, гүл, индуизм, лотос, сабыр, тазалық, Үндістан, әдемілік
🏵️	гүл, раушан, розетка, розетта, өсімдік
🌹	гүл, раушан, әтіргүл, өсімдік
🥀	гүл, солған, солған гүл
🌺	бөрітарақ, гүл, өсімдік
🌻	гүл, күн, күнбағыс, өсімдік
🌼	ашылған гүл, гүл, гүлдеу, өсімдік
🌷	гүл, қызғалдақ, өсімдік
🪻	бұта, гүл, күлгін, лаванда, сүмбіл, өсімдік
🌱	жаңа, көшет, экология, өсімдік
🪴	бөлме өсімдігі, гүл, пайдасыз, қазу, үй, өсу, өсімдік, өсіру
🌲	ағаш, жаңа жыл, мәңгі жасыл, терек, шырша, өсімдік
🌳	ағаш, жапырақты ағаш, жасыл, орман, пана, терек, тоғай, түсу, экология, өсімдік
🌴	ағаш, пальма, терек, өсімдік
🌵	кактус, тікенек, шөл, өсімдік
🌾	бір байлам күріш, күріш, күріш бұтақтары, құлақ, өсімдік
🌿	жапырақ, шөп, өсімдік
☘️	қоян саумалдық, өсімдік
🍀	4, беде, жапырақ, жоңышқа, төрт, төрт жапырақты жоңышқа
🍁	жапырақ, жерге түсу, үйеңкі, үйеңкі жапырағы, өсімдік
🍂	жапырақ, жерге түсу, сарғайып түскен жапырақтар, өсімдік
🍃	жапырақ, жел, жел соғу, желге ұшу, желге ұшқан жапырақтар, желмен ұшу, желмен ұшқан жапырақ, желмен ұшқан жапырақтар, өсімдік
🪹	бос ұя, себет, үй, ұя
🪺	жұмыртқа, ішінде жұмыртқалары бар ұя, құс, ұя
🍄	саңырауқұлақ, өсімдік
🪾	бедеу, жалаңаш ағаш, жапырақсыз ағаш, қыс, құрғақшылық
🍇	жеміс, жүзім, өсімдік
🍈	жеміс, қауын, өсімдік
🍉	жеміс, қарбыз, өсімдік
🍊	апельсин, жеміс, мандарин, өсімдік
🍋	жеміс, лимон, цитрус, өсімдік
🍋‍🟩	жеміс, коктейль, лайм, маргарита, мохито, текила, тропиктік, цитрус, цитрус, жеміс, тропикалық, шырын, қышқыл
🍌	банан, жеміс, өсімдік
🍍	ананас, жеміс, өсімдік
🥭	жеміс, манго, тағам, тропикалық
🍎	алма, жеміс, тағам, қызыл, қызыл алма, өсімдік
🍏	алма, жасыл, жеміс, көк алма, өсімдік
🍐	алмұрт, жеміс, өсімдік
🍑	жеміс, шабдалы, өсімдік
🍒	жеміс, жидек, шие, қызыл, өсімдік
🍓	жеміс, құлпынай, өсімдік
🫐	жеміс, жидек, көк, тамақ, қара жидек, қаражидек
🥝	жеміс, киви, тағам
🍅	көкөніс, тағам, қызанақ, өсімдік
🫒	азық-түлік, зәйтүн, тамақ
🥥	кокос, пальма, пинаколада
🥑	авокадо, жеміс, тағам
🍆	баялды, көкөніс, тағам, өсімдік
🥔	картоп, көкөніс, тағам
🥕	көкөніс, сәбіз, тағам
🌽	жүгері, жүгері собығы, лабиринт, сабағы, тағам, өсімдік
🌶️	ащы, ащы бұрыш, бұрыш, тағам, өсімдік
🫑	болгар бұрышы, бұршаққынды бұрыш, бұрыш, көкөніс, тамақ
🥒	көкөніс, тағам, қияр
🥬	бок чой, жасыл жапырақ, латук, орамжапырақ, пекин қырыққабаты, сүтшөп, қырыққабат
🥦	брокколи, өсімдік
🧄	дәмдеуіш, сарымсақ
🧅	дәмдеуіш, жуа, пияз
🥜	жаңғақ, жержаңғақ, көкөніс, тағам
🫘	бұршақ, тамақ, ұсақ
🌰	жаңғақ, каштан, өсімдік
🫚	денсаулық, дәмдеуіш, зімбір, зімбір тамыры, сыра, тамыр, шөп
🫛	асбұршақ, бұршақ, бұршаққынды асбұршақ, вегетариан, көкөніс, үрмебұршақ
🍄‍🟫	вегетариан, жерқұлақ, көкөніс, пицца салындысы, саңырауқұлақ, табиғат, тамақ, тамақ, саңырауқұлақ, табиғат, көкөніс, шитаки, қозықұйрық, қоңыр саңырауқұлақ, өскін
