‾	ülakriips
🐤	lind, loom, ornitoloogia, tibu, väike tibu
🐥	eestvaates, lind, loom, ornitoloogia, tibu, väike tibu eestvaates
🐦️	lind, loom, ornitoloogia
🐧	antarktika, lind, loom, ornitoloogia, pingviin
🕊️	lendama, lind, ornitoloogia, rahu, tuvi
🦅	kotkas, lind, loom, ornitoloogia
🦆	lind, loom, ornitoloogia, part
🦢	inetu pardipoeg, lind, luigepoeg, luik
🦉	lind, loom, ornitoloogia, tark, öökull
🦤	dodo, lind, loom, ornitoloogia, suur, väljasurev
🪶	kerge, lendama, suled, sulg
🦩	flamingo, lind, troopiline
🦚	edev, ilus, lind, loom, ornitoloogia, paabulind, uhke, värviline
🦜	lind, loom, ornitoloogia, papagoi, piraat, rääkima
🪽	hõljuma, ingellik, lendab, lennata, lennundus, lind, mütoloogia, taevalik, tiib, tõusma
🐦‍⬛	kaaren, kraaks, lind, loom, must, must lind, nokk, ornitoloogia, ronk, vares
🪿	haned, hani, jaht, lind, loom, ornitoloogia, part, parv, prääks
🐦‍🔥	elluärkamine, fantaasia, fööniks, hiilgus, reinkarnatsioon, surematu, taassünd, tulelind, tulilind, tõusev, tõusmine
🐸	konn, loom, nägu
🐊	krokodill, loom
🐢	kilpkonn, loom
🦎	loom, roomaja, sisalik
🐍	loom, madu, maokandja, sodiaak, tähtkuju
🐲	draakon, draakoni nägu, loom, muinasjutt, nägu
🐉	draakon, lohe, loom, muinasjutt, rüütlid
🦕	brahhiosaurus, brontosaurus, diplodookus, sauropod, sauropood
🦖	T-rex, dinosaurus, loom, türannosaurus
🐳	loom, nägu, ookean, rand, vaal, vesi, vett pritsiv vaal
🐋	loom, ookean, rand, vaal
🐬	delfiin, loib, loom, ookean, rand
🦭	hüljes, merilõvi
🐟️	kala, kalad, loom, sodiaak, tähtkuju, õhtusöök
🐠	kala, loom, troopiline, troopiline kala
🐡	kala, loom, siilkala
🦈	hai, kala, loom
🐙	elukas, kaheksajalg, loom, ookean
🐚	karp, spiraalne, spiraalne teokarp, teokarp
🪸	kliimamuutus, korall, meri, ookean, riff
🪼	akvaarium, kombitsad, kõrvetus, loom, meduus, mereelukas, meri, mollusk, ookean, plankton, põletus, selgrootu
🐌	aed, loom, nälkjas, tigu
🦋	ilus, liblikas, putukas
🐛	aed, loom, putukas, röövik
🐜	aed, loom, putukas, sipelgas
🐝	kevad, loodus, loom, mesi, mesilane, putukas
🪲	loom, mardikas, putukas, põrnikas
🐞	lepatriinu, loodus, loom, putukas, põrnikas
🦗	kilk, loom, putukas, rohutirts
🪳	prussakas, putukas, tarakan
🕷️	loom, putukas, ämblik
🕸️	võrk, ämblik, ämblikuvõrk
🦂	loom, skorpion, sodiaak, suur skorpion, tähtkuju
🦟	haigus, loom, malaaria, palavik, putukas, sääsk, viirus
🪰	haigus, kärbes, loom, parm, roiskumine, toakärbes, tõuk
🪱	loom, parasiit, rõnguss, uss, vihmauss
🦠	amööb, bakter, mikroob, viirus
💐	kimp, lill, romantika, taim
🌸	kirsiõis, kirss, lill, taim, õis
💮	lill, valge, valge lill, õis
🪷	budism, hinduism, ilu, lill, lootos, puhtus, rahu
🏵️	lill, rosett, taim
🌹	armastus, elegantne, ilu, lill, punane, roos, taim, valentin, õis
🥀	lill, närbunud, närbunud lill, suremas
🌺	hibisk, lill, taim
🌻	lill, päevalill, päike, taim
🌼	lill, taim, õis
🌷	kasv, lill, taim, tulp, õis
🪻	hüatsint, indigo, lavendel, lill, lilla, lupiin, lõvilõug, taim
🌱	idu, loom, noor, taim, võrse
🪴	hoolitsema, kasvatama, kaunistus, kodu, potilill, pott, taim
🌲	igihaljas, igihaljas puu, puu, taim
🌳	leht, lehtpuu, puu, taim
🌴	loom, palm, palmipuu, puu, rand, taim
🌵	kaktus, kõrb, loodus, põud, taim
🌾	riis, riisitaim, taim, vihk
🌿	leht, maitsetaim, taim
☘️	ristik, taim
🍀	leht, neli, nelja lehega ristik, ristik, taim
🍁	langev, leht, taim, vaher, vahtraleht
🍂	langenud, langenud leht, leht, sügis
🍃	leht, taim, tuul, tuules lendlev leht
🪹	kodu, pesa, pesitsemine, tühi, tühi pesa
🪺	lind, muna, munad, munadega pesa, oks, pesa, pesitsemine
🍄	kärbseseen, mürgiseen, seen
🪾	põud, raagus puu, talv, viljatu
🍇	puuvili, taim, viinamari, viinamarjad
🍈	melon, puuvili
🍉	arbuus, puuvili
🍊	apelsin, c, mandariin, nektariin, puuvili, tsitrus, vitamiin
🍋	puuvili, sidrun, söök, taim
🍋‍🟩	happelisus, hapu, kokteil, koor, laim, laimikook, mahl, margarita, mojito, puuvili, roheline, salsa, tekiila, troopiline, tsitrus, värskendav
🍌	banaan, kaalium, puuvili
🍍	ananass, colada, pina, puuvili, troopiline
🥭	mango, puuvili, söök, troopiline
🍎	dieet, küps, punane, punane õun, puuvili, söök, tervis, õun
🍏	puuvili, roheline, roheline õun, õun
🍐	pirn, puuvili
🍑	puuvili, virsik
🍒	kirsid, kirss, marjad, punane, puuvili
🍓	maasikas, mari, puuvili
🫐	mari, mustikad, mustikas, sinine, toit
🥝	kiivi, puuvili, söök, toit
🍅	köögivili, söök, taim, tomat
🫒	oliiv, toit
🥥	kookospähkel, palm, piña colada, söök
🥑	avokaado, puuvili, söök, toit
🍆	baklažaan, köögivili, söök, taim
🥔	juurvili, kartul, söök, toit
🥕	juurvili, porgand, söök, toit
🌽	mais, maisitõlvik, söök, taim, tõlvik
🌶️	pipar, tuline, tuline pipar
🫑	köögivili, paprika, pipar, söök, toit
🥒	kurk, köögivili, söök, toit
🥬	hiina kapsas, kapsas, lehed, lehtkapsas, lehtköögivili, lehtsalat, roheline
🥦	brokoli, metskapsas
🧄	küüslauk, maitseaine
🧅	maitseaine, sibul
🥜	maapähkel, maapähklid, pähkel, söök, toit
🫘	kaunvili, oad, toit, uba, väike
🌰	kastan, söök, taim
🫚	ingver, juur, looduslik, vürts, õlu
🫛	edamame, hernekaun, hernes, kaun, kaunvili, köögivili, oad
🍄‍🟫	köögivili, loodus, pitsalisandid, portobello, pruun seen, puravik, seen, shiitake, spoor, söök, taimetoit, toit, trühvel, šampinjon
🫜	aed, juurikas, juurvili, kaalikas, naeris, peet, redis, salat, söök, taimetoit, toit
🍞	leib, nisu, päts, restoran, sai, süsivesikud, teravili, toit
🥐	croissant, hommikusöök, prantsuse, sai, sarvesai, söök, toit
🥖	baguette, pikk, prantsuse, sai, söök, toit
🫓	arepa, lameleib, lavašš, naan, pita
🥨	keerutatud, kringel, soolakringel
🥯	hommikusöök, määre, pagaritoode, rõngassai
🥞	crêpe, hommikusöök, pannkoogid, pannkook, toit
🧇	hommikusöök, kõhklev, söök, vahvel, vahvliraud
🧀	juust, juustutükk
🍖	kondiga liha, kont, liha
🍗	kalkun, kana, kanakoib, koib, kont, linnuliha, luu, söök
🥩	karbonaad, lambalihakarbonaad, liha, lihalõik, praelõik, punane, sealihakarbonaad, steik, söök
🥓	hommikusöök, liha, peekon, toit
🍔	burger, hamburger, kiirtoit, näljane, söök
🍟	friikartul, friikartulid, kiirtoit, söök
🍕	juust, näljane, pepperoni, pitsa, pizza, söök, viil
🌭	dog, frankfurter, hot, hot dog, hotdog, vorst
🥪	leib, võileib
🌮	mehhiko, tako
🌯	burrito, mehhiko, vrapp
🫔	maisikakk, mehhiko, pamonha, tamale, toit, täidetud
🥙	falafel, gyro, kebab, pita, toit, täidetud, täidetud pita
🧆	falafel, kikerhernes, lihapall
🥚	hommikusöök, muna, toit
🍳	hommikusöök, kokkamine, muna, pann, praadimine, restoran, toiduvalmistamine
🥘	paella, panniroog, söök, toit, ühepajatoit
🍲	hautis, potitäis toitu, pott, supp, söök
🫕	fondüü, juust, nõu, sulatatud, šokolaad, šveitsi
🥣	helbed, hommikusöök, lusikaga kauss, lusikas, puder, riisipuding, söök
🥗	roheline, roheline salat, salat, söök, toit
🍿	film, mais, popkorn
🧈	piimatoode, või
🧂	maitseaine, sool, soolatoos
🥫	konserv, söök, toidukonserv, toit
🍱	bento, bento einekarp, karp, söök, toit
🍘	leib, riis, riisiküpsis, söök
🍙	jaapani, pall, riis, riisipall, söök
🍚	keedetud, keedetud riis, riis, söök
🍛	karri, karriga riis, riis, söök
🍜	aurav, aurav kauss, kauss, nuudlid, pho, pulgad, ramen, supp, söök
🍝	lihapallid, pasta, restoran, spagetid, söök
🍠	bataat, kartul, röstitud, röstitud bataat, söök
🍢	kebab, mereannid, oden, pulk, söök
🍣	sushi, suši, söök
🍤	krevett, praetud, praetud krevett, söök, tempura
🍥	kala, keerdudega, keerdudega kalakotlet, kook, kotlet, pirukas, restoran, spiraal, söök
🥮	festival, kuukook, söök, sügis, yuèbǐng
🍡	dango, jaapani, magus, magustoit, pulk, söök
🥟	empanada, gyōza, jiaozi, pelmeen, pierogi, söök
🥠	ennustus, õnneküpsis
🥡	kaasamüügikarp, kiirtoidukarp
🦀	krabi, sodiaak, söök, tähtkuju, vähk
🦞	homaar, homaarisupp, mereannid, sõrad, söök
🦐	koorikloom, krevett, söök, toit, väike
🦑	kalmaar, mollusk, söök, toit
🦪	auster, elus, karp, pärl, sukeldumine
🍦	jäätis, magus, magustoit, pehme, pehme jäätis, restoran, söök
🍧	jää, jäätis, magus, magustoit, mahlajää, restoran
🍨	jäätis, magus, magustoit, restoran, söök
🍩	hommikusöök, magus, magustoit, sõõrik, toit
🍪	küpsis, magus, magustoit, söök
🎂	kook, küünlad, magustoit, söök, sünnipäev, sünnipäevatort, tort
🍰	kook, liivataignakook, lõik, magus, magustoit, söök
🧁	magus, magustoit, muffin, pagaritoode, söök
🥧	kõrvits, liha, lõik, pirukas, puuvili, söök, täidis, õun
🍫	magus, magustoit, söök, šokolaad, šokolaaditahvel
🍬	komm, kommipaber, magus, magustoit, restoran, söök
🍭	komm, magus, magustoit, pulgakomm, restoran, söök
🍮	magus, magustoit, puding, söök, vanillipuding
🍯	karu, magus, meepott, mesi, purk, söök
🍼	beebi, lutipudel, piim, pudel
🥛	jook, klaas, klaas piima, piim
☕️	jook, kohv, kuum, kuum jook, tee
🫖	jooma, kann, tee, teekann, toit
🍵	jook, kõrvata teetass, tass, tee, teetass
🍶	baar, jook, pudel, riisiviin, tass
🍾	baar, jook, kork, pudel, pudeli avamine
🍷	baar, jook, klaas, vein, veiniklaas
🍸️	baar, jook, klaas, kokteil, kokteiliklaas
🍹	baar, jook, troopiline, troopiline jook
🍺	baar, jook, kann, õllekann, õlu
🍻	baar, jook, kann, kõlisevad õllekannud, õlu
🥂	jooma, klaasid, kõlisev, kõlisevad klaasid, kõlks, tähistama, šampanja
🥃	joogiklaas, napsuklaas, viskiklaas
🫗	jooma, kallama, klaas, oih, tühi, vedeliku kallamine, vesi, õnnetus
🥤	jook, kõrrega tops, kõrs, mahl, tops, vesi limonaad
🧋	mull, mullitee, piim, pärl, pärlitee, tee
🧃	joogipakk, jook, kõrs, magus, mahl, mahlapakk
🧉	jook, mate, tee
🧊	jää, jääkuubik, jäämägi, kuubik, külm
🥢	hashi, söögipulgad
🍽️	kahvel, kahvel, nuga ja taldrik, kokkamine, nuga, söömine, taldrik, õhtusöök
🍴	hommikusöök, kahvel, kahvel ja nuga, kokkamine, lõuna, maitsev, nuga, näljane, restoran, söögiriistad, sööma, söömine, toit, õhtusöök
🥄	lauanõud, lusikas, söök
🔪	kööginuga, köök, nuga, relv, tööriist
🫙	anum, kaste, maitseaine, purk, säilitama, tühi
🏺	amfora, jook, kann, vaas, veevalaja
🌍	Aafrika, Euroopa, Euroopa ja Aafrika gloobusel, Euroopa-Aafrika, gloobus, maa, maailm
🌎️	Ameerika, Ameerika mandrid gloobusel, gloobus, maa, maailm
🌏	Aasia, Aasia ja Austraalia gloobusel, Aasia-Austraalia, Austraalia, gloobus, maa, maailm
🌐	gloobus, maa, maailm, meridiaanid, meridiaanidega gloobus
🗺️	kaart, maailm, maailmakaart
🗾	Jaapan, Jaapani kaart, kaart
🧭	kompass, magnetiline, navigeerimine, orienteerumine
🏔️	külm, lumi, lumine mägi, mägi
⛰️	mägi
🌋	laava, mägi, purse, vulkaan
🗻	Fuji, Fuji mägi, fuji, mägi
🏕️	telk, telkimine
🏖️	päikesevari, päikesevari rannas, rand
🏜️	kõrb
🏝️	asustamata, asustamata saar, saar
🏞️	park, rahvuspark
🏟️	staadion
🏛️	antiikhoone, hoone, klassikaline
🏗️	ehitus, kraana, maja
🧱	mört, savi, sein, telliskivi, telliskivid
🪨	kaljurahn, kivi, kivirahn, kõva, raske, tugev
🪵	ehituspuit, känd, palk, puit, puu, saepuit
🛖	hütt, jurta, kodu, maja, peavari, tare
🏘️	hoone, maja, majad
🏚️	hoone, mahajäetud, mahajäetud maja, maja
🏠️	kodu, maja
🏡	aed, aiaga maja, kodu, maja
🏢	hoone, kontorihoone, maja
🏣	Jaapani postkontor, hoone, post
🏤	hoone, post, postkontor
🏥	arst, haigla, hoone, meditsiin
🏦	hoone, pank
🏨	hoone, hotell
🏩	armastus, armuhotell, hoone, hotell
🏪	hoone, kauplus, pood
🏫	hoone, kool
🏬	hoone, kaubamaja, pood
🏭️	hoone, tehas
🏯	Jaapan, Jaapani loss, loss
🏰	hoone, loss
💒	kabel, kirik, pulmad, romantika
🗼	Tokyo, Tokyo torn, torn
🗽	Vabadussammas, kuju, sammas, vabadus
⛪️	kirik, kristlus, maja, rist, usk
🕌	islam, moslem, mošee, usk
🛕	hindu, hinduism, hinduistlik tempel, tempel
🕍	judaism, juut, sünagoog, usk
⛩️	shinto, shinto tempel, tempel, usk
🕋	islam, kaaba, moslem, usk
⛲️	purskkaev
⛺️	laager, telk, telkimine
🌁	ilm, udu, udune
🌃	ilm, täht, öine tähistaevas, öö
🏙️	linn, linna siluett, maja
🌄	hommik, ilm, mägi, päike, päikesetõus, päikesetõus mägedes
🌅	hommik, ilm, päike, päikesetõus
🌆	hoone, ilm, linna siluett videvikus, loojang, päike, siluett, videvik, õhtu
🌇	hoone, ilm, loojang, päike, päikeseloojang
🌉	ilm, sild, sild öösel, öö
♨️	allikad, aur, kuum, kuumaveeallikad
🎠	hobune, karussell, karussellihobune
🛝	liumägi, lõbustuspark, mängima, mänguväljak
🎡	lõbustuspark, vaateratas
🎢	Ameerika, Ameerika mäed, ameerika, lõbustuspark, mäed
💈	habemeajaja, habemeajaja tähis, hambemeajamine, juukselõikus, lõikus, post
🎪	telk, tsirkus, tsirkusetelk
🚂	aur, raudtee, rong, sõiduk, vedur
🚃	elekter, rong, rongivagun, rööpad, sõiduk, tramm, troll, vagun
🚄	kiirrong, kiirus, raudtee, rong, shinkansen
🚅	kiirrong, nina, raudtee, rong, shinkansen, sõiduk, terav, terava ninaga kiirrong
🚆	raudtee, rong, sõiduk
🚇️	metroo, rong, sõiduk
🚈	kergraudtee, raudtee, rong, saabunud, sõiduk
🚉	jaam, raudtee, rong
🚊	tramm, troll
🚝	raudtee, rong, sõiduk, üherööpmeline raudtee
🚞	mägi, mägiraudtee, raudtee, reis, vagun
🚋	tramm, trammivagun, troll, vagun
🚌	buss, sõiduk
🚍️	auto, buss, buss eestvaates, eestvaates
🚎	buss, tramm, troll, trollibuss
🚐	buss, sõiduk, väikebuss
🚑️	kiirabi, kiirabiauto, sõiduk
🚒	auto, sõiduk, tuletõrje, tuletõrjeauto
🚓	auto, patrull, politsei, politseiauto, sõiduk
🚔️	auto, eestvaade, politsei, politseiauto eestvaates, sõiduk
🚕	sõiduk, takso
🚖	eestvaade, sõiduk, takso, takso eestvaates
🚗	auto, sõiduk
🚘️	auto, auto eestvaates, eestvaade, sõiduk
🚙	auto, mahtuniversaal, sõiduk, universaal
🛻	auto, kast, maastur, pikap, transport
🚚	kuller, kulleriauto, sõiduk, veoauto
🚛	sõiduk, veoauto, veok
🚜	sõiduk, traktor
🏎️	auto, kiire, võidusõiduauto
🏍️	mootorratas, võidusõit
🛵	motoroller, roller
🦽	juurdepääs, ligipääs, manuaalratastool, ratastool
🦼	elektriratastool, juurdepääs, ligipääs, ratastool
🛺	autorikša, rikša, tuk-tuk
🚲️	jalgratas, ratas, sõiduk
🛴	tõukekas, tõukeratas
🛹	rula, rulalaud
🛼	rulluisk, rulluisutama, sport, uisk
🚏	buss, bussipeatus, peatus
🛣️	kiirtee, maantee, tee
🛤️	raudtee, raudteerööpad, rong, sõiduk
🛢️	tünn, õli, õlitünn
⛽️	bensiin, diisel, kütus, tankla, tankur
🛞	auto, pöörama, ratas, rehv, ring
🚨	auto, politsei, politseiauto vilkur, pöörlemine, sõiduk, vilkur
🚥	foor, horisontaalne foor, liiklus
🚦	foor, liiklus, vertikaalne foor
🛑	kaheksanurk, märk, stopp, stoppmärk
🚧	barjäär, ehitustööd, tõke
⚓️	ankur, laev, tööriist
🛟	elupäästev, ohutus, pinnal püsima, päästerõngas, päästevahend, ujumine, vetelpääste
⛵️	jaht, meri, paat, puhkus, purjepaat, sõiduk
🛶	kanuu, paat
🚤	järv, kaater, kiirkaater, luksus, miljardär, miljonär, paat, reis, suvi
🛳️	laev, reisija, reisilaev, sõiduk
⛴️	laev, praam, sõiduk
🛥️	mootorpaat, paat, sõiduk
🚢	laev, sõiduk
✈️	lennuk, sõiduk
🛩️	lennuk, sõiduk, väikelennuk
🛫	lennuk, sõiduk, õhkutõus, õhkutõusev lennuk
🛬	lennuk, maandumine, maanduv lennuk, sõiduk
🪂	langevari, langevarjuga hüppamine, langevarjuhüpe, langevarjur
💺	iste, tool
🚁	helikopter, kopter, reis, sõiduk
🚟	raudtee, rippraudtee, sõiduk, vagun
🚠	gondel, köis, köistee, köistee mägedes, mägi, suusatamine
🚡	gondel, köis, köisraudtee, raudtee, sõiduk, vagun
🛰️	kosmos, satelliit
🚀	kosmos, rakett, sõiduk
🛸	UFO, lendav taldrik, maaväline, tulnukad
🛎️	hotell, jooksupoiss, kell, kõlisti, märgukell
🧳	kohver, pakkimine, reis
⌛️	kell, liiv, liivakell
⏳️	kell, liiv, liivakell, ootamine, taimer, valmis, voolav, voolava liivaga kell, yolo
⌚️	kell, käekell
⏰️	kell, äratus, äratuskell
⏱️	kell, stopper
⏲️	kell, taimer
🕰️	kaminakell, kell
🕛️	00, 12, 12:00, kaksteist, kell, kell kaksteist
🕧	12, 12:30, 30, kell, kell pool üks, pool, üks
🕐️	00, 1, 1:00, kell, kell üks, üks
🕜	1, 1:30, 30, kaks, kell, kell pool kaks, pool
🕑️	00, 2, 2:00, kaks, kell, kell kaks
🕝	2, 2:30, 30, kell, kell pool kolm, kolm, pool
🕒️	00, 3, 3:00, kell, kell kolm, kolm
🕞	3, 30, 3:30, kell, kell pool neli, neli, pool
🕓️	00, 4, 4:00, kell, kell neli, neli
🕟	30, 4, 4:30, kell, kell pool viis, pool, viis
🕔️	00, 5, 5:00, kell, kell viis, viis
🕠	30, 5, 5:30, kell, kell pool kuus, kuus, pool
🕕️	00, 6, 6:00, kell, kell kuus, kuus
🕡	30, 6, 6:30, kell, kell pool seitse, pool, seitse
🕖️	00, 7, 7:00, kell, kell seitse, seitse
🕢	30, 7, 7:30, kaheksa, kell, kell pool kaheksa, pool
🕗️	00, 8, 8:00, kaheksa, kell, kell kaheksa
🕣	30, 8, 8:30, kell, kell pool üheksa, pool, üheksa
🕘️	00, 9, 9:00, kell, kell üheksa, üheksa
🕤	30, 9, 9:30, kell, kell pool kümme, kümme, pool
🕙️	00, 10, 10:00, kell, kell kümme, kümme
🕥	10, 10:30, 30, kell, kell pool üksteist, pool, üksteist
🕚️	00, 11, 11:00, kell, kell üksteist, üksteist
🕦	11, 11:30, 30, kell, kell pool kaksteist, pool kaksteist
🌑	ilm, kosmos, kuu, noorkuu, pime
🌒	ilm, kasvav kuusirp, kosmos, kuu, noorkuu, sirp
🌓	ilm, kasvav poolkuu, kosmos, kuu, poolkuu
🌔	ilm, kasvav, kasvav kuu, kuu, poolkuu
🌕️	ilm, kosmos, kuu, täiskuu
🌖	ilm, kahanev, kahanev kuu, kosmos, kuu
🌗	ilm, kahanev poolkuu, kosmos, kuu, poolkuu
🌘	ilm, kahanev, kahanev kuusirp, kosmos, kuu, sirp
🌙	ilm, kosmos, kuu, kuusirp, sirp
🌚	ilm, kosmos, kuu, nägu, näoga noorkuu
🌛	ilm, kosmos, kuu, nägu, näoga kasvav kuu, poolkuu
🌜️	ilm, kosmos, kuu, nägu, näoga kahanev kuu, poolkuu
🌡️	ilm, kraadiklaas
☀️	ere, ilm, kiired, kosmos, päike
🌝	ere, ilm, kosmos, kuu, nägu, näoga täiskuu, täiskuu
🌞	ere, ilm, kosmos, nägu, näoga päike, päike
🪐	Saturn, rõngastega planeet
⭐️	keskmine täht, täht, tärn
🌟	helendav, helendav täht, sära, täht
🌠	komeet, kosmos, langev, langev täht, täht
🌌	Linnutee, kosmos, tähed
☁️	ilm, pilv
⛅️	ilm, pilv, päike, päike pilve taga
⛈️	ilm, pilv, vihm, äike, äikese- ja vihmapilv
🌤️	ilm, pilv, päike, päike väikese pilve taga
🌥️	ilm, pilv, päike, päike suure pilve taga
🌦️	ilm, pilv, päike, päike vihmapilve taga, vihm
🌧️	ilm, pilv, vihm, vihmapilv
🌨️	ilm, külm, lumepilv, lumi, pilv
🌩️	ilm, pilv, välk, äike, äikesepilv
🌪️	ilm, keeris, keeristorm, tornaado
🌫️	ilm, pilv, udu
