‾	traço sobrescrito
♟️	dispensável, peão, peão de xadrez, xadrez
🃏	baralho, carta, jogar, jogo, jóquer
🀄️	dragão vermelho, dragão vermelho de mahjong, jogo, mahjong, peça de mahjong, vermelho
🎴	Hanafuda, baralho de cartas com flores, carta, carta de flores, flor, japonês, jogar, jogo
🎭️	arte dramática, artes, artes performativas, entretenimento, máscaras, performativas, teatro
🖼️	arte, imagem, moldura, moldura com imagem, museu, pintura, quadro, quadro com moldura
🎨	arte, museu, paleta, paleta de artista, pintor, pintura
🧵	agulha, barbante, carretel, carrinho de linhas, costura, fio, linha
🪡	agulha, coser, costura, linha
🧶	bola, croché, novelo, tricô
🪢	amarrar, corda, fio, nó
👓️	acessório, olhos, óculos
🕶️	acessório, escuro, olhos, óculos, óculos de sol, óculos escuros
🥽	mergulho, natação, soldagem, óculos de proteção
🥼	bata branca, bata de laboratório, cientista, experiência, médico
🦺	colete, colete de segurança, emergência, segurança
👔	acessório, camisa, camisa com gravata, gravata, vestuário
👕	camisa, camisola, manga curta, t-shirt, vestuário
👖	calças, calças de ganga, jeans, vestuário
🧣	cachecol, frio, inverno, lenço, pescoço, écharpe
🧤	inverno, luva, luvas, mão, mãos
🧥	casaco, frio, jaqueta
🧦	meia, meias, peúgas
👗	elegante, moda, vestido, vestuário
👘	confortável, quimono, vestuário
🥻	roupa, sari, vestido, vestuário
🩱	fato de banho, roupa de banho
🩲	calções, fato de banho, peça única, roupa de banho, roupa interior, slip de banho
🩳	calções de banho, fato de banho, roupa de praia, roupa interior, slip
👙	biquíni, nadar, piscina, praia, vestuário
👚	blusa, camisa, roupa de senhora, roupas de senhora, senhora, vestuário
🪭	acessório, dança, dançar, feminino, flamenco, leque, leque dobrável, quente, refrescante, timidez
👛	acessório, carteira, dinheiro, moedas, porta-moedas, vestuário
👜	acessório, bolsa, carteira, mala, mala de mão, saco, vestuário
👝	acessório, bolsa, bolsa pequena, mala, mala de mão, pochete, saco, vestuário
🛍️	compras, hotel, saco, sacos de compras
🎒	escola, mochila, mochila da escola, pasta, saco
🩴	chinelo, havaiana, sandália, sapato
👞	calçado, calçado masculino, homem, sapato de homem, sapato masculino, vestuário
👟	calçado, correr, desporto, sapatilha, ténis, vestuário
🥾	acampamento, acampar, bota, bota de caminhada, caminhada, mochila, sapato castanho
🥿	chinelo, sabrina, sapatilha, sapatilha de balé, sapato raso, slip-on
👠	calçado, salto, saltos altos, sapato, sapato de salto alto, senhora
👡	calçado, sandália, sandália de senhora, senhora, vestuário
🩰	ballet, balé, dança, sapatilha de balé, sapatos de ballet
👢	bota, bota de senhora, botas, calçado, senhora, vestuário
🪮	afro, cabelo, pente, pente de cabelo, pente garfo, pentear
👑	acessório, coroa, rainha, realeza, rei, vestuário
👒	acessório, chapéu, chapéu de senhora, senhora, vestuário
🎩	acessório, cartola, chapéu, chapéu alto, vestuário
🎓️	acessório, celebração, chapéu, chapéu de finalista, chapéu de graduação, educação, formatura, licenciatura
🧢	boné, boné de beisebol, chapéu, chapéu de baseball
🪖	capacete, exército, militar, soldado
⛑️	capacacete de socorrista, capacete, capacete de socorrista, cara, chapéu, cruz, socorro
📿	acessório, colar, contas, oração, religião, rosário, terço
💄	batom, bâton, cosméticos, maquilhagem
💍	anel, casamento, diamante, noivado, romance
💎	casamento, diamante, joia, jóia, pedra preciosa, preciosa, romance
🔇	altifalante, altifalante desligado, sem som, silencioso, silêncio, som, volume
🔈️	altifalante baixo, som baixo, volume, volume baixo
🔉	altifalante, altifalante médio, baixo, onda sonora, som médio, volume, volume médio
🔊	altifalante, altifalante alto, alto, elevado, música, som, volume
📢	altifalante, altifalante público, alto, comunicações públicas, público, som
📣	aplausos, apoiar, megafone, torcer
📯	corneta, correios, trompa, trompa dos correios
🔔	igreja, sino, som
🔕	não, proibido, silêncio, sino, sino com barra, sino riscado, sino silenciado
🎼	música, nota, partitura, pauta
🎵	música, nota, nota musical, som
🎚️	controlo de nível, controlo do volume, música, nível, seletor, volume
🎛️	botões, botões de controlo, botões giratórios, comando, música
🎤	cantar, entretenimento, karaoke, microfone, música
🎧️	auscultador, intra-auricular, som
📻️	entertenimento, música, rádio, vídeo
🎷	instrumento, instrumento musical, música, saxofone
🪗	acordeão, concertina, instrumento, música
🎸	guitarra, guitarra elétrica, instrumento, instrumento musical, música
🎹	instrumento, música, piano, teclado, teclado musical
🎻	instrumento, instrumento musical, música, stradivarius, violino
🪕	banjo, cordas, música
🥁	baquetas, música, tambor
🪘	conga, instrumento, ritmo, tambor, tambor alto, tambor comprido
🪇	abanar, chocalho, festa, instrumento, instrumento musical, maracas, música, percussão, ritmo
🪈	flauta, flauta de cana, flautista, gravador, instrumento musical, música, pífaro, sopro
📱	comunicação, telefone, telemóvel
📲	chamada, comunicação, receber, seta, telefone, telemóvel, telemóvel com seta
☎️	telefone, telefone fixo
📞	auscultador, auscultador de telefone, comunicação, telefone
🔋	bateria
🪫	bateria fraca, eletrónico, pilha fraca, pouca bateria, pouca energia
🔌	eletricidade, elétrica, ficha, ficha elétrica
💻️	PC, computador, computador portátil, pc, pessoal, portátil
🖥️	computador, computador de secretária, monitor, secretária
🖨️	computador, impressora
⌨️	computador, teclado
🖱️	computador, rato, rato de computador
🖲️	computador, informática, rato, trackball
💽	computador, disco, minidisco, ótico
💾	computador, disco, disquete, floppy
💿️	cd, computador, disco, disco ótico, óptico, ótico
📀	blu-ray, cd, computador, disco, dvd, óptico, ótico
🧮	cálculo, ábaco
🎥	cinema, câmara, câmara de filmar, entretenimento, filme
🎞️	cinema, filme, fotogramas, película
📽️	cinema, filme, projetor, projetor de cinema, vídeo
🎬️	cena, cinema, claquete, filme
📺️	TV, televisor, televisão, tv, vídeo
📷️	câmara, foto, fotografia, máquina fotográfica, selfie, vídeo
📸	câmara, flash, máquina fotográfica com flash, vídeo
📹️	câmara, câmara de vídeo, vídeo
📼	cassete, fita, vhs, videocassete, vídeo
🔍	ampliar, ferramenta, investigar, lupa, lupa inclinada para a esquerda, pesquisar
🔎	ferramenta, investigação, lupa, lupa inclinada para a direita, pesquisar
🕯️	luz, vela
💡	desenho, eletricidade, elétrica, ideia, luz, lâmpada
🔦	eletricidade, elétrica, ferramenta, lanterna, luz, utensílio
🏮	bar, japonês, lanterna, lanterna de papel, lanterna de papel vermelha, lanterna vermelha de papel, luz, vermelha
🪔	lâmpada diya
📔	bloco de notas, bloco de notas com capa decorada, caderno, capa, decorada, livro
📕	educação, fechado, livro
📖	aberto, educação, leitura, livro
📗	educação, leitura, livro, verde
📘	azul, livro
📙	cor de laranja, educação, laranja, leitura, livro, livro cor de laranja
📚️	biblioteca, escola, ler, livro, livros
📓	bloco de notas, caderno
📒	bloco de notas, caderno, livro-razão
📃	dobra, dobrado, documento, página, página com dobra, página dobrada
📜	papel, pergaminho, rolo de papel
📄	documento, página, página virada para cima
📰	comunicação, imprensa, jornal, notícias, papel
🗞	enrolado, imprensa, jornal, notícias, papel
📑	marcador, marcador de página, marcadores, marcadores de folhas, marcar
🔖	marcador, marcador de livros, marcador de página, marcar
🏷️	etiqueta, rótulo
💰️	banco, dinheiro, dólar, pagamento, saco, saco de dinheiro
🪙	dinheiro, metal, moeda, ouro, prata, rico, tesouro
💴	banco, dinheiro, iene, moeda, nota, nota bancária, nota de iene
💵	banco, dinheiro, dólar, moeda, nota, nota bancária, nota de dólar
💶	banco, dinheiro, euro, moeda, nota, nota bancária, nota de euro
💷	banco, dinheiro, libra, moeda, nota, nota bancária, nota de libra
💸	asas, banco, dinheiro, dinheiro com asas, dólar, nota, voar
💳️	banco, cartão, cartão de crédito, crédito, dinheiro, pagamento
🧾	comprovativo, contabilidade, fatura, prova, recibo, tesouraria
💹	ascendente, banco, crescimento, dinheiro, gráfico, gráfico a subir com iene, iene, mercado, moeda, subida, tendência
✉️	carta, correio, correspondência, e-mail, email, envelope
📧	carta, correio, correspondência, e-mail
📨	carta, chegada, correio, correspondência, e-mail, email, envelope, envelope a chegar, receber
📩	carta, correio, e-mail, email, envelope, envelope com seta, enviado, para baixo, saída, seta
📤️	bandeja, bandeja de correio a enviar, caixa de saída, carta, correio, e-mail, enviado, enviar
📥️	bandeja, bandeja de correio recebido, caixa de entrada, carta, correio, e-mail, receber, recebido
📦️	caixa, embalagem, embrulho, encomenda
📫️	caixa de correio, caixa de correio fechada com bandeirola para cima, correio, correspondência, fechada, para cima
📪️	caixa de correio, caixa de correio fechada com bandeirola para baixo, correio, correspondência, fechada, para baixo
📬️	aberta, caixa de correio, caixa de correio aberta com bandeirola para cima, correio, correspondência
📭️	aberta, caixa de correio aberta com bandeirola para baixo, caixa do correio, correio, correspondência, para baixo
📮	caixa de correio, correio, correspondência
🗳️	caixa, urna, urna com voto, votar, voto
✏️	escrever, lápis
✒️	aparo, aparo preto, caneta, caneta de aparo, tinta
🖋️	caneta, caneta de tinta permanente, tinta permanente
🖊️	caneta, esferográfica
🖌️	pincel, pintar
🖍️	lápis, lápis de cera
📝	comunicação, folha, lápis, memorando, nota
💼	escritório, mala, pasta
📁	arquivo, pasta, pasta de arquivo, pasta de arquivos
📂	aberta, arquivo, pasta, pasta de arquivo aberta, pasta de arquivos aberta
🗂️	fichas, pastas, separadores, separadores de fichas
📅	calendário, data
📆	calendário, calendário destacável
🗒️	bloco, bloco de notas com espiral, caderno, espiral, notas
🗓️	bloco, calendário, calendário com espiral, espiral
📇	ficha, fichas, rolodex, índice, índice de cartões
📈	crescimento, gráfico, gráfico a subir, subida, tendência, tendência de crescimento
📉	dados, descida, gráfico, gráfico a descer, tendência, tendência negativa
📊	barra, barras, gráfico, gráfico de barras
📋️	bloco de notas com mola, lista de tarefas, notas, prancheta
📌	alfinete, pionés, tacha
📍	alfinete, alfinete de cabeça redonda, localização, mapa, redondo
📎	clipe
🖇️	clipes, clipes de papel, clipes ligados, ligação
📏	matemática, régua, régua reta, ângulo
📐	esquadro, matemática, régua, triângulo, ângulo
✂️	cortar, ferramenta, tesoura, utensílio
🗃️	arquivo, caixa, caixa de arquivo, caixa de arquivos, fichas
🗄️	armário, arquivador, arquivo, escritório, ficheiro, módulo de gavetas
🗑️	caixote do lixo, cesto de lixo, cesto do lixo
🔏	aparo, cadeado, cadeado com caneta, caneta, privacidade, tinta
🔐	cadeado, cadeado com chave, cadeado fechado com chave, chave, fechado, seguro
🔑	abrir, chave, chave-mestra, fechadura, palavra-passe, proteção, senha
🗝️	antiga, chave, fechadura, pista
🔨	bricolage, ferramenta, martelo
🪓	cortar, cutelo, lenha, machado, madeira, rachar
⚒️	ferramenta, martelo, martelo e picareta, picareta
🛠️	chave inglesa, ferramenta, martelo, martelo e chave inglesa
🗡️	adaga, arma, faca, punhal
⚔️	arma, cruzadas, espadas
💣️	bomba, bum, desenho, explosão, perigoso
🪃	aborígene, arma, austrália, bumerangue
🏹	arco, arco e flecha, arma, arqueiro, flecha, sagitário, seta, zodíaco
🪚	carpinteiro, madeira, serra, serrote
🔧	bricolage, chave de porcas, ferramenta
🪛	aparafusar, cabeça chata, chave de fendas, ferramenta, útil
🔩	ferramenta, parafuso, porca, porca e parafuso
⚙️	engrenagem, ferramenta, roda dentada
🗜️	braçadeira, ferramenta, grampo, torno
⚖️	balança, balança (objeto), ferramenta, instrumento, justiça, pesar, peso, zodíaco
🦯	acessibilidade, bengala para invisuais, cegueira, invisual
🔗	corrente, elos, ligação
⛓‍💥	algemas, corrente, corrente partida, liberdade, partir, quebrar, romper
⛓️	corrente, correntes
🪝	gancho, prender
🧰	caixa, caixa de ferramentas, caixa vermelha, ferramenta, mala de ferramentas, mecânico
🧲	atração, ferradura, magnético, íman
🪜	degrau, descer, escada, subir, trepar
⚗️	alambique, balão de vidro, ferramenta, instrumento, química
🧪	ciência, experiência, laboratório, química, químico, tubo de ensaio
🧫	bactéria, biologia, cultura, laboratório, placa de Petri
🧬	adn, biólogo, evolução, gene, genética, vida
🔬	ciência, experiência, ferramenta, instrumento, microscópio
🔭	ciência, ferramenta, instrumento, telescópio
💉	agulha, doente, injeção, medicamento, médico, remédio, seringa
🩸	doação de sangue, ferimento, gota de sangue, medicina, menstruação
💊	comprimido, doente, medicina, médico, remédio
🩹	penso, penso rápido
🩼	ajuda à mobilidade, apoio para mobilidade, bengala, canadiana, deficiência, incapacidade, magoado, muleta
🩺	coração, estetoscópio, medicina, médico
🩻	doutor, esqueleto, médico, ossos, raio X, raio x, raios X
🚪	armário, porta
🛗	acessibilidade, elevador, subir
🪞	espelho, maquilhagem, reflexo
🪟	ar fresco, janela, vidro
🛏️	cama, dormir, hotel
🛋️	candeeiro, hotel, sofá, sofá e candeeiro
🚽	casa de banho, sanita, sanitário
🪠	casa de banho, desentupidor, desentupir, sucção
🚿	chuveiro, duche, água
🪤	apanhar, armadilha, engodo, isca, isco, queijo, rato, ratoeira
🪒	afiada, afiado, barbear, gilete, lâmina de barbear
🧴	champô, frasco de loção, hidratante, loção, protetor solar
🧷	alfinete de dama, fralda, punk rock
🧹	bruxa, limpar, varrer, vassoura
🧺	agricultura, cesta, cesto de roupa, piquenique
🧻	papel de cozinha, papel higiénico, rolo de cozinha, rolo de papel, toalhas de papel
🪣	balde, limpeza, água
🧼	banho, espuma, limpeza, sabonete, saboneteira
🫧	bolas, bolas de sabão, bolhas, debaixo de água, limpo, sabão, subaquático
🪥	dental, dentes, escova, escova de dentes, higiene, higiene oral, limpeza
🧽	absorvente, esponja, limpeza
🧯	apagar, extinguir, extintor, extintor de incêndio, incêndio
🛒	carrinho, carrinho de compras, compras
🚬	cigarro, fumar, tabaco
⚰️	caixão, morte, morto, vampiro
🪦	campa, cemitério, lápide, morte, sepultura
⚱️	urna
🧿	amuleto, mau-olhado, missanga, nazar, olho grego, olho turco, talismã
🪬	Islão, Judaísmo, amuleto, chamsá, cinco dedos da mão, hamsá, mau-olhado, mão, mão de Deus, mão de Fátima, palma da mão com cinco dedos estendidos, proteção, talismã
🗿	cara, estátua, ilha de páscoa, moai
🪧	cartaz, manifestação, placa, placar, placard, protesto, sinal
🪪	ID, carta de condução, cartão de identidade, cartão de identificação, credenciais, identidade, identificação, passe, segurança
🏧	ATM, MB, banco, caixa, dinheiro, multibanco, sinal de caixa automática, sinal de multibanco
🚮	cesto do lixo, lixo, sinal de lixo no caixote do lixo
🚰	beber, potável, água
♿️	acessibilidade, acesso, cadeira de rodas, símbolo de cadeira de rodas
🚹️	casa de banho para homens, homem, quarto de banho, wc
🚺️	casa de banho para senhoras, mulher, quarto de banho, senhora, wc
🚻	casa de banho, lavabo, quarto de banho, sanitário, wc
🚼️	bebé, fraldário, símbolo de fraldário, trocar fraldas
🚾	WC, casa de banho
🛂	controlo, controlo de passaportes, passaporte
🛃	aduana, alfândega, bens, encomenda, impostos
🛄	avião, bagagem, chegada, recolha, recolha de bagagem, viagem
🛅	bagagem, cacifo, depósito de bagagem, malas
⚠️	aviso, sinal
🚸	atravessar, criança, crianças, crianças a atravessar, passagem de crianças, peões, trânsito
⛔️	entrada, falha, não, proibida, proibida a entrada, proibido, transitar, trânsito
🚫	entrada, fumar, não, proibida, proibido
🚳	bicicleta, não, proibido, proibido andar de bicicleta, veículo
🚭️	fumar, não, não fumadores, proibido
🚯	lixo, não, não colocar lixo, não deitar lixo para o chão, proibido
🚱	beber, imprópria para consumo, não, potável, proibido, água
🚷	não, pedestre, peões, proibido, proibido a peões
